"Daniel","Schwartz","65"
"Kristiina","Vogt","65"
"Sean","Bennett","66"
"Donald","Grinde","66"
"Howard","Lasker","66"
"Richelle","Allen-King","66"
"Alan","Rabideau","66"
"Thomas","Lacher","67"
"Kirk","Winemiller","67"
"Urs","Kreuter","67"
"Lee","Fitzgerald","67"
"Amanda","Stronza","67"
"David","Salt","68"
"Mary Lou","Guerinot","68"
"Shannon","Pinson","68"
"Christopher","Skinner","69"
"Ismael","Calderon","70"
"Cary","Booker","70"
"Charles","Murphy","70"
"Alexander","Gates","70"
"Robin","Smith","71"
"Edward","Blucher","72"
"Janet","Conrad","72"
"Michael","Shaevitz","72"
"Reshmi","Mukherjee","72"
"Caroline","Simpson","73"
"John","Temple","74"
"Lifan","Wang","75"
"Nicholas","Suntzeff","75"
"Kevin","Krisciunas","75"
"Alexei","Poludnenko","76"
"Alexei","Khokhlov","76"
"Tai-Ping","Liu","77"
"Maja","Mataric","78"
"Shrikanth","Narayanan","78"
"Gregory","Peterson","79"
"Thomas","Zacharia","79"
"Michal","Young","80"
"Anthony","Hornof","80"
"Robert","Reitherman","81"
"Tara","Hutchinson","81"
"Steven","French","81"
"Emmanuel","Maragakis","81"
"Andre","Filiatrault","81"
"Daniel","Oliver","82"
"Terry","Whitledge","82"
"Denis","Wiesenburg","82"
"William","Kramer","83"
"Cristina","Beldica","83"
"Robert","Pennington","83"
"William","Kramer","83"
"William","Gropp","83"
"Thomas","Dunning","83"
"Marc","Snir","83"
"Wen-mei","Hwu","83"
"Edward","Seidel","83"
"David","Strait","84"
"Ruth","Curry","85"
"John","Toole","85"
"Michael","McCartney","85"
"Terrence","Joyce","85"
"Paula","Ford","86"
"Leonard","Wilson","86"
"Peter","Shull","86"
"Ken","Vickers","87"
"William","Oliver","87"
"Leonard","Schaper","87"
"David","Cairns","88"
"Joseph","Pettibon","88"
"Kenneth","Bowman","88"
"Mary","Richardson","88"
"Timothy","Scott","89"
"Sherry","Yennello","89"
"Michael","Harold","90"
"Ali","Kamrani","90"
"Matthew","Franchek","90"
"Karolos","Grigoriadis","90"
"Hamid","Parsaei","90"
"Richard","Yost","91"
"John","Eyler","91"
"Mary","Rodgers","91"
"Mian","Liu","92"
"Marie-Helene","Cormier","92"
"Francisco","Gomez","92"
"Eric","Sandvol","92"
"George","Keller","92"
"M.","Chaudhry","93"
"Jasim","Imran","93"
"Werner","Graf","94"
"Rhonda","Dzakpasu","94"
"Josef","Rauschecker","94"
"Abhaya","Datye","95"
"James","Dumesic","95"
"Robert","Davis","95"
"Matthew","Neurock","95"
"Brent","Shanks","95"
"Alfredo","Huete","96"
"William","Shuttleworth","96"
"Scott","Saleska","96"
"Steven","Wofsy","96"
"Michael","Keller","96"
"Mary","McCammon","97"
"Nora","Deans","97"
"Michael","Castellini","97"
"Michael","Castellini","97"
"Paula","Cullenberg","97"
"Raymond","Barnhardt","97"
"Paula","Cullenberg","97"
"John","Orcutt","98"
"Cheryl","Peach","98"
"Nigella","Hillgarth","98"
"Jane","Hodgkins","99"
"Kerry","Carlin-Morgan","99"
"Janet","Hodder","99"
"Shawn","Rowe","99"
"George","Boehlert","99"
"Phyllis","Callahan","100"
"Phyllis","Callahan","100"
"Joyce","Fernandes","100"
"Albert","Bennett","101"
"Luis","Mota-Bravo","101"
"Barry","Voight","102"
"Julia","Wellner","103"
"Michael","Krauss","104"
"Ellen","Strong","105"
"Rudiger","Bieler","105"
"David","Holland","106"
"Michael","McCormick","107"
"James","Shymansky","108"
"Arthur","Eisenkraft","109"
"Robert","Ross","110"
"Don","Duggan-Haas","110"
"Sara Elizabeth","Humbert","110"
"Richard","Kissel","110"
"Roger","Woodard","111"
"Irina","Kogan","111"
"Pam","Arroway","111"
"Hollylynne","Lee","111"
"Karen","Hollebrands","111"
"Dennis","Brewer","112"
"Deborah","Korth","112"
"Po-Hao","Huang","112"
"Michael","Wavering","112"
"Gay","Stewart","112"
"Eric","Sandvol","113"
"Robert","Varley","114"
"Clinton","McCrory","114"
"Daniel","Nakano","114"
"William","Graham","114"
"Jason","Cantarella","114"
"Angela","Gibney","114"
"Jay","Bass","115"
"Sidney","Resnick","116"
"Gennady","Samorodnitsky","116"
"Philip","Protter","116"
"Richard","Durrett","116"
"Laurent","Saloff-Coste","116"
"Laurent","Saloff-Coste","116"
"Rene","Carmona","117"
"K. Ronnie","Sircar","117"
"William","Massey","117"
"Birgit","Rudloff","117"
"Kenneth","Kramer","118"
"Victor","Kolyvagin","118"
"Lucien","Szpiro","118"
"Mark","Davidson","119"
"Lawrence","Smolinsky","119"
"Gestur","Olafsson","119"
"Tara","Brendle","119"
"Shou-wu","Zhang","120"
"Dorian","Goldfeld","120"
"Eric Jean-Paul","Urban","120"
"Janet","Sprintall","121"
"William","Patterson","122"
"Michael","Polito","122"
"Steven","Emslie","122"
"Allan","Ashworth","123"
"Adam","Lewis","123"
"Laurie","Connell","124"
"David","Marchant","125"
"John","Hale","126"
"Magued","Iskander","127"
"Vikram","Kapila","127"
"Noel","Kriftcher","127"
"Benjamin","Esner","127"
"Arthur","Grossman","128"
"Elisabeth","Gantt","128"
"Susan","Brawley","128"
"John","Stiller","128"
"John","Hole","129"
"Carol","Stepien","130"
"Daryl","Moorhead","130"
"Timothy","Fisher","130"
"Kevin","Czajkowski","130"
"Cyndee","Gruden","130"
"Thomas","Bridgeman","130"
"Richard","Becker","130"
"Michael","Jacobson","131"
"Mark","Anderson","131"
"Carole","Basile","131"
"Bryan","Wee","131"
"Bryan","Wee","131"
"Constantin","Chassapis","132"
"Elisabeth","McGrath","132"
"Sven","Esche","132"
"Frank","Fisher","132"
"Rustam","Stolkin","132"
"William","Bowman","133"
"Lesley","Smith","133"
"Lesley","Smith","133"
"Shivakant","Mishra","133"
"Jeffrey","Kidder","133"
"Judy","Skupa","133"
"Ellen","Miller-Brown","133"
"Laurie","Rubel","134"
"Juli","Wade","135"
"Dale","Clayton","136"
"Rafe","Brown","136"
"Sarah","Bush","136"
"Robert","Moyle","136"
"Laura","Schulz","137"
"Jimmy","de la Torre","138"
"Vilma","Mesa","139"
