Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Keshav, S., Kurose, J.","Message from the technical program chairs",2013,"e-Energy 2013 - Proceedings of the 4th ACM International Conference on Future Energy Systems",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878656163&partnerID=40&md5=b27be57f1fc420a125d5eaa753e8792d",Editorial,Scopus,2-s2.0-84878656163
"Kurose, J.","Technical perspective content-centric networking",2012,"Communications of the ACM","55","1",,"116","",,2,10.1145/2063176.2063203,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856034584&doi=10.1145%2f2063176.2063203&partnerID=40&md5=0d71e8488491808d7d49fd6d6e4f771b",Note,Scopus,2-s2.0-84856034584
"Uchida, M., Kurose, J.","An information-theoretic characterization of weighted α-proportional fairness in network resource allocation",2011,"Information Sciences","181","18",,"4009","4023",,5,10.1016/j.ins.2011.05.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959692374&doi=10.1016%2fj.ins.2011.05.001&partnerID=40&md5=fcd836d43cf2bd450b430cedb2d164e9",Article,Scopus,2-s2.0-79959692374
"Manfredi, V., Kurose, J.","Scan strategies for adaptive meteorological radars",2009,"Advances in Neural Information Processing Systems 20 - Proceedings of the 2007 Conference",,,,"","",8,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858785490&partnerID=40&md5=9acbb70b33b74ae915286c32f784ceb2",Conference Paper,Scopus,2-s2.0-84858785490
"Mclaughlin, D., Pepyne, D., Chandrasekar, V., Philips, B., Kurose, J., Zink, M., Droegemeier, K., Cruz-Pol, S., Junyent, F., Brotzge, J., Westbrook, D., Bharadwaj, N., Wang, Y., Lyons, E., Hondl, K., Liu, Y., Knapp, E., Xue, M., Hopf, A., Kloesel, K., Defonzo, A., Kollias, P., Brewster, K., Contreras, R., Dolan, B., Djaferis, T., Insanic, E., Frasier, S., Carr, F.","Short-wavelength technology and the potential for distributed networks of small radar systems",2009,"Bulletin of the American Meteorological Society","90","12",,"1797","1817",,142,10.1175/2009BAMS2886.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-75249083530&doi=10.1175%2f2009BAMS2886.1&partnerID=40&md5=d256a88f3ad714ef8a4a1934ed3dcf0c",Article,Scopus,2-s2.0-75249083530
"Manfredi, V., Kurose, J., Malouch, N., Zhang, C., Zink, M.","Separation of sensor control and data in closed-loop sensor networks",2009,"2009 6th Annual IEEE Communications Society Conference on Sensor, Mesh and Ad Hoc Communications and Networks, SECON 2009",,, 5168970,"","",,,10.1109/SAHCN.2009.5168970,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449585196&doi=10.1109%2fSAHCN.2009.5168970&partnerID=40&md5=f48e71c6dddbbae9844b98a82ae05682",Conference Paper,Scopus,2-s2.0-70449585196
"Uchida, M., Kurose, J.","An information-theoretic characterization of weighted α-proportional fairness",2009,"Proceedings - IEEE INFOCOM",,, 5062017,"1053","1061",,11,10.1109/INFCOM.2009.5062017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349678593&doi=10.1109%2fINFCOM.2009.5062017&partnerID=40&md5=963df1a0d8e0d37cf9ea761c9bd41fd0",Conference Paper,Scopus,2-s2.0-70349678593
"De Marca, J.R.B., Kurose, J.","Message from the IEEE INFOCOM 2009 general co-chairs",2009,"Proceedings - IEEE INFOCOM",,, 5061891,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349671168&partnerID=40&md5=bdb3eaa4d4d4c22feee3f7d6f7492fec",Editorial,Scopus,2-s2.0-70349671168
"Yates, D.J., Nahum, E.M., Kurose, J.F., Shenoy, P.","Data quality and query cost in pervasive sensing systems",2008,"Pervasive and Mobile Computing","4","6",,"851","870",,6,10.1016/j.pmcj.2008.09.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-55349086144&doi=10.1016%2fj.pmcj.2008.09.003&partnerID=40&md5=96e4b6ca2ed2fa18e6c0d8405f966a9a",Article,Scopus,2-s2.0-55349086144
"Zink, M., Lyons, E., Westbrook, D., Pepyne, D., Pilips, B., Kurose, J., Chandrasekar, V.","Meteorological command and control: Architecture and performance evaluation",2008,"International Geoscience and Remote Sensing Symposium (IGARSS)","5","1", 4780050,"","",,1,10.1109/IGARSS.2008.4780050,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649795622&doi=10.1109%2fIGARSS.2008.4780050&partnerID=40&md5=d5582e8a25a3b537b8c6e6ae8400c938",Conference Paper,Scopus,2-s2.0-67649795622
"Yates, D., Nahum, E., Kurose, J., Shenoy, P.","Data quality and query cost in pervasive sensing systems",2008,"6th Annual IEEE International Conference on Pervasive Computing and Communications, PerCom 2008",,, 4517394,"195","205",,3,10.1109/PERCOM.2008.117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49149085045&doi=10.1109%2fPERCOM.2008.117&partnerID=40&md5=930fee1b033e6de6f1955cd031d523c5",Conference Paper,Scopus,2-s2.0-49149085045
"Kurose, J.","Proceedings of 2007 ACM CoNEXT Conference - 3rd International Conference on Emerging Networking Experiments and Technologies, CoNEXT: General chairs' message",2007,"Proceedings of 2007 ACM CoNEXT Conference - 3rd International Conference on Emerging Networking EXperiments and Technologies, CoNEXT",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053862610&partnerID=40&md5=e659da5e29a4554c21503b59af91a209",Editorial,Scopus,2-s2.0-80053862610
"Sunghyun, C., Kurose, J., Ramamritham, K.","Message from the general chairs",2007,"3rd IEEE/Create-Net International Conference on Communication System Software and Middleware, COMSWARE",,, 4554362,"","",,,10.1109/COMSWA.2008.4554362,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51849157274&doi=10.1109%2fCOMSWA.2008.4554362&partnerID=40&md5=998751e0d280e6f8dbd2c2b83a097516",Editorial,Scopus,2-s2.0-51849157274
