Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Liu, F., Feng, W.-C., Zink, M.","Introduction to special issue MMSys/NOSSDAV 2015",2016,"ACM Transactions on Multimedia Computing, Communications and Applications","12","5s", 78,"","",,,10.1145/3003439,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997428981&doi=10.1145%2f3003439&partnerID=40&md5=4805892ab6ad430cfa4710f9f4b35fac",Editorial,Scopus,2-s2.0-84997428981
"Stohr, D., Frömmgeny, A., Fornoffy, J., Zink, M., Buchmanny, A., Effelsberg, W.","QoE analysis of DASH cross-layer dependencies by extensive network emulation",2016,"Internet-QoE 2016 - Proceedings of the 2016 ACM SIGCOMM Workshop on QoE-Based Analysis and Management of Data Communication Networks, Part of SIGCOMM 2016",,,,"25","30",,1,10.1145/2940136.2940141,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986618607&doi=10.1145%2f2940136.2940141&partnerID=40&md5=8a8923c17baabf019b5800bdfbaf4cb6",Conference Paper,Scopus,2-s2.0-84986618607
"Bozakov, Z., Rizk, A., Bhat, D., Zink, M.","Measurement-based flow characterization in centrally controlled networks",2016,"Proceedings - IEEE INFOCOM","2016-July",, 7524331,"","",,,10.1109/INFOCOM.2016.7524331,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983288414&doi=10.1109%2fINFOCOM.2016.7524331&partnerID=40&md5=315b37c3dadbfc09868e3ec4fec9bdbb",Conference Paper,Scopus,2-s2.0-84983288414
"Wang, C., Rizk, A., Zink, M.","SQUAD: A spectrum-based quality adaptation for",2016,"Proceedings of the 7th International Conference on Multimedia Systems, MMSys 2016",,, 2910593,"1","12",,,10.1145/2910017.2910593,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973896984&doi=10.1145%2f2910017.2910593&partnerID=40&md5=c7821f28a436328091849fd0ade6ff68",Conference Paper,Scopus,2-s2.0-84973896984
"Wang, C., Zink, M., Irwin, D.","Optimizing parallel HPC applications for green energy sources",2016,"2015 6th International Green and Sustainable Computing Conference",,, 7393694,"","",,,10.1109/IGCC.2015.7393694,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962905585&doi=10.1109%2fIGCC.2015.7393694&partnerID=40&md5=6aab08ca5ccf4f17b1456119242c131b",Conference Paper,Scopus,2-s2.0-84962905585
"Bhat, D., Wang, C., Rizk, A., Zink, M.","A load balancing approach for adaptive bitrate streaming in Information Centric networks",2015,"2015 IEEE International Conference on Multimedia and Expo Workshops, ICMEW 2015",,, 7169802,"","",,,10.1109/ICMEW.2015.7169802,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945548897&doi=10.1109%2fICMEW.2015.7169802&partnerID=40&md5=282cb8d747b684a708a29bb13b1b55de",Conference Paper,Scopus,2-s2.0-84945548897
"Feng, W.-C., Zink, M.","Foreword",2015,"Proceedings of the 25th ACM Workshop on Network and Operating Systems Support for Digital Audio and Video, NOSSDAV 2015",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938806994&partnerID=40&md5=dbbe7afd89a22ea2aff091b3bdd5799c",Editorial,Scopus,2-s2.0-84938806994
"Krishnappa, D.K., Zink, M., Griwodz, C., Halvorsen, P.","Cache-centric video recommendation: An approach to improve the efficiency of YouTube caches",2015,"ACM Transactions on Multimedia Computing, Communications and Applications","11","4",,"","",,2,10.1145/2716310,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930827096&doi=10.1145%2f2716310&partnerID=40&md5=18fbb9545dbfd0ad1bc7accf20f254d1",Article,Scopus,2-s2.0-84930827096
"Krishnappa, D.K., Zink, M., Sitaraman, R.K.","Optimizing the video transcoding workflow in content delivery networks",2015,"Proceedings of the 6th ACM Multimedia Systems Conference, MMSys 2015",,,,"37","48",,1,10.1145/2713168.2713175,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942520755&doi=10.1145%2f2713168.2713175&partnerID=40&md5=7bac71939e0ee7f61a046ec3e8916264",Conference Paper,Scopus,2-s2.0-84942520755
"Berman, M., Demeester, P., Lee, J.W., Nagaraja, K., Zink, M., Colle, D., Krishnappa, D.K., Raychaudhuri, D., Schulzrinne, H., Seskar, I., Sharma, S.","Future internets escape the simulator",2015,"Communications of the ACM","58","6",,"78","89",,3,10.1145/2699392,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930157827&doi=10.1145%2f2699392&partnerID=40&md5=6e0073c8513b9f9ea86220d494b4fd9d",Review,Scopus,2-s2.0-84930157827
"Zink, M.","A measurement architecture for Software Defined Exchanges",2014,"SDN and NFV: Next Generation of Computational  Infrastructure - 2014 International Science and Technology Conference - Modern Networking Technologies, MoNeTec  2014, Proceedings",,, 6995606,"","",,,10.1109/MoNeTeC.2014.6995606,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922576082&doi=10.1109%2fMoNeTeC.2014.6995606&partnerID=40&md5=7bd609550c4538312591b03a7eae4fd8",Conference Paper,Scopus,2-s2.0-84922576082
