Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yu, J., Zhu, H., Han, H., Chen, Y.J., Yang, J., Zhu, Y., Chen, Z., Xue, G., Li, M.","SenSpeed: Sensing Driving Conditions to Estimate Vehicle Speed in Urban Environments",2016,"IEEE Transactions on Mobile Computing","15","1", 7056458,"202","216",,4,10.1109/TMC.2015.2411270,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961615099&doi=10.1109%2fTMC.2015.2411270&partnerID=40&md5=a2cc1ea1a2a9d20ae25b912dc7148b09",Article,Scopus,2-s2.0-84961615099
"Deng, Z., Zhu, Y., Li, M.","On efficient replication-based routing in vehicular networks",2014,"Journal of High Speed Networks","20","1",,"29","40",,,10.3233/JHS-140485,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897699388&doi=10.3233%2fJHS-140485&partnerID=40&md5=d0297cf3f306121627b9591adaf57c19",Article,Scopus,2-s2.0-84897699388
"Cao, J., Fu, J., Li, M., Chen, J.","CPU load prediction for cloud environment based on a dynamic ensemble model",2014,"Software - Practice and Experience","44","7",,"793","804",,9,10.1002/spe.2231,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902543463&doi=10.1002%2fspe.2231&partnerID=40&md5=77ddc44e5d0ac3e40d9bf8188f953e23",Article,Scopus,2-s2.0-84902543463
"Qian, S., Cao, J., Zhu, Y., Li, M.","REIN: A fast event matching approach for content-based publish/subscribe systems",2014,"Proceedings - IEEE INFOCOM",,, 6848147,"2058","2066",,8,10.1109/INFOCOM.2014.6848147,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904410986&doi=10.1109%2fINFOCOM.2014.6848147&partnerID=40&md5=9fef9169c80accd168e0197495b98ddb",Conference Paper,Scopus,2-s2.0-84904410986
"Jing, C., Zhu, Y., Li, M.","SEED: Solar energy-aware efficient scheduling for data centers",2014,"Concurrency Computation","26","18",,"2811","2835",,1,10.1002/cpe.3179,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939268855&doi=10.1002%2fcpe.3179&partnerID=40&md5=c4e19a0c63babcdd3b3aee9fa1d25175",Article,Scopus,2-s2.0-84939268855
"Jing, C., Zhu, Y., Li, M.","Customer satisfaction-aware scheduling for utility maximization on geo-distributed cloud data centers",2014,"Proceedings - 2013 IEEE International Conference on High Performance Computing and Communications, HPCC 2013 and 2013 IEEE International Conference on Embedded and Ubiquitous Computing, EUC 2013",,, 6831922,"218","225",,1,10.1109/HPCC.and.EUC.2013.40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903974232&doi=10.1109%2fHPCC.and.EUC.2013.40&partnerID=40&md5=bdb66644d0c2317da25b29fcdfb00a21",Conference Paper,Scopus,2-s2.0-84903974232
"Zhu, Y., Xue, C., Cai, H., Yu, J., Ni, L., Li, M., Li, B.","On deploying relays for connected indoor sensor networks",2014,"Journal of Communications and Networks","16","3",,"335","343",,5,10.1109/JCN.2014.000054,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904793246&doi=10.1109%2fJCN.2014.000054&partnerID=40&md5=5e6f7a08c874fa423d1f70b2b0434aa8",Article,Scopus,2-s2.0-84904793246
"Dong, X., Yu, J., Luo, Y., Chen, Y., Xue, G., Li, M.","Achieving an effective, scalable and privacy-preserving data sharing service in cloud computing",2014,"Computers and Security","42",,,"151","164",,23,10.1016/j.cose.2013.12.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897913276&doi=10.1016%2fj.cose.2013.12.002&partnerID=40&md5=e314f73108ef9550a45eecc52daa1fa0",Article,Scopus,2-s2.0-84897913276
"Qin, J., Zhu, H., Zhu, Y., Lu, L., Xue, G., Li, M.","POST: Exploiting dynamic sociality for mobile advertising in vehicular networks",2014,"Proceedings - IEEE INFOCOM",,, 6848114,"1761","1769",,21,10.1109/INFOCOM.2014.6848114,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904430598&doi=10.1109%2fINFOCOM.2014.6848114&partnerID=40&md5=32ed89a88e011c6d58f4425995394118",Conference Paper,Scopus,2-s2.0-84904430598
"Han, H., Yu, J., Zhu, H., Chen, Y., Yang, J., Zhu, Y., Xue, G., Li, M.","SenSpeed: Sensing driving conditions to estimate vehicle speed in urban environments",2014,"Proceedings - IEEE INFOCOM",,, 6847999,"727","735",,25,10.1109/INFOCOM.2014.6847999,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904419548&doi=10.1109%2fINFOCOM.2014.6847999&partnerID=40&md5=b0afae788d5bdb937c13c871dbebb5bc",Conference Paper,Scopus,2-s2.0-84904419548
