Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nazari, P., Yazdani, A., Shadrokh, Z., Abdollahi Nejand, B., Farahani, N., Seifi, R.","Band gap engineering of Cu<inf>3</inf>Fe<inf>x</inf>Sn<inf>(1-x)</inf>S<inf>4</inf>: A potential absorber material for solar energy",2017,"Journal of Physics and Chemistry of Solids","111",,,"110","114",,,10.1016/j.jpcs.2017.07.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026351699&doi=10.1016%2fj.jpcs.2017.07.005&partnerID=40&md5=a57735316508833d72c772a6df297c6e",Article,Scopus,2-s2.0-85026351699
"Feldman, B.E., Randeria, M.T., Li, J., Jeon, S., Xie, Y., Wang, Z., Drozdov, I.K., Bernevig, B.A., Yazdani, A.","High-resolution studies of the Majorana atomic chain platform",2017,"Nature Physics","13","3",,"286","291",,3,10.1038/nphys3947,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994607504&doi=10.1038%2fnphys3947&partnerID=40&md5=43574b8e14f30ca467d306198753c413",Article,Scopus,2-s2.0-84994607504
"Feldman, B.E., Randeria, M.T., Gyenis, A., Wu, F., Ji, H., Cava, R.J., MacDonald, A.H., Yazdani, A.","Observation of a nematic quantum Hall liquid on the surface of bismuth",2016,"Science","354","6310",,"316","321",,3,10.1126/science.aag1715,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992116226&doi=10.1126%2fscience.aag1715&partnerID=40&md5=46a9d83e29e0d76a860011da762a6e4e",Article,Scopus,2-s2.0-84992116226
"Gyenis, A., Inoue, H., Jeon, S., Zhou, B.B., Feldman, B.E., Wang, Z., Li, J., Jiang, S., Gibson, Q.D., Kushwaha, S.K., Krizan, J.W., Ni, N., Cava, R.J., Bernevig, B.A., Yazdani, A.","Imaging electronic states on topological semimetals using scanning tunneling microscopy",2016,"New Journal of Physics","18","10", 105003,"","",,,10.1088/1367-2630/18/10/105003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992695520&doi=10.1088%2f1367-2630%2f18%2f10%2f105003&partnerID=40&md5=3dff57c20ac1a0b628ba769323f50d68",Article,Scopus,2-s2.0-84992695520
"Li, J., Neupert, T., Wang, Z., Macdonald, A.H., Yazdani, A., Andrei Bernevig, B.","Two-dimensional chiral topological superconductivity in Shiba lattices",2016,"Nature Communications","7",, 12297,"","",,6,10.1038/ncomms12297,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979900685&doi=10.1038%2fncomms12297&partnerID=40&md5=ce65506f1f648637314e80912356b00e",Article,Scopus,2-s2.0-84979900685
"Liu, M., Wang, W., Richardella, A.R., Kandala, A., Li, J., Yazdani, A., Samarth, N., Ong, N.P.","Large discrete jumps observed in the transition between Chern states in a ferromagnetic topological insulator",2016,"Science advances","2","7",,"e1600167","",,2,10.1126/sciadv.1600167,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019457933&doi=10.1126%2fsciadv.1600167&partnerID=40&md5=90d555e9f80030192fee125cd9afcc3a",Article,Scopus,2-s2.0-85019457933
"Randeria, M.T., Feldman, B.E., Drozdov, I.K., Yazdani, A.","Scanning Josephson spectroscopy on the atomic scale",2016,"Physical Review B","93","16", 161115,"","",,5,10.1103/PhysRevB.93.161115,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964624161&doi=10.1103%2fPhysRevB.93.161115&partnerID=40&md5=35e798b79db5b45d0e3b435a9b027eb3",Article,Scopus,2-s2.0-84964624161
"Kushwaha, S.K., Pletikosic, I., Liang, T., Gyenis, A., Lapidus, S.H., Tian, Y., Zhao, H., Burch, K.S., Lin, J., Wang, W., Ji, H., Fedorov, A.V., Yazdani, A., Ong, N.P., Valla, T., Cava, R.J.","Sn-doped Bi 1.1 Sb 0.9 Te 2 S bulk crystal topological insulator with excellent properties",2016,"Nature Communications","7",, 11456,"","",,11,10.1038/ncomms11456,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964613961&doi=10.1038%2fncomms11456&partnerID=40&md5=42078be7777c2b176faf88e268596e0c",Article,Scopus,2-s2.0-84964613961
"Inoue, H., Gyenis, A., Wang, Z., Li, J., Oh, S.W., Jiang, S., Ni, N., Andrei Bernevig, B., Yazdani, A.","Quasiparticle interference of the Fermi arcs and surface-bulk connectivity of a Weyl semimetal",2016,"Science","351","6278",,"1184","1187",,28,10.1126/science.aad8766,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960906551&doi=10.1126%2fscience.aad8766&partnerID=40&md5=f10fd2cc25e859b36cf1523983d501f2",Article,Scopus,2-s2.0-84960906551
"Yazdani, A., Da Silva Neto, E.H., Aynajian, P.","Spectroscopic Imaging of Strongly Correlated Electronic States",2016,"Annual Review of Condensed Matter Physics","7",,,"11","33",,2,10.1146/annurev-conmatphys-031214-014529,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962522400&doi=10.1146%2fannurev-conmatphys-031214-014529&partnerID=40&md5=e543fd66ecc6028ca942b7f5ff6f5680",Review,Scopus,2-s2.0-84962522400
