Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Polyzotis, N., Roy, S., Whang, S.E., Zinkevich, M.","Data management challenges in production machine learning",2017,"Proceedings of the ACM SIGMOD International Conference on Management of Data","Part F127746",,,"1723","1726",,,10.1145/3035918.3054782,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021190615&doi=10.1145%2f3035918.3054782&partnerID=40&md5=3eb7a5510fe00e4008182bce3005cbed",Conference Paper,Scopus,2-s2.0-85021190615
"Halevy, A., Korn, F., Noy, N.F., Olston, C., Polyzotis, N., Roy, S., Whang, S.E.","Goods: Organizing Google's datasets",2016,"Proceedings of the ACM SIGMOD International Conference on Management of Data","26-June-2016",,,"795","806",,5,10.1145/2882903.2903730,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979655880&doi=10.1145%2f2882903.2903730&partnerID=40&md5=45a5a9c1fccaa50f5ab343aa052f5cbd",Conference Paper,Scopus,2-s2.0-84979655880
"Tran, Q.T., Jimenez, I., Wang, R., Polyzotis, N., Ailamaki, A.","RITA: An index-Tuning advisor for replicated databases",2015,"ACM International Conference Proceeding Series","29-June-2015",, a22,"","",,,10.1145/2791347.2791376,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959553290&doi=10.1145%2f2791347.2791376&partnerID=40&md5=016606b5a76c0c26147a9a6199962736",Conference Paper,Scopus,2-s2.0-84959553290
"Tran, Q.T., Morfonios, K., Polyzotis, N.","Oracle workload intelligence",2015,"Proceedings of the ACM SIGMOD International Conference on Management of Data","2015-May",,,"1669","1681",,,10.1145/2723372.2742791,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957562820&doi=10.1145%2f2723372.2742791&partnerID=40&md5=e847039830c893fd786d77226057b68f",Conference Paper,Scopus,2-s2.0-84957562820
"Vartak, M., Rahman, S., Madden, S., Parameswaran, A., Polyzotis, N.","SEEDB: Efficient data-driven visualization recommendations to support visual analytics",2015,"Proceedings of the VLDB Endowment","8","13",,"2182","2193",,18,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952767080&partnerID=40&md5=c9f198631bcb00a04310839cd3c67458",Book Chapter,Scopus,2-s2.0-84952767080
"Vartak, M., Madden, S., Parameswaran, A., Polyzotis, N.","SEEDB: Automatically generating query visualizations",2014,"Proceedings of the VLDB Endowment","7","13",,"1581","1584",,12,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905822609&partnerID=40&md5=8ddb9037aaa7fde7dfd759d1d2059e82",Article,Scopus,2-s2.0-84905822609
"Eirinaki, M., Abraham, S., Polyzotis, N., Shaikh, N.","QueRIE: Collaborative database exploration",2014,"IEEE Transactions on Knowledge and Data Engineering","26","7", 6515114,"1778","1790",,9,10.1109/TKDE.2013.79,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904425111&doi=10.1109%2fTKDE.2013.79&partnerID=40&md5=e5f0cea755c7fbeeddd41ade8b31ce46",Article,Scopus,2-s2.0-84904425111
"LeFevre, J., Sankaranarayanan, J., Hacigümüş, H., Tatemura, J., Polyzotis, N., Carey, M.J.","MISO: Souping up big data query processing with a multistore system",2014,"Proceedings of the ACM SIGMOD International Conference on Management of Data",,,,"1591","1602",,23,10.1145/2588555.2588568,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904369597&doi=10.1145%2f2588555.2588568&partnerID=40&md5=a0f229d934e093367fd55f66f92dd72b",Conference Paper,Scopus,2-s2.0-84904369597
"Parameswaran, A., Boyd, S., Garcia-Molina, H., Gupta, A., Polyzotis, N., Widom, J.","Optimal crowd-powered rating and filtering algorithms",2014,"Proceedings of the VLDB Endowment","7","9",,"685","696",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901773447&partnerID=40&md5=46f7ed916633ffa835d16f286b7a5b7d",Article,Scopus,2-s2.0-84901773447
"LeFevre, J., Sankaranarayanan, J., Hacigümüş, H., Tatemura, J., Polyzotis, N., Carey, M.J.","Opportunistic physical design for big data analytics",2014,"Proceedings of the ACM SIGMOD International Conference on Management of Data",,,,"851","862",,4,10.1145/2588555.2610512,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904363699&doi=10.1145%2f2588555.2610512&partnerID=40&md5=a38193893f299977611af4b6bc2a4ff3",Conference Paper,Scopus,2-s2.0-84904363699
"Narasayya, V., Polyzotis, N.","DBTest 2013, New York, NY, USA",2013,"DBTest 2013 - Proceedings of the 6th International Workshop on Testing Database Systems, Co-located with ACM SIGMOD 2013",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889602980&partnerID=40&md5=42c2cd45eea6f48b98c218c18db6893a",Editorial,Scopus,2-s2.0-84889602980
"Wang, R., Tran, Q.T., Jimenez, I., Polyzotis, N.","INUM+: A leaner, more accurate and more efficient fast what-if optimizer",2013,"Proceedings - International Conference on Data Engineering",,, 6547426,"50","55",,,10.1109/ICDEW.2013.6547426,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881455755&doi=10.1109%2fICDEW.2013.6547426&partnerID=40&md5=d2e8ca707a58c5176b9af1dee2b3bdd5",Conference Paper,Scopus,2-s2.0-84881455755
"Condie, T., Mineiro, P., Polyzotis, N., Weimer, M.","Machine learning on big data",2013,"Proceedings - International Conference on Data Engineering",,, 6544913,"1242","1244",,6,10.1109/ICDE.2013.6544913,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881330832&doi=10.1109%2fICDE.2013.6544913&partnerID=40&md5=eb43c0a123e8f63a386a78a885689bd1",Conference Paper,Scopus,2-s2.0-84881330832
"Deutch, D., Milo, T., Polyzotis, N.","Top-k queries over web applications",2013,"VLDB Journal","22","4",,"519","542",,2,10.1007/s00778-012-0303-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880620123&doi=10.1007%2fs00778-012-0303-9&partnerID=40&md5=9235241887db5a1ae909da17a15a16a2",Article,Scopus,2-s2.0-84880620123
"Hacig̈um̈us, H., Sankaranarayanan, J., Tatemura, J., LeFevre, J., Polyzotis, N.","Odyssey: A multistore system for evolutionary analytics",2013,"Proceedings of the VLDB Endowment","6","11",,"1180","1181",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891137296&partnerID=40&md5=2642d46533b62fbb9cda2d493a89022d",Article,Scopus,2-s2.0-84891137296
