Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tosatti, V.","Uniqueness of CPn",2017,"Expositiones Mathematicae","35","1",,"1","12",,,10.1016/j.exmath.2016.07.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979653114&doi=10.1016%2fj.exmath.2016.07.002&partnerID=40&md5=1e374dfa6c1ea4803826964890769865",Article,Scopus,2-s2.0-84979653114
"Tosatti, V., Weinkove, B.","The Monge-Ampère equation for (n − 1)-plurisubharmonic functions on a compact Kähler manifold",2017,"Journal of the American Mathematical Society","30","2",,"311","346",,,10.1090/jams/875,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010869412&doi=10.1090%2fjams%2f875&partnerID=40&md5=c4f0b70df73046286005439fd8815b10",Article,Scopus,2-s2.0-85010869412
"Fang, S., Tosatti, V., Weinkove, B., Zheng, T.","Inoue surfaces and the Chern–Ricci flow",2016,"Journal of Functional Analysis","271","11",,"3162","3185",,,10.1016/j.jfa.2016.08.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995633275&doi=10.1016%2fj.jfa.2016.08.013&partnerID=40&md5=d74f4c15ea51f2c6ee5ea4b7bd168dbf",Article,Scopus,2-s2.0-84995633275
"Tosatti, V.","The Calabi-Yau theorem and Kähler currents",2016,"Advances in Theoretical and Mathematical Physics","20","2",,"381","404",,,10.4310/ATMP.2016.v20.n2.a4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984649613&doi=10.4310%2fATMP.2016.v20.n2.a4&partnerID=40&md5=68bc25d60c8451bc592cf9dc6188ca42",Article,Scopus,2-s2.0-84984649613
"Collins, T.C., Tosatti, V.","A singular Demailly-Păun theorem",2016,"Comptes Rendus Mathematique","354","1",,"91","95",,,10.1016/j.crma.2015.10.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953837624&doi=10.1016%2fj.crma.2015.10.012&partnerID=40&md5=386f1cbf62e7c038dd1decce7c927a7c",Article,Scopus,2-s2.0-84953837624
"Gross, M., Tosatti, V., Zhang, Y.","Gromov-Hausdorff collapsing of Calabi-Yau manifolds",2016,"Communications in Analysis and Geometry","24","1",,"93","113",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976315933&partnerID=40&md5=67b9e265936e2fbf1f5375014d1365b5",Article,Scopus,2-s2.0-84976315933
"Tosatti, V., Weinkove, B., Yang, X.","Collapsing of the Chern–Ricci flow on elliptic surfaces",2015,"Mathematische Annalen","362","3-4",,"1223","1271",,6,10.1007/s00208-014-1160-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937520299&doi=10.1007%2fs00208-014-1160-1&partnerID=40&md5=55c8f9dc3b1a387f8953ac3d2376704e",Article,Scopus,2-s2.0-84937520299
"Collins, T.C., Tosatti, V.","Kähler currents and null loci",2015,"Inventiones Mathematicae","202","3",,"1167","1198",,4,10.1007/s00222-015-0585-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947866666&doi=10.1007%2fs00222-015-0585-9&partnerID=40&md5=d6a82bbde401b326191b5e0ff17145b4",Article,Scopus,2-s2.0-84947866666
"Tosatti, V., Zhang, Y.","Infinite-time singularities of the kähler–ricci flow",2015,"Geometry and Topology","19","5",,"2925","2948",,1,10.2140/gt.2015.19.2925,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945950246&doi=10.2140%2fgt.2015.19.2925&partnerID=40&md5=7e7654ca534275fc1bb3737b8231eab0",Article,Scopus,2-s2.0-84945950246
"Tosatti, V., Wang, Y., Weinkove, B., Yang, X.","C2,α estimates for nonlinear elliptic equations in complex and almost complex geometry",2015,"Calculus of Variations and Partial Differential Equations","54","1",,"431","453",,6,10.1007/s00526-014-0791-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939471020&doi=10.1007%2fs00526-014-0791-0&partnerID=40&md5=92e2ef5c4324c2b681f2ebfc07a52304",Article,Scopus,2-s2.0-84939471020
"Hein, H.-J., Tosatti, V.","Remarks on the collapsing of torus fibered Calabi-Yau manifolds",2015,"Bulletin of the London Mathematical Society","47","6",,"1021","1027",,,10.1112/blms/bdv067,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951049040&doi=10.1112%2fblms%2fbdv067&partnerID=40&md5=ad3025dc322405c12fb64f989fd923d1",Article,Scopus,2-s2.0-84951049040
"Tosatti, V.","Families of Calabi-Yau manifolds and canonical singularities",2015,"International Mathematics Research Notices","2015","20",,"10586","10594",,,10.1093/imrn/rnv001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948405008&doi=10.1093%2fimrn%2frnv001&partnerID=40&md5=d606c6815627a885baf9ec941649f541",Article,Scopus,2-s2.0-84948405008
"Tosatti, V., Weinkove, B.","On the evolution of a Hermitian metric by its Chern-Ricci form",2015,"Journal of Differential Geometry","99","1",,"125","163",,14,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918807322&partnerID=40&md5=2af509d04727e1ff6cc61430d0e49287",Article,Scopus,2-s2.0-84918807322
"Tosatti, V., Zhang, Y.","Triviality of fibered Calabi-Yau manifolds without singular fibers",2014,"Mathematical Research Letters","21","4",,"905","918",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910618185&partnerID=40&md5=cd36ad3799fb01343d40801f79eebb58",Article,Scopus,2-s2.0-84910618185
"Gross, M., Tosatti, V., Zhang, Y.","Collapsing of abelian fibered calabi-yau manifolds",2013,"Duke Mathematical Journal","162","3",,"517","551",,12,10.1215/00127094-2019703,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877045038&doi=10.1215%2f00127094-2019703&partnerID=40&md5=7af629fb94c06713ebd34263ed0ee253",Article,Scopus,2-s2.0-84877045038
"Tosatti, V., Weinkove, B.","The Chern-Ricci flow on complex surfaces",2013,"Compositio Mathematica","149","12",,"2101","2138",,13,10.1112/S0010437X13007471,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916231312&doi=10.1112%2fS0010437X13007471&partnerID=40&md5=a0bcfcef3f600de2bbbd407ddeb7598e",Article,Scopus,2-s2.0-84916231312
"Tosatti, V., Weinkove, B.","Plurisubharmonic functions and nef classes on complex manifolds",2012,"Proceedings of the American Mathematical Society","140","11",,"4003","4010",,3,10.1090/S0002-9939-2012-11206-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863884679&doi=10.1090%2fS0002-9939-2012-11206-7&partnerID=40&md5=6c57dd9899517665a4a415b1f4bfe03d",Article,Scopus,2-s2.0-84863884679
"Tosatti, V.","Calabi-Yau manifolds and their degenerations",2012,"Annals of the New York Academy of Sciences","1260","1",,"8","13",,3,10.1111/j.1749-6632.2011.06259.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864063018&doi=10.1111%2fj.1749-6632.2011.06259.x&partnerID=40&md5=7453260dcc4d5d160e483c2455aff629",Article,Scopus,2-s2.0-84864063018
"Tosatti, V.","Kähler-Einstein metrics on Fano surfaces",2012,"Expositiones Mathematicae","30","1",,"11","31",,3,10.1016/j.exmath.2011.07.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857445445&doi=10.1016%2fj.exmath.2011.07.003&partnerID=40&md5=b768e0d326e81fe6b0712d4f1d063274",Article,Scopus,2-s2.0-84857445445
"Tosatti, V.","Degenerations of Calabi-Yau metrics",2011,"Acta Physica Polonica B, Proceedings Supplement","4","3",,"495","505",,5,10.5506/APhysPolBSupp.4.495,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855910854&doi=10.5506%2fAPhysPolBSupp.4.495&partnerID=40&md5=1a448d0b5c7f00a9537213412c6cb3af",Conference Paper,Scopus,2-s2.0-84855910854
"Székelyhidi, G., Tosatti, V.","Regularity of weak solutions of a complex monge-ampère equation",2011,"Analysis and PDE","4","3",,"369","378",,13,10.2140/apde.2011.4.369,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873297671&doi=10.2140%2fapde.2011.4.369&partnerID=40&md5=cfb48337dae1ba54d90723c237fc2c5e",Article,Scopus,2-s2.0-84873297671
"Tosatti, V., Weinkove, B.","The Calabi-Yau equation on the Kodaira-Thurston manifold",2011,"Journal of the Institute of Mathematics of Jussieu","10","2",,"437","447",,9,10.1017/S1474748010000289,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82555194530&doi=10.1017%2fS1474748010000289&partnerID=40&md5=bccce18867b4f05468e5db8e29b69a42",Article,Scopus,2-s2.0-82555194530
"Tosatti, V., Weinkove, B.","The complex Monge-Ampère equation on compact Hermitian manifolds",2010,"Journal of the American Mathematical Society","23","4",,"1187","1195",,34,10.1090/S0894-0347-2010-00673-X,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956585449&doi=10.1090%2fS0894-0347-2010-00673-X&partnerID=40&md5=3e77e672505c034ecbe106b5eb4ce33b",Article,Scopus,2-s2.0-77956585449
"Tosatti, V.","Kähler-Ricci flow on stable Fano manifolds",2010,"Journal fur die Reine und Angewandte Mathematik",,"640",,"67","84",,20,10.1515/CRELLE.2010.019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951520400&doi=10.1515%2fCRELLE.2010.019&partnerID=40&md5=edbb6f5e28834e0de6cb415d38f6c49b",Article,Scopus,2-s2.0-77951520400
"Tosatti, V., Weinkove, B.","Estimates for the complex monge-ampère equation on hermitian and balanced manifolds",2010,"Asian Journal of Mathematics","14","1",,"19","40",,28,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956584875&partnerID=40&md5=a6830b77056ac9ff3b328046671fceec",Article,Scopus,2-s2.0-77956584875
"Tosatti, V.","Adiabatic limits of Ricci-flat Kähler metrics",2010,"Journal of Differential Geometry","84","2",,"427","453",,21,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952707939&partnerID=40&md5=e03661aff9fbf896fd714e1fee5684c0",Article,Scopus,2-s2.0-77952707939
"Tosatti, V.","Limits of Calabi-Yau metrics when the Kähler class degenerates",2009,"Journal of the European Mathematical Society","11","4",,"755","776",,20,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-74349092803&partnerID=40&md5=aa99b61d3432cfd05a3797bb4c87fefb",Article,Scopus,2-s2.0-74349092803
"Tosatti, V., Weinkove, B., Yau, S.-T.","Taming symplectic forms and the Calabi-Yau equation",2008,"Proceedings of the London Mathematical Society","97","2",,"401","424",,32,10.1112/plms/pdn008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50949132054&doi=10.1112%2fplms%2fpdn008&partnerID=40&md5=717de748df851c74c6b81e67f5e2dc60",Article,Scopus,2-s2.0-50949132054
"Tosatti, V.","On the critical points of the E <inf>k</inf> functionals in Kähler geometry",2007,"Proceedings of the American Mathematical Society","135","12",,"3985","3988",,3,10.1090/S0002-9939-07-08962-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-58049161670&doi=10.1090%2fS0002-9939-07-08962-9&partnerID=40&md5=df8a5049a058ead4c9b773c84f213edf",Article,Scopus,2-s2.0-58049161670
