Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Jones, J.V., Daniel, C.G., Doe, M.F.","Tectonic and sedimentary linkages between the belt- purcell basin and southwestern laurentia during the mesoproterozoic, ca. 1.60-1.40 Ga",2015,"Lithosphere","7","4",,"465","472",,5,10.1130/L438.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938597728&doi=10.1130%2fL438.1&partnerID=40&md5=384b1ce9b180c1180c8f0eb841fd4434",Article,Scopus,2-s2.0-84938597728
"Daniel, C.G., Pfeifer, L.S., Jones III, J.V., McFarlane, C.M.","Detrital zircon evidence for non-laurentian provenance, mesoproterozoic (ca. 1490-1450 ma) deposition and orogenesis in a reconstructed orogenic belt, northern new mexico, USA: Defining the picuris orogeny",2013,"Bulletin of the Geological Society of America","125","9-10",,"1423","1441",,20,10.1130/B30804.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883189181&doi=10.1130%2fB30804.1&partnerID=40&md5=57a9dbd33fa2aa358d87d2f27cdff6ab",Article,Scopus,2-s2.0-84883189181
"Barnhart, K.R., Walsh, P.J., Hollister, L.S., Daniel, C.G., Andronicos, C.L.","Decompression during late Proterozoic Al <inf>2</inf>SiO <inf>5</inf> triple-point metamorphism at Cerro Colorado, New Mexico",2012,"Journal of Geology","120","4",,"385","404",,2,10.1086/665793,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863209722&doi=10.1086%2f665793&partnerID=40&md5=6dc2a0e492f4634a148afe3fb2ff924d",Article,Scopus,2-s2.0-84863209722
"Jones, J.V., Daniel, C.G., Frei, D., Thrane, K.","Revised regional correlations and tectonic implications of Paleoproterozoic and Mesoproterozoic metasedimentary rocks in northern New Mexico, USA: New findings from detrital zircon studies of the Hondo group, Vadito group, and Marqueñas formation",2011,"Geosphere","7","4",,"974","991",,14,10.1130/GES00614.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054717112&doi=10.1130%2fGES00614.1&partnerID=40&md5=3c4c57d5fd3da3cbba5c5a7a112894e7",Article,Scopus,2-s2.0-80054717112
"Daniel, C.G., Pyle, J.M.","Monazite-Xenotime thermochronometry and Al2SiO5 reaction textures in the Picuris range, Northern New Mexico, USA: New evidence for a 1450-1400 Ma orogenic event",2006,"Journal of Petrology","47","1",,"97","118",,25,10.1093/petrology/egi069,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29444448791&doi=10.1093%2fpetrology%2fegi069&partnerID=40&md5=6d7019bdd280c6b6285e7b460dfe5615",Article,Scopus,2-s2.0-29444448791
"Pyle, J.M., Spear, F.S., Wark, D.A., Daniel, C.G., Storm, L.C.","Contributions to precision and accuracy of monazite microprobe ages",2005,"American Mineralogist","90","4",,"547","577",,99,10.2138/am.2005.1340,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-17644401366&doi=10.2138%2fam.2005.1340&partnerID=40&md5=d4ff97e6cb6eabe9f408373164a2b213",Article,Scopus,2-s2.0-17644401366
"Spear, F.S., Daniel, C.G.","Three-dimensional imaging of garnet porphyroblast sizes and chemical zoning: Nucleation and growth history in the garnet zone",2003,"American Mineralogist","88","1",,"245","",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037221723&partnerID=40&md5=2b7e6d656b44a9c49a64c2d900cee73b",Article,Scopus,2-s2.0-0037221723
"Daniel, C.G., Hollister, L.S., Parrish, R.R., Grujic, D.","Exhumation of the main central thrust from lower crustal depths, Eastern Bhutan Himalaya",2003,"Journal of Metamorphic Geology","21","4",,"317","334",,147,10.1046/j.1525-1314.2003.00445.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037983652&doi=10.1046%2fj.1525-1314.2003.00445.x&partnerID=40&md5=55c1f6e48486adbfc97fcbd1dc96996a",Article,Scopus,2-s2.0-0037983652
"Daniel, C.G., Hollister, L.S., Parrish, R.R., Grujic, D.","Formation of the Main Central Thrust Zone from Lower Crustal Depths, eastern Bhutan Himalaya",2001,"Journal of Asian Earth Sciences","19","3A",,"13","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035029888&partnerID=40&md5=68ea12ab2b837879ab60cc2e8641e582",Conference Paper,Scopus,2-s2.0-0035029888
"Spear, F.S., Daniel, C.G.","Diffusion control of garnet growth, Harpswell Neck, Maine USA",2001,"Journal of Metamorphic Geology","19","2",,"179","195",,66,10.1046/j.0263-4929.2000.00306.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035068905&doi=10.1046%2fj.0263-4929.2000.00306.x&partnerID=40&md5=a305f3676f73c6e009f561f3baa04589",Article,Scopus,2-s2.0-0035068905
"Daniel, C.G., Spear, F.S.","The clustered nucleation and growth processes of garnet in regional metamorphic rocks from north-west Connecticut, USA",1999,"Journal of Metamorphic Geology","17","5",,"503","520",,34,10.1046/j.1525-1314.1999.00200.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925273106&doi=10.1046%2fj.1525-1314.1999.00200.x&partnerID=40&md5=9ca2d914f6de529e58398b45f2308828",Article,Scopus,2-s2.0-84925273106
"Daniel, C.G., Spear, F.S.","Three-dimensional patterns of garnet nucleation and growth",1998,"Geology","26","6",,"505","506",,23,10.1130/0091-7613(1998)?026&lt;0503:TDPOGN&gt;?2.3.CO,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874952787&doi=10.1130%2f0091-7613%281998%29%3f026%26lt%3b0503%3aTDPOGN%26gt%3b%3f2.3.CO&partnerID=40&md5=a9849fb69bd120f53f593112d0a9ce82",Article,Scopus,2-s2.0-84874952787
"Woodward, L.A., Karlstrom, K.E., Daniel, C.G.","Restoration of Laramide right-lateral strike slip in northern New Mexico by using Proterozoic piercing points: Tectonic implications from the Proterozoic to the Cenozoic: Comment and Reply",1994,"Geology","22","9",,"862","864",,2,10.1130/0091-7613(1994)022&lt;0862:ROLRLS&gt;2.3.CO;2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5844220915&doi=10.1130%2f0091-7613%281994%29022%26lt%3b0862%3aROLRLS%26gt%3b2.3.CO%3b2&partnerID=40&md5=4838bb5350f35db7cf2f4e5608be6adb",Note,Scopus,2-s2.0-5844220915
"Karlstrom, K.E., Daniel, C.G.","Restoration of Laramide right-lateral strike slip in northern New Mexico by using Proterozoic piercing points: tectonic implications from the Proterozoic to the Cenozoic",1993,"Geology","21","12",,"1139","1142",,46,10.1130/0091-7613(1993)021&lt;1139:ROLRLS&gt;2.3.CO;2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879879173&doi=10.1130%2f0091-7613%281993%29021%26lt%3b1139%3aROLRLS%26gt%3b2.3.CO%3b2&partnerID=40&md5=fb81a59b368bec6af33044766794e604",Article,Scopus,2-s2.0-84879879173
