Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Nanda, S., Hacker, T.J., Lu, Y.-H.","Predictive model for dynamically provisioning resources in multi-tier web applications",2017,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",,, 7830700,"326","335",,,10.1109/CloudCom.2016.0059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012960728&doi=10.1109%2fCloudCom.2016.0059&partnerID=40&md5=b0f72a82317b21e50c701c1dae3449e8",Conference Paper,Scopus,2-s2.0-85012960728
"Mohan, A., Kaseb, A.S., Lu, Y.-H., Hacker, T.J.","Location based cloud resource management for analyzing real-time videos from globally distributed network cameras",2017,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",,, 7830681,"176","183",,,10.1109/CloudCom.2016.0040,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012965203&doi=10.1109%2fCloudCom.2016.0040&partnerID=40&md5=781e808549de8d1320d08ca2082d8f53",Conference Paper,Scopus,2-s2.0-85012965203
"Diao, K., Papapanagiotou, I., Hacker, T.J.","HARENS: Hardware accelerated redundancy elimination in network systems",2017,"Proceedings of the International Conference on Cloud Computing Technology and Science, CloudCom",,, 7830689,"237","244",,,10.1109/CloudCom.2016.0048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012986697&doi=10.1109%2fCloudCom.2016.0048&partnerID=40&md5=48711c46ed717204cb88cbf604ddfae9",Conference Paper,Scopus,2-s2.0-85012986697
"Hacker, T., Dyke, S., Ozdagli, A.I., Marshall, G., Thompson, C., Rohler, B., Yeum, C.M.","A Researcher-oriented Automated Data Ingestion Tool for rapid data Processing, Visualization and Preservation",2017,"Advances in Engineering Software",,,,"","",,,10.1016/j.advengsoft.2017.06.019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022205599&doi=10.1016%2fj.advengsoft.2017.06.019&partnerID=40&md5=d16b14bed48a11d8d043f4199dda7846",Article in Press,Scopus,2-s2.0-85022205599
"Lu, Y.-H., Hacker, T.J., Zoltowski, C.B., Allebach, J.P.","Cross-cohort research experience for project management and leadership development",2016,"ASEE Annual Conference and Exposition, Conference Proceedings","2016-June",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983340025&partnerID=40&md5=9a9f831be363bc35ab55e3c1fc99c5e3",Conference Paper,Scopus,2-s2.0-84983340025
"Chen, W., Lu, Y.-H., Hacker, T.J.","Adaptive cloud resource allocation for analysing many video streams",2016,"Proceedings - IEEE 7th International Conference on Cloud Computing Technology and Science, CloudCom 2015",,, 7396133,"17","24",,3,10.1109/CloudCom.2015.79,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964335077&doi=10.1109%2fCloudCom.2015.79&partnerID=40&md5=bba2b582cf5e28798380de318c0c0a13",Conference Paper,Scopus,2-s2.0-84964335077
"Wiktorski, T., Hacker, T., Hansen, R.A., Rodgers, G.","Experience with problem-based learning in a hybrid classroom",2016,"Proceedings - IEEE 7th International Conference on Cloud Computing Technology and Science, CloudCom 2015",,, 7396216,"575","581",,,10.1109/CloudCom.2015.70,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964337054&doi=10.1109%2fCloudCom.2015.70&partnerID=40&md5=9fbc6b5151a6d3cd5fae12e2dbaba359",Conference Paper,Scopus,2-s2.0-84964337054
"Wiktorski, T., Hacker, T.J., Demchenko, Y.","2nd IEEE STC CC and RDA workshop on curricula and teaching methods in cloud computing, big data, and data science",2016,"Proceedings - IEEE 7th International Conference on Cloud Computing Technology and Science, CloudCom 2015",,, 7396121,"xviii","xix",,,10.1109/CloudCom.2015.9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964355735&doi=10.1109%2fCloudCom.2015.9&partnerID=40&md5=35b6fbb7a216eeab084424aad72f8a18",Editorial,Scopus,2-s2.0-84964355735
"Hesam, P., Irfanoglu, A., Hacker, T.J.","Estimating effective viscous damping and restoring force in reinforced concrete buildings",2016,"Conference Proceedings of the Society for Experimental Mechanics Series","2",,,"265","273",,,10.1007/978-3-319-29751-4_27,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978674882&doi=10.1007%2f978-3-319-29751-4_27&partnerID=40&md5=c37d6b2590aef4956a7b0289fd086fc7",Conference Paper,Scopus,2-s2.0-84978674882
"Chen, W., Mohan, A., Lu, Y.-H., Hacker, T., Ooi, W.T., Delp, E.J.","Analysis of Large-Scale Distributed Cameras Using the Cloud",2015,"IEEE Cloud Computing","2","5", 7331200,"54","62",,2,10.1109/MCC.2015.103,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84970007084&doi=10.1109%2fMCC.2015.103&partnerID=40&md5=9a90da4951c8d77c3d12ab097dd363c3",Article,Scopus,2-s2.0-84970007084
