Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hunter, M.S., Asiimwe, P., Himler, A.G., Kelly, S.E.","Host nuclear genotype influences phenotype of a conditional mutualist symbiont",2017,"Journal of Evolutionary Biology","30","1",,"141","149",,,10.1111/jeb.12993,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007603345&doi=10.1111%2fjeb.12993&partnerID=40&md5=2f18b24353ae13a5625a2c79e14c5f8c",Article,Scopus,2-s2.0-85007603345
"Gebiola, M., Monti, M.M., Johnson, R.C., Woolley, J.B., Hunter, M.S., Giorgini, M., Pedata, P.A.","A revision of the Encarsia pergandiella species complex (Hymenoptera: Aphelinidae) shows cryptic diversity in parasitoids of whitefly pests",2017,"Systematic Entomology","42","1",,"31","59",,1,10.1111/syen.12187,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977630788&doi=10.1111%2fsyen.12187&partnerID=40&md5=b41ffefd955e56c5e856538f980ab4a5",Article,Scopus,2-s2.0-84977630788
"Gebiola, M., Kelly, S.E., Hammerstein, P., Giorgini, M., Hunter, M.S.","“Darwin's corollary” and cytoplasmic incompatibility induced by Cardinium may contribute to speciation in Encarsia wasps (Hymenoptera: Aphelinidae)",2016,"Evolution","70","11",,"2447","2458",,2,10.1111/evo.13037,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016729726&doi=10.1111%2fevo.13037&partnerID=40&md5=dc8df685c027d6e5a2a7b3de9181af8e",Article,Scopus,2-s2.0-85016729726
"Gebiola, M., White, J.A., Cass, B.N., Kozuch, A., Harris, L.R., Kelly, S.E., Karimi, J., Giorgini, M., Perlman, S.J., Hunter, M.S.","Cryptic diversity, reproductive isolation and cytoplasmic incompatibility in a classic biological control success story",2016,"Biological Journal of the Linnean Society","117","2",,"217","230",,3,10.1111/bij.12648,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954379266&doi=10.1111%2fbij.12648&partnerID=40&md5=9a4f08953d68f9cb4d009509c365eafc",Article,Scopus,2-s2.0-84954379266
"Cass, B.N., Himler, A.G., Bondy, E.C., Bergen, J.E., Fung, S.K., Kelly, S.E., Hunter, M.S.","Conditional fitness benefits of the Rickettsia bacterial symbiont in an insect pest",2016,"Oecologia","180","1",,"169","179",,2,10.1007/s00442-015-3436-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952862771&doi=10.1007%2fs00442-015-3436-x&partnerID=40&md5=fb7f953b5b45bc8f02552e0d91264a70",Article,Scopus,2-s2.0-84952862771
"Cass, B.N., Yallouz, R., Bondy, E.C., Mozes-Daube, N., Horowitz, A.R., Kelly, S.E., Zchori-Fein, E., Hunter, M.S.","Dynamics of the Endosymbiont Rickettsia in an Insect Pest",2015,"Microbial Ecology","70","1",,"287","297",,5,10.1007/s00248-015-0565-z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938211156&doi=10.1007%2fs00248-015-0565-z&partnerID=40&md5=e57d5454d12574113dbe547ad4dabcac",Article,Scopus,2-s2.0-84938211156
"Tajebe, L.S., Guastella, D., Cavalieri, V., Kelly, S.E., Hunter, M.S., Lund, O.S., Legg, J.P., Rapisarda, C.","Diversity of symbiotic bacteria associated with Bemisia tabaci (Homoptera: Aleyrodidae) in cassava mosaic disease pandemic areas of Tanzania",2015,"Annals of Applied Biology","166","2",,"297","310",,3,10.1111/aab.12183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925349517&doi=10.1111%2faab.12183&partnerID=40&md5=535947bfa68b0288d06211213ae9e0f3",Article,Scopus,2-s2.0-84925349517
"Asiimwe, P., Kelly, S.E., Hunter, M.S.","Symbiont infection affects whitefly dynamics in the field",2014,"Basic and Applied Ecology",,,,"","",,1,10.1016/j.baae.2014.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906842994&doi=10.1016%2fj.baae.2014.08.005&partnerID=40&md5=7dd09351ed882647075892f27aac23cf",Article in Press,Scopus,2-s2.0-84906842994
"Deas, J.B., Hunter, M.S.","Egg and time limitation mediate an egg protection strategy",2014,"Journal of Evolutionary Biology","27","5",,"920","928",,2,10.1111/jeb.12363,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899630329&doi=10.1111%2fjeb.12363&partnerID=40&md5=3fe15c0bda3c85dc17f39eb220ff6158",Article,Scopus,2-s2.0-84899630329
"Hendry, T.A., Hunter, M.S., Baltrus, D.A.","The facultative symbiont Rickettsia protects an invasive whitefly against entomopathogenic Pseudomonas syringae strains",2014,"Applied and Environmental Microbiology","80","23",,"7161","7168",,17,10.1128/AEM.02447-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910112706&doi=10.1128%2fAEM.02447-14&partnerID=40&md5=8ad74aed5e0f470d792cf73951fcfbae",Article,Scopus,2-s2.0-84910112706
"Asiimwe, P., Kelly, S.E., Hunter, M.S.","Symbiont infection affects whitefly dynamics in the field",2014,"Basic and Applied Ecology","15","6",,"507","515",,1,10.1016/j.baae.2014.08.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930039468&doi=10.1016%2fj.baae.2014.08.005&partnerID=40&md5=c9e9df62b4373192d90d556c137ad9f0",Article,Scopus,2-s2.0-84930039468
"Chiel, E., Kelly, S.E., Harris, A.M., Gebiola, M., Li, X., Zchori-Fein, E., Hunter, M.S.","Characteristics, phenotype, and transmission of wolbachia in the sweet potato whitefly, bemisia tabaci (Hemiptera: Aleyrodidae), and its parasitoid eretmocerus sp. nr. emiratus (Hymenoptera: Aphelinidae)",2014,"Environmental Entomology","43","2",,"353","362",,1,10.1603/EN13286,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898462300&doi=10.1603%2fEN13286&partnerID=40&md5=fdd651c91f3aa727eb24142afb375e2d",Article,Scopus,2-s2.0-84898462300
"Perlman, S.J., Dowdy, N.J., Harris, L.R., Khalid, M., Kelly, S.E., Hunter, M.S.","Factors affecting the strength of Cardinium-induced cytoplasmic incompatibility in the parasitic wasp Encarsia pergandiella (Hymenoptera: Aphelinidae).",2014,"Microbial ecology","67","3",,"671","678",,3,10.1007/s00248-013-0359-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909633847&doi=10.1007%2fs00248-013-0359-0&partnerID=40&md5=316844956ec579e0831099658138cbad",Article,Scopus,2-s2.0-84909633847
