Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Jeong, B., Pettit, C., Dharmasena, S., Keum, H., Lee, J., Kim, J., Kim, S., McFarland, D.M., Bergman, L.A., Vakakis, A.F., Cho, H.","Utilizing intentional internal resonance to achieve multi-harmonic atomic force microscopy",2016,"Nanotechnology","27","12", 125501,"","",,,10.1088/0957-4484/27/12/125501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959244769&doi=10.1088%2f0957-4484%2f27%2f12%2f125501&partnerID=40&md5=a1aa9c3515874da89d1747e4c6291f08",Article,Scopus,2-s2.0-84959244769
"Cho, H., Bergman, L.A., Yu, M.-F., Vakakis, A.F.","Intentional nonlinearity for design of micro/nanomechanical resonators",2016,"Nanocantilever Beams: Modeling, Fabrication and Applications",,,,"137","192",,,10.4032/9789814613248,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014783011&doi=10.4032%2f9789814613248&partnerID=40&md5=e6ca53b09ccb02f99f101ba06dfd3664",Book Chapter,Scopus,2-s2.0-85014783011
"Asadi, K., Yeom, J., Peshin, S., Cho, H.","Experimental and theoretical studies of nonlinear resonances in a si microcantilever constrained by a polymer attachment",2016,"Proceedings of the ASME Design Engineering Technical Conference","4",,,"","",,,10.1115/DETC2016-60116.pdf,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007398031&doi=10.1115%2fDETC2016-60116.pdf&partnerID=40&md5=63a02a807de5268e842dbef4ccfa5d4f",Conference Paper,Scopus,2-s2.0-85007398031
"Jeong, B., Pettit, C., Dharmasena, S., Keum, H., Lee, J., Kim, J., Kim, S., McFarland, D.M., Bergman, L.A., Vakakis, A.F., Cho, H.","Corrigendum: Utilizing intentional internal resonance to achieve multi-harmonic atomic force microscopy (2016 Nanotechnology 27 125501)",2016,"Nanotechnology","27","19", 199501,"","",,1,10.1088/0957-4484/27/19/199501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963685620&doi=10.1088%2f0957-4484%2f27%2f19%2f199501&partnerID=40&md5=02718a2b7ba9927d5e0b6633ec75e4ca",Erratum,Scopus,2-s2.0-84963685620
