Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rose, I., Buffett, B., Heister, T.","Stability and accuracy of free surface time integration in viscous flows",2017,"Physics of the Earth and Planetary Interiors","262",,,"90","100",,,10.1016/j.pepi.2016.11.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006742017&doi=10.1016%2fj.pepi.2016.11.007&partnerID=40&md5=a7a1cfa2e2971ec783392b66a861944a",Article,Scopus,2-s2.0-85006742017
"Matsui, H., Heien, E., Aubert, J., Aurnou, J.M., Avery, M., Brown, B., Buffett, B.A., Busse, F., Christensen, U.R., Davies, C.J., Featherstone, N., Gastine, T., Glatzmaier, G.A., Gubbins, D., Guermond, J.-L., Hayashi, Y.-Y., Hollerbach, R., Hwang, L.J., Jackson, A., Jones, C.A., Jiang, W., Kellogg, L.H., Kuang, W., Landeau, M., Marti, P., Olson, P., Ribeiro, A., Sasaki, Y., Schaeffer, N., Simitev, R.D., Sheyko, A., Silva, L., Stanley, S., Takahashi, F., Takehiro, S.-I., Wicht, J., Willis, A.P.","Performance benchmarks for a next generation numerical dynamo model",2016,"Geochemistry, Geophysics, Geosystems","17","5",,"1586","1607",,4,10.1002/2015GC006159,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976531791&doi=10.1002%2f2015GC006159&partnerID=40&md5=e9befa256a179e62f62725eae34f592e",Article,Scopus,2-s2.0-84976531791
"Frederick, J.M., Buffett, B.A.","Submarine groundwater discharge as a possible formation mechanism for permafrost-associated gas hydrate on the circum-Arctic continental shelf",2016,"Journal of Geophysical Research B: Solid Earth","121","3",,"1383","1404",,1,10.1002/2015JB012627,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961654660&doi=10.1002%2f2015JB012627&partnerID=40&md5=c98358fa1733165e3f3eaef19d8b7f5c",Article,Scopus,2-s2.0-84961654660
"Buffett, B.","Earth science: Another energy source for the geodynamo",2016,"Nature","529","7586",,"288","289",,,10.1038/529288a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955508878&doi=10.1038%2f529288a&partnerID=40&md5=ef9cdbfc747a50af55ad568483c75b25",Short Survey,Scopus,2-s2.0-84955508878
"Buffett, B., Knezek, N., Holme, R.","Evidence for MAC waves at the top of Earth's core and implications for variations in length of day",2016,"Geophysical Journal International","204","3",,"1789","1800",,2,10.1093/gji/ggv552,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962722830&doi=10.1093%2fgji%2fggv552&partnerID=40&md5=1e5be96eb13b75e4cfff5b4d6ed7bbea",Article,Scopus,2-s2.0-84962722830
"Buffett, B., Matsui, H.","The fluid dynamics of inner-core growth",2015,"Physics of the Earth and Planetary Interiors","243",,,"22","29",,,10.1016/j.pepi.2015.04.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937760328&doi=10.1016%2fj.pepi.2015.04.001&partnerID=40&md5=59453e9a1b671eb09d94897a9f340a89",Article,Scopus,2-s2.0-84937760328
"Frederick, J.M., Buffett, B.A.","Effects of submarine groundwater discharge on the present-day extent of relict submarine permafrost and gas hydrate stability on the Beaufort Sea continental shelf",2015,"Journal of Geophysical Research F: Earth Surface","120","3",,"417","432",,7,10.1002/2014JF003349,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927653297&doi=10.1002%2f2014JF003349&partnerID=40&md5=58ddfd287038691ca96b55360da626cb",Article,Scopus,2-s2.0-84927653297
"Buffett, B., Matsui, H.","A power spectrum for the geomagnetic dipole moment",2015,"Earth and Planetary Science Letters","411",,,"20","26",,7,10.1016/j.epsl.2014.11.045,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916917707&doi=10.1016%2fj.epsl.2014.11.045&partnerID=40&md5=cfa814c09d357c73f105359455211056",Article,Scopus,2-s2.0-84916917707
"Buffett, B.","Dipole fluctuations and the duration of geomagnetic polarity transitions",2015,"Geophysical Research Letters","42","18",,"7444","7451",,2,10.1002/2015GL065700,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945217286&doi=10.1002%2f2015GL065700&partnerID=40&md5=a45e4e4069ca925dd2cebb3695d707b3",Article,Scopus,2-s2.0-84945217286
"Frederick, J.M., Buffett, B.A.","Effects of submarine groundwater discharge on the present-day extent of relict submarine permafrost and gas hydrate stability on the Beaufort Sea continental shelf",2015,"Journal of Geophysical Research F: Earth Surface",,,,"","",,,10.1002/2014JF003349,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924358504&doi=10.1002%2f2014JF003349&partnerID=40&md5=a3a5daed7626a0bc50ed8ea55589f768",Article in Press,Scopus,2-s2.0-84924358504
