Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Seltmann, K.C., Cobb, N.S., Gall, L.F., Bartlett, C.R., Basham, M.A., Betancourt, I., Bills, C., Brandt, B., Brown, R.L., Bundy, C., Caterino, M.S., Chapman, C., Cognato, A., Colby, J., Cook, S.P., Daly, K.M., Dyer, L.A., Franz, N.M., Gelhaus, J.K., Grinter, C.C., Harp, C.E., Hawkins, R.L., Heydon, S.L., Hill, G.M., Huber, S., Johnson, N., Kawahara, A.Y., Kimsey, L.S., Kondratieff, B.C., Krell, F.-T., Leblanc, L., Lee, S., Marshall, C.J., McCabe, L.M., McHugh, J.V., Menard, K.L., Opler, P.A., Palffy-Muhoray, N., Pardikes, N., Peterson, M.A., Pierce, N.E., Poremski, A., Sikes, D.S., Weintraub, J.D., Wikle, D., Zaspel, J.M., Zolnerowich, G.","LepNet: The Lepidoptera of North America Network",2017,"Zootaxa","4247","1",,"73","77",,,10.11646/zootaxa.4247.1.10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015979166&doi=10.11646%2fzootaxa.4247.1.10&partnerID=40&md5=2d9cf119abb2545a387a2932eeeafa04",Letter,Scopus,2-s2.0-85015979166
"Nesheim, K.C., Masner, L., Johnson, N.F.","The phanuromyia galeata species group (Hymenoptera, Platygastridae, Telenominae): Shining a lantern into an unexplored corner of Neotropical diversity",2017,"ZooKeys","2017","663",,"71","105",,,10.3897/zookeys.663.11554,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016635856&doi=10.3897%2fzookeys.663.11554&partnerID=40&md5=7f15ec9e76066bf2cbdce684b49f8422",Article,Scopus,2-s2.0-85016635856
"Talamas, E.J., Johnson, N.F., Buffington, M.L., Ren, D.","Archaeoteleia Masner in the Cretaceous and a new species of Proteroscelio Brues (Hymenoptera, Platygastroidea)",2017,"Journal of Hymenoptera Research","56",,,"241","261",,1,10.3897/jhr.56.10388,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022076007&doi=10.3897%2fjhr.56.10388&partnerID=40&md5=e175d17a39689ece1118a1dbaddeec73",Article,Scopus,2-s2.0-85022076007
"Chen, H.-Y., Masner, L., Johnson, N.F.","New world species of the genus calliscelio Ashmead (Hymenoptera, platygastridae, scelioninae)",2017,"ZooKeys","2017","648Special Issue",,"","",,,10.3897/zookeys.648.10935,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011958958&doi=10.3897%2fzookeys.648.10935&partnerID=40&md5=1f55c295233edb507ac26ba81c4e9ecb",Article,Scopus,2-s2.0-85011958958
"Talamas, E.J., Thompson, J., Cutler, A., Schoenberger, S.F., Cuminale, A., Jung, T., Johnson, N.F., Valerio, A.A., Smith, A.B., Haltermann, V., Alvarez, E., Schwantes, C., Blewer, C., Bodenreider, C., Salzberg, A., Luo, P., Meislin, D., Buffington, M.L.","An online photographic catalog of primary types of Platygastroidea (Hymenoptera) in the National Museum of Natural History, Smithsonian Institution",2017,"Journal of Hymenoptera Research","56",,,"187","224",,,10.3897/jhr.56.10774,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022039654&doi=10.3897%2fjhr.56.10774&partnerID=40&md5=42973fa9649f67549396e8477c845271",Article,Scopus,2-s2.0-85022039654
"Burks, R.A., Masner, L., Johnson, N.F., Austin, A.D.","Systematics of the parasitic wasp genus Oxyscelio Kieffer (Hymenoptera, Platygastridae s.l.), part III: African fauna",2016,"ZooKeys","2016","565",,"29","71",,,10.3897/zookeys.565.7185,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958751779&doi=10.3897%2fzookeys.565.7185&partnerID=40&md5=61cdca1ba8cfb9d4e04c469432e0e36f",Article,Scopus,2-s2.0-84958751779
"Mitroiu, M.-D., Noyes, J., Cetkovic, A., Nonveiller, G., Radchenko, A., Polaszek, A., Ronquist, F., Forshage, M., Pagliano, G., Gusenleitner, J., Bartalucci, M.B., Olmi, M., Fusu, L., Madl, M., Johnson, N.F., Jansta, P., Wahis, R., Soon, V., Rosa, P., Osten, T., Barbier, Y., de Jong, Y.","Fauna Europaea: Hymenoptera - Apocrita (excl. Ichneumonoidea)",2015,"Biodiversity Data Journal","3","1", e4186,"","",,3,10.3897/BDJ.3.e4186,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018196609&doi=10.3897%2fBDJ.3.e4186&partnerID=40&md5=5b6f01ecdd340de25a3980c81bbd4cb5",Article,Scopus,2-s2.0-85018196609
"Talamas, E.J., Johnson, N.F., Buffington, M.","Key to Nearctic species of Trissolcus Ashmead (Hymenoptera, Scelionidae), natural enemies of native and invasive stink bugs (Hemiptera, Pentatomidae)",2015,"Journal of Hymenoptera Research","43",,,"45","110",,8,10.3897/JHR.43.8560,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928175687&doi=10.3897%2fJHR.43.8560&partnerID=40&md5=80b9af3c55daff8430a956937ebaee40",Article,Scopus,2-s2.0-84928175687
"Yoder, M.J., Valerio, A.A., Polaszek, A., van Noort, S., Masner, L., Johnson, N.F.","Monograph of the afrotropical species of Scelio Latreille (hymenoptera, platygastridae), egg parasitoids of acridid grasshoppers (Orthoptera, Acrididae)",2014,"ZooKeys","380","SPEC. ISSUE",,"1","188",,3,10.3897/zookeys.380.5755,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894086526&doi=10.3897%2fzookeys.380.5755&partnerID=40&md5=c17f02842b1dc73058bf877a51c41b8e",Article,Scopus,2-s2.0-84894086526
"Mao, M., Austin, A.D., Johnson, N.F., Dowton, M.","Coexistence of minicircular and a highly rearranged mtDNA molecule suggests that recombination shapes mitochondrial genome organization",2014,"Molecular Biology and Evolution","31","3",,"636","644",,12,10.1093/molbev/mst255,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895772648&doi=10.1093%2fmolbev%2fmst255&partnerID=40&md5=ba335619cff1a4ac7c15d03425596f92",Article,Scopus,2-s2.0-84895772648
"Matsuo, K., Hirose, Y., Johnson, N.F.","A taxonomic issue of two species of Trissolcus (Hymenoptera: Platygastridae) parasitic on eggs of the brown-winged green bug, Plautia stali (Hemiptera: Pentatomidae): Resurrection of T. plautiae, a cryptic species of T. japonicus revealed by morphology, reproductive isolation and molecular evidence",2014,"Applied Entomology and Zoology","49","3",,"385","394",,5,10.1007/s13355-014-0260-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905500014&doi=10.1007%2fs13355-014-0260-4&partnerID=40&md5=c4ee76ed09db66a6911163be59289880",Article,Scopus,2-s2.0-84905500014
"Taekul, C., Valerio, A.A., Austin, A.D., Klompen, H., Johnson, N.F.","Molecular phylogeny of telenomine egg parasitoids (Hymenoptera: Platygastridae s.l.: Telenominae): Evolution of host shifts and implications for classification",2014,"Systematic Entomology","39","1",,"24","35",,6,10.1111/syen.12032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891825522&doi=10.1111%2fsyen.12032&partnerID=40&md5=5bfd60df6a3d4cca283e2fc4095bc2ae",Article,Scopus,2-s2.0-84891825522
