Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Current, K., Kowalske, M.G.","The effect of instructional method on teaching assistants' classroom discourse",2016,"Chemistry Education Research and Practice","17","3",,"590","603",,,10.1039/c6rp00050a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016449771&doi=10.1039%2fc6rp00050a&partnerID=40&md5=b08b084c2a2f436fcfa60cea0ab7d135",Article,Scopus,2-s2.0-85016449771
"Grunert, M.L.","Safety and motherhood in the chemistry research lab",2014,"Mom the Chemistry Professor: Personal Accounts and Advice from Chemistry Professors Who are Mothers",,,,"201","209",,,10.1007/978-3-319-06044-6_17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931375512&doi=10.1007%2f978-3-319-06044-6_17&partnerID=40&md5=6b9cc01a729acaf51dfccf2cd33cb8c6",Book Chapter,Scopus,2-s2.0-84931375512
"Grunert, M.L.","Safety in the lab: Safety and motherhood in the chemistry research lab",2014,"Mom the Chemistry Professor: Personal Accounts and Advice from Chemistry Professors Who are Mothers",,,,"199","209",,,10.1007/978-3-319-06044-6_17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948122957&doi=10.1007%2f978-3-319-06044-6_17&partnerID=40&md5=918ee15988868ef9ec2d5f871a1e0de9",Book Chapter,Scopus,2-s2.0-84948122957
"Grunert, M.L., Raker, J.R., Murphy, K.L., Holme, T.A.","Polytomous versus dichotomous scoring on multiple-choice examinations: Development of a rubric for rating partial credit",2013,"Journal of Chemical Education","90","10",,"1310","1315",,4,10.1021/ed400247d,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885400126&doi=10.1021%2fed400247d&partnerID=40&md5=c610290803f31a8961321f231c59bc53",Article,Scopus,2-s2.0-84885400126
"Barthelemy, R.S., Henderson, C., Grunert, M.L.","How do they get here?: Paths into physics education research",2013,"Physical Review Special Topics - Physics Education Research","9","2", 020107,"","",,3,10.1103/PhysRevSTPER.9.020107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881506270&doi=10.1103%2fPhysRevSTPER.9.020107&partnerID=40&md5=62da2834593e962cedd6ea588e336008",Article,Scopus,2-s2.0-84881506270
"Holme, T., Grunert, M.","ACS exams as an example of scholarship-based assessment in a discipline",2012,"AIP Conference Proceedings","1413",,,"35","38",,,10.1063/1.3679987,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857476306&doi=10.1063%2f1.3679987&partnerID=40&md5=1459811ded920a5558f6531472df8c6f",Conference Paper,Scopus,2-s2.0-84857476306
"Grunert, M.L., Bodner, G.M.","Finding fulfillment: Women's self-efficacy beliefs and career choices in chemistry",2011,"Chemistry Education Research and Practice","12","4",,"420","426",,6,10.1039/C1RP90050A,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859297562&doi=10.1039%2fC1RP90050A&partnerID=40&md5=f563e6f924dfef52b3be52d4557d83ee",Article,Scopus,2-s2.0-84859297562
