Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"You, Y.-M., Liao, W.-Q., Zhao, D., Ye, H.-Y., Zhang, Y., Zhou, Q., Niu, X., Wang, J., Li, P.-F., Fu, D.-W., Wang, Z., Gao, S., Yang, K., Liu, J.-M., Li, J., Yan, Y., Xiong, R.-G.","An organic-inorganic perovskite ferroelectric with large piezoelectric response",2017,"Science","357","6348",,"306","309",,,10.1126/science.aai8535,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025438474&doi=10.1126%2fscience.aai8535&partnerID=40&md5=685629c6c404aa5028b41c9f38554465",Article,Scopus,2-s2.0-85025438474
"Meng, W., Wang, X., Xiao, Z., Wang, J., Mitzi, D.B., Yan, Y.","Parity-Forbidden Transitions and Their Impact on the Optical Absorption Properties of Lead-Free Metal Halide Perovskites and Double Perovskites",2017,"Journal of Physical Chemistry Letters","8","13",,"2999","3007",,1,10.1021/acs.jpclett.7b01042,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021903832&doi=10.1021%2facs.jpclett.7b01042&partnerID=40&md5=a222260dd8cbf3733d9aaa0fe99f6d05",Article,Scopus,2-s2.0-85021903832
"Du, K.-Z., Meng, W., Wang, X., Yan, Y., Mitzi, D.B.","Bandgap Engineering of Lead-Free Double Perovskite Cs<inf>2</inf>AgBiBr<inf>6</inf> through Trivalent Metal Alloying",2017,"Angewandte Chemie - International Edition","56","28",,"8158","8162",,,10.1002/anie.201703970,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020484982&doi=10.1002%2fanie.201703970&partnerID=40&md5=9c985b7e0bffdaad038922ced76f3a40",Article,Scopus,2-s2.0-85020484982
"Li, C., Poplawsky, J., Yan, Y., Pennycook, S.J.","Understanding individual defects in CdTe thin-film solar cells via STEM: From atomic structure to electrical activity",2017,"Materials Science in Semiconductor Processing","65",,,"64","76",,,10.1016/j.mssp.2016.06.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978910913&doi=10.1016%2fj.mssp.2016.06.017&partnerID=40&md5=18a4f55743f2832b515caef67849ca3b",Review,Scopus,2-s2.0-84978910913
"Weng, B., Xiao, Z., Meng, W., Grice, C.R., Poudel, T., Deng, X., Yan, Y.","Bandgap Engineering of Barium Bismuth Niobate Double Perovskite for Photoelectrochemical Water Oxidation",2017,"Advanced Energy Materials","7","9",,"","",,,10.1002/aenm.201602260,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007129440&doi=10.1002%2faenm.201602260&partnerID=40&md5=e2df3b5e4577cb1c67f8527c32c3593d",Article,Scopus,2-s2.0-85007129440
"Xiao, Z., Du, K.-Z., Meng, W., Wang, J., Mitzi, D.B., Yan, Y.","Intrinsic Instability of Cs<inf>2</inf>In(I)M(III)X<inf>6</inf> (M = Bi, Sb; X = Halogen) Double Perovskites: A Combined Density Functional Theory and Experimental Study",2017,"Journal of the American Chemical Society","139","17",,"6054","6057",,2,10.1021/jacs.7b02227,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018268367&doi=10.1021%2fjacs.7b02227&partnerID=40&md5=e58f58ab07d38540f7135f9de6c43836",Article,Scopus,2-s2.0-85018268367
"Wang, C., Zhao, D., Yu, Y., Shrestha, N., Grice, C.R., Liao, W., Cimaroli, A.J., Chen, J., Ellingson, R.J., Zhao, X., Yan, Y.","Compositional and morphological engineering of mixed cation perovskite films for highly efficient planar and flexible solar cells with reduced hysteresis",2017,"Nano Energy","35",,,"223","232",,3,10.1016/j.nanoen.2017.03.048,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016278381&doi=10.1016%2fj.nanoen.2017.03.048&partnerID=40&md5=b13b964f47b8f8cb599b00eda4c712c1",Article,Scopus,2-s2.0-85016278381
"Yang, M., Li, Z., Reese, M.O., Reid, O.G., Kim, D.H., Siol, S., Klein, T.R., Yan, Y., Berry, J.J., Van Hest, M.F.A.M., Zhu, K.","Perovskite ink with wide processing window for scalable high-efficiency solar cells",2017,"Nature Energy","2","5", 17038,"","",,,10.1038/nenergy.2017.38,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019113116&doi=10.1038%2fnenergy.2017.38&partnerID=40&md5=b113ba6fe17aaf0f595753b2f770c1c5",Article,Scopus,2-s2.0-85019113116
"Ge, J., Koirala, P., Grice, C.R., Roland, P.J., Yu, Y., Tan, X., Ellingson, R.J., Collins, R.W., Yan, Y.","Oxygenated CdS Buffer Layers Enabling High Open-Circuit Voltages in Earth-Abundant Cu<inf>2</inf>BaSnS<inf>4</inf> Thin-Film Solar Cells",2017,"Advanced Energy Materials","7","6",,"","",,2,10.1002/aenm.201601803,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006413336&doi=10.1002%2faenm.201601803&partnerID=40&md5=5d58933fe83815a804c78b9592edd393",Article,Scopus,2-s2.0-85006413336
"Zhao, D., Yu, Y., Wang, C., Liao, W., Shrestha, N., Grice, C.R., Cimaroli, A.J., Guan, L., Ellingson, R.J., Zhu, K., Zhao, X., Xiong, R.-G., Yan, Y.","Low-bandgap mixed tin-lead iodide perovskite absorbers with long carrier lifetimes for all-perovskite tandem solar cells",2017,"Nature Energy","2","4", 17018,"","",,7,10.1038/nenergy.2017.18,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016324194&doi=10.1038%2fnenergy.2017.18&partnerID=40&md5=b327e9375615b21a887f47411364e566",Article,Scopus,2-s2.0-85016324194
