Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Holowka, N.B., O'Neill, M.C., Thompson, N.E., Demes, B.","Chimpanzee and human midfoot motion during bipedal walking and the evolution of the longitudinal arch of the foot",2017,"Journal of Human Evolution","104",,,"23","31",,2,10.1016/j.jhevol.2016.12.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011911885&doi=10.1016%2fj.jhevol.2016.12.002&partnerID=40&md5=00e2b0761c10ac3564ca404b8f808058",Article,Scopus,2-s2.0-85011911885
"Holowka, N.B., O'Neill, M.C., Thompson, N.E., Demes, B.","Chimpanzee ankle and foot joint kinematics: Arboreal versus terrestrial locomotion",2017,"American Journal of Physical Anthropology",,,,"","",,,10.1002/ajpa.23262,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020299600&doi=10.1002%2fajpa.23262&partnerID=40&md5=c91ad98a8ce6be1e3d3d64e99f363810",Article in Press,Scopus,2-s2.0-85020299600
"Hatala, K.G., Demes, B., Richmond, B.G.","Laetoli footprints reveal bipedal gait biomechanics different from those of modern humans and chimpanzees",2016,"Proceedings of the Royal Society B: Biological Sciences","283","1836", 20160235,"","",,6,10.1098/rspb.2016.0235,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982286595&doi=10.1098%2frspb.2016.0235&partnerID=40&md5=74aac2638e591d28d2f4c9fe1c4f4c68",Article,Scopus,2-s2.0-84982286595
"Fernández, P.J., Holowka, N.B., Demes, B., Jungers, W.L.","Form and function of the human and chimpanzee forefoot: Implications for early hominin bipedalism",2016,"Scientific Reports","6",, 30532,"","",,1,10.1038/srep30532,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979896219&doi=10.1038%2fsrep30532&partnerID=40&md5=3160aa02889d496fea94d2268a8dcdc7",Article,Scopus,2-s2.0-84979896219
"Thompson, N.E., Demes, B., O'Neill, M.C., Holowka, N.B., Larson, S.G.","Surprising trunk rotational capabilities in chimpanzees and implications for bipedal walking proficiency in early hominins",2015,"Nature Communications","6",, 8416,"","",,6,10.1038/ncomms9416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943339778&doi=10.1038%2fncomms9416&partnerID=40&md5=22aae24bd4d1ff04ac194991d3196e8d",Article,Scopus,2-s2.0-84943339778
"Wallace, I.J., Pagnotti, G.M., Rubin-Sigler, J., Naeher, M., Copes, L.E., Judex, S., Rubin, C.T., Demes, B.","Focal enhancement of the skeleton to exercise correlates with responsivity of bone marrow mesenchymal stem cells rather than peak external forces",2015,"Journal of Experimental Biology","218","19",,"3002","3009",,10,10.1242/jeb.118729,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962900963&doi=10.1242%2fjeb.118729&partnerID=40&md5=547d694a5e2fd299766da92a00971f0c",Article,Scopus,2-s2.0-84962900963
"O'Neill, M.C., Lee, L.-F., Demes, B., Thompson, N.E., Larson, S.G., Stern, J.T., Umberger, B.R.","Three-dimensional kinematics of the pelvis and hind limbs in chimpanzee (Pan troglodytes) and human bipedal walking",2015,"Journal of Human Evolution","86",,,"32","42",,11,10.1016/j.jhevol.2015.05.012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940453107&doi=10.1016%2fj.jhevol.2015.05.012&partnerID=40&md5=aa023c2a796a1506f86f263707817342",Article,Scopus,2-s2.0-84940453107
"Wallace, I.J., Judex, S., Demes, B.","Effects of load-bearing exercise on skeletal structure and mechanics differ between outbred populations of mice",2015,"Bone","72",,,"1","8",,4,10.1016/j.bone.2014.11.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912095389&doi=10.1016%2fj.bone.2014.11.013&partnerID=40&md5=596417adfb5fd11d6eea2684c26ad033",Article,Scopus,2-s2.0-84912095389
"Demes, B., Thompson, N.E., O'Neill, M.C., Umberger, B.R.","Center of mass mechanics of chimpanzee bipedal walking",2015,"American Journal of Physical Anthropology","156","3",,"422","433",,1,10.1002/ajpa.22667,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923287187&doi=10.1002%2fajpa.22667&partnerID=40&md5=c58d1690c57e4f07c2331580a031e3b6",Article,Scopus,2-s2.0-84923287187
"Wallace, I.J., Gupta, S., Sankaran, J., Demes, B., Judex, S.","Bone shaft bending strength index is unaffected by exercise and unloading in mice",2015,"Journal of Anatomy","226","3",,"224","228",,5,10.1111/joa.12277,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922974405&doi=10.1111%2fjoa.12277&partnerID=40&md5=a7770e70ee6ef9d5736f42fb1e071a56",Article,Scopus,2-s2.0-84922974405
