Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Patel, H.N., Carroll, I., Lopez, R., Sankararaman, S., Etienne, C., Kodigala, S.R., Paul, M.R., Postma, H.W.Ch.","DNA-graphene interactions during translocation through nanogaps",2017,"PLoS ONE","12","2", e0171505,"","",,,10.1371/journal.pone.0171505,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011578797&doi=10.1371%2fjournal.pone.0171505&partnerID=40&md5=3013794b62a62e2edee0ffd2b0070109",Article,Scopus,2-s2.0-85011578797
"Kramár, M., Levanger, R., Tithof, J., Suri, B., Xu, M., Paul, M., Schatz, M.F., Mischaikow, K.","Analysis of Kolmogorov flow and Rayleigh–Bénard convection using persistent homology",2016,"Physica D: Nonlinear Phenomena","334",,,"82","98",,2,10.1016/j.physd.2016.02.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960154498&doi=10.1016%2fj.physd.2016.02.003&partnerID=40&md5=7cbb7fd477def017bd3a3a3525eeddb1",Article,Scopus,2-s2.0-84960154498
"Xu, M., Paul, M.R.","Covariant Lyapunov vectors of chaotic Rayleigh-Bénard convection",2016,"Physical Review E","93","6", 062208,"","",,1,10.1103/PhysRevE.93.062208,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975248797&doi=10.1103%2fPhysRevE.93.062208&partnerID=40&md5=c2416d53404b33054d21f980b2e06b6a",Article,Scopus,2-s2.0-84975248797
"Radiom, M., Paul, M.R., Ducker, W.A.","Dynamics of single-stranded DNA tethered to a solid",2016,"Nanotechnology","27","25", 255701,"","",,1,10.1088/0957-4484/27/25/255701,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975078580&doi=10.1088%2f0957-4484%2f27%2f25%2f255701&partnerID=40&md5=e5d1800ff77c3c6cda72814bce1f1684",Article,Scopus,2-s2.0-84975078580
"Radiom, M., Robbins, B., Paul, M., Ducker, W.","Hydrodynamic interactions of two nearly touching Brownian spheres in a stiff potential: Effect of fluid inertia",2015,"Physics of Fluids","27","2", 1.4908295,"","",,2,10.1063/1.4908295,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924276190&doi=10.1063%2f1.4908295&partnerID=40&md5=c0256f4ded8e630164e6478c0147a211",Article,Scopus,2-s2.0-84924276190
"Subramanian, K., Paul, M.R., Tyson, J.J.","Dynamical Localization of DivL and PleC in the Asymmetric Division Cycle of Caulobacter crescentus: A Theoretical Investigation of Alternative Models",2015,"PLoS Computational Biology","11","7", e1004348,"","",27,5,10.1371/journal.pcbi.1004348,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938631402&doi=10.1371%2fjournal.pcbi.1004348&partnerID=40&md5=aafc414c0fa59e48971c861906f877d9",Article,Scopus,2-s2.0-84938631402
"Lissandrello, C., Inci, F., Francom, M., Paul, M.R., Demirci, U., Ekinci, K.L.","Nanomechanical motion of Escherichia coli adhered to a surface",2014,"Applied Physics Letters","105","11", 113701,"","",,21,10.1063/1.4895132,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907168763&doi=10.1063%2f1.4895132&partnerID=40&md5=d25059c7d5b21fd6b7789a2f4258cbea",Article,Scopus,2-s2.0-84907168763
"Mehrvarzi, C.O., Paul, M.R.","Front propagation in a chaotic flow field",2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","90","1", 012905,"","",,,10.1103/PhysRevE.90.012905,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905499291&doi=10.1103%2fPhysRevE.90.012905&partnerID=40&md5=c0a44ba0eee4705977bfb7b9f876a25c",Article,Scopus,2-s2.0-84905499291
"Robbins, B.A., Radiom, M., Ducker, W.A., Walz, J.Y., Paul, M.R.","The stochastic dynamics of tethered microcantilevers in a viscous fluid",2014,"Journal of Applied Physics","116","16", 164905,"","",,1,10.1063/1.4900525,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908432451&doi=10.1063%2f1.4900525&partnerID=40&md5=0e889cadd6ac0dc0a2393390949834b9",Article,Scopus,2-s2.0-84908432451
"Paul, M.R., Clark, M.T., Cross, M.C.","Coupled motion of microscale and nanoscale elastic objects in a viscous fluid",2013,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","88","4", 043012,"","",,5,10.1103/PhysRevE.88.043012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886650774&doi=10.1103%2fPhysRevE.88.043012&partnerID=40&md5=93259a5758c5fd51733f88c346b201a1",Article,Scopus,2-s2.0-84886650774
