Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Hua, X., Corder, C., Metcalf, H.","Simulation of laser cooling by the bichromatic force",2016,"Physical Review A","93","6", 063410,"","",,,10.1103/PhysRevA.93.063410,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975257899&doi=10.1103%2fPhysRevA.93.063410&partnerID=40&md5=aca670459e190e5cd491266a94d23485",Article,Scopus,2-s2.0-84975257899
"Corder, C., Arnold, B., Metcalf, H.","Laser cooling without spontaneous emission",2015,"Physical Review Letters","114","4", 043002,"","",,4,10.1103/PhysRevLett.114.043002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921908682&doi=10.1103%2fPhysRevLett.114.043002&partnerID=40&md5=593f8890299ce5a1a6afa5eebbc9e5bb",Article,Scopus,2-s2.0-84921908682
"Sun, Y., Metcalf, H.","Nonadiabaticity in stimulated Raman adiabatic passage",2014,"Physical Review A - Atomic, Molecular, and Optical Physics","90","3", 033408,"","",,2,10.1103/PhysRevA.90.033408,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907164435&doi=10.1103%2fPhysRevA.90.033408&partnerID=40&md5=6c0a2623e585dbd5a7f4f45a5fc91abe",Article,Scopus,2-s2.0-84907164435
"Singh, R., Jiang, K., Anisimov, P., Metcalf, H., Dowling, J.P.","Analysis of two level atom in bichromatic field: Entropy flow and search for the carnot cycle",2011,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893604249&partnerID=40&md5=b83110f8a39d8c4dcdffa06a48cba52d",Conference Paper,Scopus,2-s2.0-84893604249
"Singh, R., Jiang, K., Anisimov, P., Metcalf, H., Dowling, J.P.","Analysis of two level atom in bichromatic field: Entropy flow and search for the carnot cycle",2011,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894087536&partnerID=40&md5=b087a458dfa603be40d732b1fc6c0183",Conference Paper,Scopus,2-s2.0-84894087536
"Singh, R., Jiang, K., Anisimov, P., Metcalf, H., Dowling, J.P.","Analysis of two level atom in bichromatic field: Entropy flow and search for the carnot cycle",2011,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893547159&partnerID=40&md5=7982a083e512aaca7629cf9d9a4db38e",Conference Paper,Scopus,2-s2.0-84893547159
"Lu, X., Sun, Y., Metcalf, H.","Rydberg atom spectroscopy enabled by blackbody radiation ionization",2011,"Physical Review A - Atomic, Molecular, and Optical Physics","84","3", 033402,"","",,3,10.1103/PhysRevA.84.033402,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052481977&doi=10.1103%2fPhysRevA.84.033402&partnerID=40&md5=f6fede564d9159ac4be7c3813d097704",Article,Scopus,2-s2.0-80052481977
"Singh, R., Jiang, K., Anisimov, P., Metcalf, H., Dowling, J.P.","Analysis of two level atom in bichromatic field: Entropy flow and search for the Carnot cycle",2011,"2011 Conference on Lasers and Electro-Optics: Laser Science to Photonic Applications, CLEO 2011",,, 5950914,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052104134&partnerID=40&md5=f68cde8b35a071a59b0770b0413f218a",Conference Paper,Scopus,2-s2.0-80052104134
"Stack, D., Elgin, J., Anisimov, P.M., Metcalf, H.","Numerical studies of optical forces from adiabatic rapid passage",2011,"Physical Review A - Atomic, Molecular, and Optical Physics","84","1", 013420,"","",,3,10.1103/PhysRevA.84.013420,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79961040973&doi=10.1103%2fPhysRevA.84.013420&partnerID=40&md5=2d559f3a5eb4e0a64b132bd984c0ee5b",Article,Scopus,2-s2.0-79961040973
"Metcalf, H.","A Subjective history of laser cooling",2010,"Optics InfoBase Conference Papers",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897680969&partnerID=40&md5=49eec537cadd246ddb28cb11105f3114",Conference Paper,Scopus,2-s2.0-84897680969
