Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Franc, C., Mason, G.","On the structure of modules of vector-valued modular forms",2017,"Ramanujan Journal",,,,"1","23",,1,10.1007/s11139-017-9889-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015671626&doi=10.1007%2fs11139-017-9889-2&partnerID=40&md5=4322e8e7c0e21b5f4128cf4fbd587c46",Article in Press,Scopus,2-s2.0-85015671626
"Franc, C., Mason, G.","Hypergeometric series, modular linear differential equations and vector-valued modular forms",2016,"Ramanujan Journal","41","1-3",,"233","267",,,10.1007/s11139-014-9644-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917691269&doi=10.1007%2fs11139-014-9644-x&partnerID=40&md5=26eab108dc5aeaaa8006919217ecf52a",Article,Scopus,2-s2.0-84917691269
"Franc, C., Mason, G.","Three-dimensional imprimitive representations of the modular group and their associated modular forms",2016,"Journal of Number Theory","160",,,"186","214",,,10.1016/j.jnt.2015.08.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944223521&doi=10.1016%2fj.jnt.2015.08.013&partnerID=40&md5=a0234ec3cd8ddcdaedec79cda1b032ef",Article,Scopus,2-s2.0-84944223521
"Höhn, G., Mason, G.","The 290 fixed-point sublattices of the Leech lattice",2016,"Journal of Algebra","448",,,"618","637",,,10.1016/j.jalgebra.2015.08.028,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955136419&doi=10.1016%2fj.jalgebra.2015.08.028&partnerID=40&md5=29a4c661d98320f94951685bda748f65",Article,Scopus,2-s2.0-84955136419
"Krauel, M., Mason, G.","Jacobi trace functions in the theory of vertex operator algebras",2015,"Communications in Number Theory and Physics","9","2",,"273","305",,1,10.4310/CNTP.2015.v9.n2.a2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936953755&doi=10.4310%2fCNTP.2015.v9.n2.a2&partnerID=40&md5=c70e81adf4e64c12865d6cf9106f86ce",Article,Scopus,2-s2.0-84936953755
"Laber, R., Mason, G.","C-Graded vertex algebras and conformal flow",2014,"Journal of Mathematical Physics","55","1", 011705,"","",,,10.1063/1.4862194,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902263326&doi=10.1063%2f1.4862194&partnerID=40&md5=161b04a48a4a263d5bc57170609c6ff5",Article,Scopus,2-s2.0-84902263326
"Mason, G., Ng, S.-H.","Cleft extensions and quotients of twisted quantum doubles",2014,"Developments in Mathematics","38",,,"229","246",,,10.1007/978-3-319-09804-3__11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921478409&doi=10.1007%2f978-3-319-09804-3__11&partnerID=40&md5=6ae37ef8769dd3fe2d4ed42141abd240",Article,Scopus,2-s2.0-84921478409
"Franc, C., Mason, G.","Fourier coefficients of vector-valued modular forms of dimension 2",2014,"Canadian Mathematical Bulletin","57","3",,"485","494",,3,10.4153/CMB-2014-007-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905743252&doi=10.4153%2fCMB-2014-007-3&partnerID=40&md5=d3129128a5204c6f5ce34ce9f0ed8970",Article,Scopus,2-s2.0-84905743252
"Mason, G., Yamskulna, G.","On the structure of N-graded vertex operator algebras",2014,"Developments in Mathematics","38",,,"247","274",,,10.1007/978-3-319-09804-3__12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921529887&doi=10.1007%2f978-3-319-09804-3__12&partnerID=40&md5=16ca0e38bdeb3d7fa76457ae5dbf349a",Article,Scopus,2-s2.0-84921529887
"Iovanov, M., Mason, G., Montgomery, S.","FSZ-groups and Frobenius-Schur indicators of quantum doubles",2014,"Mathematical Research Letters","21","4",,"757","779",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910649702&partnerID=40&md5=e6d017306547577405052e5c8932378a",Article,Scopus,2-s2.0-84910649702
"Mason, G., Yamskulna, G.","Leibniz algebras and Lie algebras",2013,"Symmetry, Integrability and Geometry: Methods and Applications (SIGMA)","9",, 063,"","",,6,10.3842/SIGMA.2013.063,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886667130&doi=10.3842%2fSIGMA.2013.063&partnerID=40&md5=0092a82708834d4a6784b7706c6b850b",Article,Scopus,2-s2.0-84886667130
"Knopp, M., Mason, G.","Vector-valued modular forms with an unnatural boundary",2013,"Developments in Mathematics","28",,,"341","352",,,10.1007/978-1-4614-4075-8_16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883076686&doi=10.1007%2f978-1-4614-4075-8_16&partnerID=40&md5=07e6235806e5523aefcb61abca359587",Article,Scopus,2-s2.0-84883076686
"Knopp, M., Mason, G.","Logarithmic vector-valued modular forms and polynomial-growth estimates of their Fourier coefficients",2012,"Ramanujan Journal","29","1-3",,"213","223",,,10.1007/s11139-011-9363-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869122303&doi=10.1007%2fs11139-011-9363-5&partnerID=40&md5=788c0a7415f22213a52bf8df7d4467be",Article,Scopus,2-s2.0-84869122303
"Knopp, M., Mason, G.","Erratum: Parabolic generalized modular forms and their characters (International Journal of Number Theory (2009) 5: 5 (845-857))",2012,"International Journal of Number Theory","8","4",,"859","864",,,10.1142/S1793042112500509,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861064362&doi=10.1142%2fS1793042112500509&partnerID=40&md5=ed781cc847c0e8b7af2e445d9ffef2a2",Erratum,Scopus,2-s2.0-84861064362
"Krauel, M., Mason, G.","Vertex operator algebras and weak Jacobi forms",2012,"International Journal of Mathematics","23","6", 1250024,"","",,7,10.1142/S0129167X11007677,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860521944&doi=10.1142%2fS0129167X11007677&partnerID=40&md5=ce9d50f3afd9f8df475012a560b939ba",Article,Scopus,2-s2.0-84860521944
