Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Miao, J., Tsige, M., Taylor, P.L.","Generalized model for the diffusion of solvents in glassy polymers: From Fickian to Super Case II",2017,"Journal of Chemical Physics","147","4", 044904,"","",,,10.1063/1.4994924,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026346713&doi=10.1063%2f1.4994924&partnerID=40&md5=f6ef466ef88a62c00bfe2cce5dc088fb",Article,Scopus,2-s2.0-85026346713
"Zhang, H., Yang, K., Chen, Y.-M., Bhatta, R., Tsige, M., Cheng, S.Z.D., Zhu, Y.","Polymers Based on Benzodipyrrolidone and Naphthodipyrrolidone with Latent Hydrogen-Bonding on the Main Chain",2017,"Macromolecular Chemistry and Physics","218","13", 1600617,"","",,,10.1002/macp.201600617,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017149226&doi=10.1002%2fmacp.201600617&partnerID=40&md5=c5f0ed2092b955ee9c58e716d1440835",Article,Scopus,2-s2.0-85017149226
"Megnidio-Tchoukouegno, M., Gaitho, F.M., Mola, G.T., Tsige, M., Pellicane, G.","Unravelling the surface composition of symmetric linear-cyclic polymer blends",2017,"Fluid Phase Equilibria","441",,,"33","42",,,10.1016/j.fluid.2017.02.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013426709&doi=10.1016%2fj.fluid.2017.02.004&partnerID=40&md5=33b3afd8b0f5a9b5843018bf2623b125",Article,Scopus,2-s2.0-85013426709
"Li, D., Liu, Z., Song, J., Li, H., Zhang, B., Yin, P., Zheng, Z.N., Roberts, J.E., Tsige, M., Hill, C.L., Liu, T.","Cation Translocation around Single Polyoxometalate–Organic Hybrid Cluster Regulated by Electrostatic and Cation–π Interactions",2017,"Angewandte Chemie - International Edition","56","12",,"3294","3298",,2,10.1002/anie.201612008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013625499&doi=10.1002%2fanie.201612008&partnerID=40&md5=98416bb95f196e75ccc59b9863c898c5",Article,Scopus,2-s2.0-85013625499
"Tchoukouegno, M.M., Pellicane, G., Tsige, M., Mola, G.T.","Nano-scale morphology dependent performance of thin film organic solar cells",2017,"Journal of Materials Science: Materials in Electronics","28","1",,"214","221",,,10.1007/s10854-016-5513-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982129478&doi=10.1007%2fs10854-016-5513-2&partnerID=40&md5=b3950aafc3884f2baef7b69103e2ecb9",Article,Scopus,2-s2.0-84982129478
"Bekele, S., Tsige, M.","Effect of Polymer/Solid and Polymer/Vapor Instantaneous Interfaces on the Interfacial Structure and Dynamics of Polymer Melt Systems",2016,"Langmuir","32","28",,"7151","7158",,1,10.1021/acs.langmuir.6b01554,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979072499&doi=10.1021%2facs.langmuir.6b01554&partnerID=40&md5=6269ef10db237d9e6aacdf37801fc24d",Article,Scopus,2-s2.0-84979072499
"Jha, K.C., Liu, Z., Vijwani, H., Nadagouda, M., Mukhopadhyay, S.M., Tsige, M.","Carbon nanotube based groundwater remediation: The case of trichloroethylene",2016,"Molecules","21","7", 953,"","",,,10.3390/molecules21070953,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979265939&doi=10.3390%2fmolecules21070953&partnerID=40&md5=4a7f8ac2fe384af547ff54b2a29c0902",Article,Scopus,2-s2.0-84979265939
"Liu, Z., Liu, T., Tsige, M.","Elucidating the origin of the attractive force among hydrophilic macroions",2016,"Scientific Reports","6",, 26595,"","",,3,10.1038/srep26595,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971249977&doi=10.1038%2fsrep26595&partnerID=40&md5=54709690109ad132a9b87e262f745c24",Article,Scopus,2-s2.0-84971249977
"Pellicane, G., Megnidio-Tchoukouegno, M., Mola, G.T., Tsige, M.","Surface enrichment driven by polymer topology",2016,"Physical Review E","93","5", 050501,"","",,1,10.1103/PhysRevE.93.050501,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969800132&doi=10.1103%2fPhysRevE.93.050501&partnerID=40&md5=649a391729f66343fadb63da6888d6b7",Article,Scopus,2-s2.0-84969800132
"Leuty, G.M., Tsige, M., Grest, G.S., Rubinstein, M.","Tension Amplification in Tethered Layers of Bottle-Brush Polymers",2016,"Macromolecules","49","5",,"1950","1960",,1,10.1021/acs.macromol.5b02305,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960347252&doi=10.1021%2facs.macromol.5b02305&partnerID=40&md5=225316a10d0714bb4eeb74bfa83820c9",Article,Scopus,2-s2.0-84960347252
