Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Divinskiy, B., Demidov, V.E., Kozhanov, A., Rinkevich, A.B., Demokritov, S.O., Urazhdin, S.","Nanoconstriction spin-Hall oscillator with perpendicular magnetic anisotropy",2017,"Applied Physics Letters","111","3", 032405,"","",,,10.1063/1.4993910,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024856334&doi=10.1063%2f1.4993910&partnerID=40&md5=e8444dc52016c9e418dcc88f00f2bd21",Article,Scopus,2-s2.0-85024856334
"Demidov, V.E., Urazhdin, S., de Loubens, G., Klein, O., Cros, V., Anane, A., Demokritov, S.O.","Magnetization oscillations and waves driven by pure spin currents",2017,"Physics Reports","673",,,"1","31",,2,10.1016/j.physrep.2017.01.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011588781&doi=10.1016%2fj.physrep.2017.01.001&partnerID=40&md5=289b56e9948514dd4737a42d9b1672f9",Review,Scopus,2-s2.0-85011588781
"Divinskiy, B., Demidov, V.E., Demokritov, S.O., Rinkevich, A.B., Urazhdin, S.","Route toward high-speed nano-magnonics provided by pure spin currents",2016,"Applied Physics Letters","109","25", 252401,"","",,2,10.1063/1.4972244,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006969287&doi=10.1063%2f1.4972244&partnerID=40&md5=0b649f5574529c5ca26fb80037d95408",Article,Scopus,2-s2.0-85006969287
"Urazhdin, S., Demidov, V.E., Cao, R., Divinskiy, B., Tyberkevych, V., Slavin, A., Rinkevich, A.B., Demokritov, S.O.","Mutual synchronization of nano-oscillators driven by pure spin current",2016,"Applied Physics Letters","109","16", 162402,"","",,1,10.1063/1.4964884,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992091178&doi=10.1063%2f1.4964884&partnerID=40&md5=787c5feb874ca7e8439a0cc111520f8e",Article,Scopus,2-s2.0-84992091178
"Ma, T., Cheng, X., Boettcher, S., Urazhdin, S., Novozhilova, L.","Thickness-dependent cooperative aging in polycrystalline films of antiferromagnet CoO",2016,"Physical Review B","94","2", 024422,"","",,,10.1103/PhysRevB.94.024422,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980327625&doi=10.1103%2fPhysRevB.94.024422&partnerID=40&md5=2f4f11cccac691fdb3bae12946449145",Article,Scopus,2-s2.0-84980327625
"Demidov, V.E., Urazhdin, S., Liu, R., Divinskiy, B., Telegin, A., Demokritov, S.O.","Excitation of coherent propagating spin waves by pure spin currents",2016,"Nature Communications","7",, 10446,"","",,11,10.1038/ncomms10446,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961303967&doi=10.1038%2fncomms10446&partnerID=40&md5=b93174355de165f0718906dea2fb9772",Article,Scopus,2-s2.0-84961303967
"Urazhdin, S., Danilenko, U.","Cooperative multiscale aging in a ferromagnet/antiferromagnet bilayer",2015,"Physical Review B - Condensed Matter and Materials Physics","92","17", 174416,"","",,1,10.1103/PhysRevB.92.174416,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948458998&doi=10.1103%2fPhysRevB.92.174416&partnerID=40&md5=8759199dda6d09b15be692ba82a239d0",Article,Scopus,2-s2.0-84948458998
"Demidov, V.E., Urazhdin, S., Divinskiy, B., Rinkevich, A.B., Demokritov, S.O.","Spectral linewidth of spin-current nano-oscillators driven by nonlocal spin injection",2015,"Applied Physics Letters","107","20", 202402,"","",,2,10.1063/1.4936153,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947775464&doi=10.1063%2f1.4936153&partnerID=40&md5=26032206145504c934aa336e29402752",Article,Scopus,2-s2.0-84947775464
"Bonetti, S., Kukreja, R., Chen, Z., Macià, F., Hernàndez, J.M., Eklund, A., Backes, D., Frisch, J., Katine, J., Malm, G., Urazhdin, S., Kent, A.D., Stöhr, J., Ohldag, H., Dürr, H.A.","Direct observation and imaging of a spin-wave soliton with p-like symmetry",2015,"Nature Communications","6",, 8889,"","",,13,10.1038/ncomms9889,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947292475&doi=10.1038%2fncomms9889&partnerID=40&md5=02dfa57e98973c5b1f2d1e5adf03b9a7",Article,Scopus,2-s2.0-84947292475
"Liu, R.H., Lim, W.L., Urazhdin, S.","Dynamical Skyrmion State in a Spin Current Nano-Oscillator with Perpendicular Magnetic Anisotropy",2015,"Physical Review Letters","114","13", 137201,"","",,20,10.1103/PhysRevLett.114.137201,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941783548&doi=10.1103%2fPhysRevLett.114.137201&partnerID=40&md5=e620afd1ca933bdc6b3c8be919efaef2",Article,Scopus,2-s2.0-84941783548
"Demidov, V.E., Urazhdin, S., Zholud, A., Sadovnikov, A.V., Demokritov, S.O.","Dipolar field-induced spin-wave waveguides for spin-torque magnonics",2015,"Applied Physics Letters","106","2", 022403,"","",,9,10.1063/1.4905869,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923886493&doi=10.1063%2f1.4905869&partnerID=40&md5=b9d2fba9969fc39d90152df3590e5f72",Article,Scopus,2-s2.0-84923886493
"Demidov, V.E., Urazhdin, S., Demokritov, S.O.","Excitation of magnetization dynamics by pure spin currents",2015,"2015 IEEE International Magnetics Conference, INTERMAG 2015",,, 7156841,"","",,,10.1109/INTMAG.2015.7156841,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942446887&doi=10.1109%2fINTMAG.2015.7156841&partnerID=40&md5=70fa97bf1142bbef38bf9014b69cf9b5",Conference Paper,Scopus,2-s2.0-84942446887
"Demidov, V.E., Urazhdin, S., Rinkevich, A.B., Reiss, G., Demokritov, S.O.","Amplification of spin waves by the spin-Hall effect in microscopic magnonic waveguides",2015,"2015 IEEE International Magnetics Conference, INTERMAG 2015",,, 7157729,"","",,,10.1109/INTMAG.2015.7157729,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942474745&doi=10.1109%2fINTMAG.2015.7157729&partnerID=40&md5=dfb3bfaaa570abfcfa57d5fdfaa26af8",Conference Paper,Scopus,2-s2.0-84942474745
"Urazhdin, S., Demidov, V.E., Zholud, A., Ulrichs, H., Demokritov, S.O.","Field-induced waveguides for spin-torque magnonics",2015,"2015 IEEE International Magnetics Conference, INTERMAG 2015",,, 7157011,"","",,,10.1109/INTMAG.2015.7157011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942436417&doi=10.1109%2fINTMAG.2015.7157011&partnerID=40&md5=f93a2ed0274626650f3bb2434f0014c3",Conference Paper,Scopus,2-s2.0-84942436417
