Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kohler, M.D., Massari, A., Heaton, T.H., Kanamori, H., Hauksson, E., Guy, R., Clayton, R.W., Bunn, J., Chandy, K.M.","Downtown los angeles 52-story high-rise and free-field response to an oil refinery explosion",2016,"Earthquake Spectra","32","3",,"1793","1820",,,10.1193/062315EQS101M,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983494263&doi=10.1193%2f062315EQS101M&partnerID=40&md5=9da391ddab05b48e9dd131b421b39290",Article,Scopus,2-s2.0-84983494263
"Castro, R.R., Stock, J.M., Hauksson, E., Clayton, R.W.","Active tectonics in the Gulf of California and seismicity (M&gt;3.0) for the period 2002-2014",2016,"Tectonophysics",,,,"","",,,10.1016/j.tecto.2017.02.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014370405&doi=10.1016%2fj.tecto.2017.02.015&partnerID=40&md5=ef8c976057b001c0a5afebebc1b1c3eb",Article in Press,Scopus,2-s2.0-85014370405
"Ma, Y., Clayton, R.W.","Structure of the Los Angeles Basin from ambient noise and receiver functions",2016,"Geophysical Journal International","206","3",,"1645","1651",,3,10.1093/gji/ggw236,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988874452&doi=10.1093%2fgji%2fggw236&partnerID=40&md5=0c1054418f81a6365dc0d129671d1bc6",Article,Scopus,2-s2.0-84988874452
"Ma, Y., Clayton, R.W., Li, D.","Higher-mode ambient-noise Rayleigh waves in sedimentary basins",2016,"Geophysical Journal International","206","3",,"1634","1644",,2,10.1093/gji/ggw235,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988841507&doi=10.1093%2fgji%2fggw235&partnerID=40&md5=fca0f399faba9b3ba7de01ebfeb8d696",Article,Scopus,2-s2.0-84988841507
"Kim, Y., Clayton, R.W.","Seismic properties of the Nazca oceanic crust in southern Peruvian subduction system",2015,"Earth and Planetary Science Letters","429",,,"110","121",,3,10.1016/j.epsl.2015.07.055,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939525620&doi=10.1016%2fj.epsl.2015.07.055&partnerID=40&md5=dc92532d862b4ce3def778046be2e820",Article,Scopus,2-s2.0-84939525620
"Vriend, N.M., Hunt, M.L., Clayton, R.W.","Linear and nonlinear wave propagation in booming sand dunes",2015,"Physics of Fluids","27","10", 103305,"","",,1,10.1063/1.4931971,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946090681&doi=10.1063%2f1.4931971&partnerID=40&md5=f45202478b8a41218cc0a18cd5936e8c",Article,Scopus,2-s2.0-84946090681
"Persaud, P., Di Luccio, F., Clayton, R.W.","Rayleigh wave dispersion measurements reveal low-velocity zones beneath the new crust in the Gulf of California",2015,"Geophysical Research Letters","42","6",,"1766","1774",,,10.1002/2015GL063420,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927720445&doi=10.1002%2f2015GL063420&partnerID=40&md5=d5ba7591be4aa7623cb5c32eaf231ede",Article,Scopus,2-s2.0-84927720445
"Dougherty, S.L., Clayton, R.W.","Seismic structure in southern Peru: Evidence for a smooth contortion between flat and normal subduction of the Nazca Plate",2015,"Geophysical Journal International","200","1",,"534","555",,6,10.1093/gji/ggu415,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928612828&doi=10.1093%2fgji%2fggu415&partnerID=40&md5=385b3ccdcebb37d8b155da64f94c8552",Article,Scopus,2-s2.0-84928612828
"Clayton, R.W., Heaton, T., Kohler, M., Chandy, M., Guy, R., Bunn, J.","Community seismic network: A dense array to sense earthquake strong motion",2015,"Seismological Research Letters","86","5",,"1354","1363",,4,10.1785/0220150094,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941898656&doi=10.1785%2f0220150094&partnerID=40&md5=3c8d6416735159b39cac076c571ed28e",Article,Scopus,2-s2.0-84941898656
"Selvans, M.M., Stock, J.M., Clayton, R.W., Cande, S., Granot, R.","Deep crustal structure of the Adare and Northern Basins, Ross Sea, Antarctica, from sonobuoy data",2014,"Earth and Planetary Science Letters","405",,,"220","230",,1,10.1016/j.epsl.2014.08.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907709678&doi=10.1016%2fj.epsl.2014.08.029&partnerID=40&md5=716f67c357fce8ee12f6b5752104800a",Article,Scopus,2-s2.0-84907709678
