Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Caballero-Nieves, S.M., Nelan, E.P., Gies, D.R., Wallace, D.J., Degioia-Eastwood, K., Herrero, A., Jao, W.-C., Mason, B.D., Massey, P., Moffat, A.F.J., Walborn, N.R.","A high angular resolution survey of massive stars in cygnus ob2: Results from the hubble space telescope fine guidance sensors",2014,"Astronomical Journal","147","2", 40,"","",,11,10.1088/0004-6256/147/2/40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892707179&doi=10.1088%2f0004-6256%2f147%2f2%2f40&partnerID=40&md5=0b15ab2dc18993ff2eb3203e882a8758",Article,Scopus,2-s2.0-84892707179
"Massey, P., Morrell, N.I., Neugent, K.F., Penny, L.R., Degioia-Eastwood, K., Gies, D.R.","Photometric and spectroscopic studies of massive binaries in the large MAGELLANIC CLOUD. I. Introduction and orbits for two detached systems: Evidence for a mass discrepancy?",2012,"Astrophysical Journal","748","2", 96,"","",,28,10.1088/0004-637X/748/2/96,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858720803&doi=10.1088%2f0004-637X%2f748%2f2%2f96&partnerID=40&md5=da871f5c5c198c3cc6310439db862f3c",Article,Scopus,2-s2.0-84858720803
"Evans, N.R., Degioia-Eastwood, K., Gagné, M., Townsley, L., Broos, P., Wolk, S., Nazé, Y., Corcoran, M., Oskinova, L., Moffat, A.F.J., Wang, J., Walborn, N.R.","The search for low-mass companions of B stars in the Carina Nebula Cluster Trumpler 16",2011,"Astrophysical Journal, Supplement Series","194","1", 13,"","",,22,10.1088/0067-0049/194/1/13,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79957610592&doi=10.1088%2f0067-0049%2f194%2f1%2f13&partnerID=40&md5=4544de7cfc37d005c7fbe6a480e430aa",Article,Scopus,2-s2.0-79957610592
"Massey, P., Zangari, A.M., Morrell, N.I., Puls, J., Degioia-Eastwood, K., Bresolin, F., Kudritzki, R.-P.","The physical properties and effective temperature scale of O-type stars as a function of metallicity. III. More results from the Magellanic Clouds",2009,"Astrophysical Journal","692","1",,"618","652",,41,10.1088/0004-637X/692/1/618,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70549101984&doi=10.1088%2f0004-637X%2f692%2f1%2f618&partnerID=40&md5=4a108dd6419efdf04e396072f4d73eff",Article,Scopus,2-s2.0-70549101984
"Morrell, N.I., Massey, P., DeGioia-Eastwood, K., Penny, L.R., Gies, D.R., Tsitkin, Y., Darnell, E.","Massive binaries in the R 136 cluster",2008,"Revista Mexicana de Astronomia y Astrofisica: Serie de Conferencias","33",,,"113","115",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449183155&partnerID=40&md5=e4341ef6b0cf6029e3281737518379e7",Conference Paper,Scopus,2-s2.0-72449183155
"Silva, D.R., Massey, P., Degioia-Eastwood, K., Henning, P.A.","The distance and metallicity of the newly discovered, nearby irregular galaxy HIZSS 3",2005,"Astrophysical Journal","623","1 I",,"148","158",,5,10.1086/428341,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20144382650&doi=10.1086%2f428341&partnerID=40&md5=0be3cba1407241c74a36c0583efed46a",Article,Scopus,2-s2.0-20144382650
"Law, D.R., Degioia-Eastwood, K., Moore, K.L.","Empirical bounds for the ionizing fluxes of Wolf-Rayet stars",2002,"Astrophysical Journal","565","2 I",,"1239","1250",,1,10.1086/337922,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0043175408&doi=10.1086%2f337922&partnerID=40&md5=4eae6554d2791c855727c54f47fd3bef",Article,Scopus,2-s2.0-0043175408
"Clocchiatti, A., Suntzeff, N.B., Phillips, M.M., Filippenko, A.V., Turatto, M., Benetti, S., Cappellaro, E., Avilés, R., Covarrubias, R., Degioia-Eastwood, K., Dickinson, M., Gouiffes, C., Guhathakurta, P., Hamuy, M., Heathcote, S.R., Leibundgut, B., Matheson, T., Navarrete, M., Perez, M., Phillips, A., Piemonte, A., Ruiz, M.T., Shields, J.C., Smith, C., Spinrad, H., Sturch, C.R., Tyson, J.A., Wells, L.","The type Ic SN 1990B in NGC 4568",2001,"Astrophysical Journal","553","2 PART 1",,"886","896",,19,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035373697&partnerID=40&md5=e2e77402561e117757e0761494619e25",Article,Scopus,2-s2.0-0035373697
"DeGioia-Eastwood, K., Throop, H., Walker, G., Cudworth, K.M.","The star formation history of trumpler 14 and trumpler 16",2001,"Astrophysical Journal","549","1 PART 1",,"578","589",,36,10.1086/319047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035284939&doi=10.1086%2f319047&partnerID=40&md5=b2abede2d3311e869a0c00cca954de2e",Article,Scopus,2-s2.0-0035284939
"Massey, P., Degioia-Eastwood, K., Waterhouse, E.","The progenitor masses of Wolf-Rayet stars and luminous blue variables determined from cluster turnoffs. II. Results from 12 galactic clusters and OB associations",2001,"Astronomical Journal","121","2",,"1050","1070",,114,10.1086/318769,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0040483199&doi=10.1086%2f318769&partnerID=40&md5=e3743b514402c591217682e8110ad357",Article,Scopus,2-s2.0-0040483199
