Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Villegas-Negrete, N., Robleto, E.A., Obregón-Herrera, A., Yasbin, R.E., Pedraza-Reyes, M.","Implementation of a loss-of-function system to determine growth and stress-associated mutagenesis in Bacillus subtilis",2017,"PLoS ONE","12","7", e0179625,"","",,,10.1371/journal.pone.0179625,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023195879&doi=10.1371%2fjournal.pone.0179625&partnerID=40&md5=f2d10749b5e09a39ae838c081106cde3",Article,Scopus,2-s2.0-85023195879
"Castro-Cerritos, K.V., Yasbin, R.E., Robleto, E.A., Pedraza-Reyes, M.","Role of ribonucleotide reductase in Bacillus subtilis stress-associated mutagenesis",2017,"Journal of Bacteriology","199","4", 00715-16,"","",,,10.1128/JB.00715-16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011949665&doi=10.1128%2fJB.00715-16&partnerID=40&md5=bfb1df82a9a91065cf25c90b16e9754f",Article,Scopus,2-s2.0-85011949665
"Gómez-Marroquín, M., Martin, H.A., Pepper, A., Girard, M.E., Kidman, A.A., Vallin, C., Yasbin, R.E., Pedraza-Reyes, M., Robleto, E.A.","Stationary-phase mutagenesis in stressed bacillus subtilis cells operates by Mfd-dependent mutagenic pathways",2016,"Genes","7","7", 33,"","",,1,10.3390/genes7070033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978775566&doi=10.3390%2fgenes7070033&partnerID=40&md5=f66e6ee5967e5762f772dcef1fbbea5e",Article,Scopus,2-s2.0-84978775566
"del Carmen Barajas-Ornelas, R., Ramírez-Guadiana, F.H., Juárez-Godínez, R., Ayala-García, V.M., Robleto, E.A., Yasbin, R.E., Pedraza-Reyes, M.","Error-prone processing of apurinic/apyrimidinic (AP) sites by polX underlies a novel mechanism that promotes adaptive mutagenesis in Bacillus subtilis",2014,"Journal of Bacteriology","196","16",,"3012","3022",,8,10.1128/JB.01681-14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904430972&doi=10.1128%2fJB.01681-14&partnerID=40&md5=cf207f4e0ca1c261da3f08b1c42e681b",Article,Scopus,2-s2.0-84904430972
"Ramírez-Guadiana, F.H., del Carmen Barajas-Ornelas, R., Ayala-García, V.M., Yasbin, R.E., Robleto, E., Pedraza-Reyes, M.","Transcriptional coupling of DNA repair in sporulating Bacillus subtilis cells",2013,"Molecular Microbiology","90","5",,"1088","1099",,8,10.1111/mmi.12417,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888326779&doi=10.1111%2fmmi.12417&partnerID=40&md5=5c7be824c4dcd37b96dee1bb6e80a796",Article,Scopus,2-s2.0-84888326779
"Robleto, E., Martin, H.A., Vallin, C., Pedraza-Reyes, M., Yasbin, R.","Transcription-mediated mutagenic processes",2013,"Stress-Induced Mutagenesis",,,,"41","57",,1,10.1007/978-1-4614-6280-4_3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929564492&doi=10.1007%2f978-1-4614-6280-4_3&partnerID=40&md5=10f8ebc3e18eee11bbc90cb19c0af996",Book Chapter,Scopus,2-s2.0-84929564492
"Martin, H.A., Pedraza-Reyes, M., Yasbin, R.E., Robleto, E.A.","Transcriptional de-repression and Mfd are mutagenic in stressed bacillus subtilis cells",2012,"Journal of Molecular Microbiology and Biotechnology","21","1-2",,"45","58",,8,10.1159/000332751,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856026678&doi=10.1159%2f000332751&partnerID=40&md5=6d5750371778aba9e7ba659315507313",Article,Scopus,2-s2.0-84856026678
"López-Olmos, K., Hernández, M.P., Contreras-Garduño, J.A., Robleto, E.A., Setlow, P., Yasbin, R.E., Pedraza-Reyes, M.","Roles of endonuclease V, uracil-DNA glycosylase, and mismatch repair in Bacillus subtilis DNA base-deamination-induced mutagenesis",2012,"Journal of Bacteriology","194","2",,"243","252",,11,10.1128/JB.06082-11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855910162&doi=10.1128%2fJB.06082-11&partnerID=40&md5=2a725095239a84fdbdfced455c8e3732",Article,Scopus,2-s2.0-84855910162
"Debora, B.N., Vidales, L.E., Ramírez, R., Ramírez, M., Robleto, E.A., Yasbin, R.E., Pedraza-Reyes, M.","Mismatch repair modulation of MutY activity drives bacillus subtilis stationary-phase mutagenesis",2011,"Journal of Bacteriology","193","1",,"236","245",,18,10.1128/JB.00940-10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650114501&doi=10.1128%2fJB.00940-10&partnerID=40&md5=3f367559d539513441a4d1b045299346",Article,Scopus,2-s2.0-78650114501
"Pybus, C., Pedraza-Reyes, M., Ross, C.A., Martin, H., Ona, K., Yasbin, R.E., Robleto, E.","Transcription-associated mutation in Bacillus subtilis cells under stress",2010,"Journal of Bacteriology","192","13",,"3321","3328",,24,10.1128/JB.00354-10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954360127&doi=10.1128%2fJB.00354-10&partnerID=40&md5=bbdbae580b3bda8aa489da114f0d3d64",Article,Scopus,2-s2.0-77954360127
