Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Novak, E., Tassell, J.L.","Studying preservice teacher math anxiety and mathematics performance in geometry, word, and non-word problem solving",2017,"Learning and Individual Differences","54",,,"20","29",,,10.1016/j.lindif.2017.01.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009067256&doi=10.1016%2fj.lindif.2017.01.005&partnerID=40&md5=f0a99d1806f10e063f08ee6b69a1f5f8",Article,Scopus,2-s2.0-85009067256
"Novak, E., Tassell, J.","Using video game play to improve education-majors' mathematical performance: An experimental study",2015,"Computers in Human Behavior","53",, 3561,"124","130",,4,10.1016/j.chb.2015.07.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938510117&doi=10.1016%2fj.chb.2015.07.001&partnerID=40&md5=0237d19ff8d9e14fc69cfeb2df923e7b",Article,Scopus,2-s2.0-84938510117
"Novak, E., Tassell, J.L.","A dataset for education-related majors' performance measures with pre/post-video game practice",2015,"British Journal of Educational Technology","46","5",,"932","936",,,10.1111/bjet.12287,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939571225&doi=10.1111%2fbjet.12287&partnerID=40&md5=704567b9d5bc852036a2ad2c70784d25",Article,Scopus,2-s2.0-84939571225
"Tassell, J.L., Stobaugh, R., Maxwell, M.","Ingredients for the ideal lesson plan with technology integration: Researching how to improve pre-service elementary teachers' instructional planning",2013,"Meridian (Raleigh)","16","2",,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893595371&partnerID=40&md5=30b0d76de33e2f2841105b68e3145d26",Article,Scopus,2-s2.0-84893595371
"Schack, E.O., Fisher, M.H., Thomas, J.N., Eisenhardt, S., Tassell, J., Yoder, M.","Prospective elementary school teachers' professional noticing of children's early numeracy",2013,"Journal of Mathematics Teacher Education","16","5",,"379","397",,10,10.1007/s10857-013-9240-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883782506&doi=10.1007%2fs10857-013-9240-9&partnerID=40&md5=0e11a697c875c2910ea0f371ed752c05",Article,Scopus,2-s2.0-84883782506
"Tassell, J.L., McDaniel, K., Johnson, H., Norman, A., Pankratz, R., Tylera, R.","EXPLORE performance in mathematics and science: Why are middle school students unprepared for success in mathematics and science?",2012,"International Journal of Innovation in Science and Mathematics Education","20","1",,"1","23",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865567565&partnerID=40&md5=8954685248d8c36de462711fdbc87dea",Article,Scopus,2-s2.0-84865567565
"Stobaugh, R.R., Tassell, J.L.","Analyzing the degree of technology use occurring in pre-service teacher education",2011,"Educational Assessment, Evaluation and Accountability","23","2",,"143","157",,12,10.1007/s11092-011-9118-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953718035&doi=10.1007%2fs11092-011-9118-2&partnerID=40&md5=014a26a8e0a611c72bcdb002ee7e8a02",Article,Scopus,2-s2.0-79953718035
