Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tula, A.K., Babi, D.K., Bottlaender, J., Eden, M.R., Gani, R.","A computer-aided software-tool for sustainable process synthesis-intensification",2017,"Computers and Chemical Engineering","105",,,"74","95",,,10.1016/j.compchemeng.2017.01.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011092057&doi=10.1016%2fj.compchemeng.2017.01.001&partnerID=40&md5=186650d8b24ba2d0343a3e7a39c62292",Article,Scopus,2-s2.0-85011092057
"Hada, S., Herring, R.H., Eden, M.R.","Mixture formulation through multivariate statistical analysis of process data in property cluster space",2017,"Computers and Chemical Engineering",,,,"","",,,10.1016/j.compchemeng.2017.06.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024088601&doi=10.1016%2fj.compchemeng.2017.06.017&partnerID=40&md5=ae98e803ca70af3f6c5756e4125579cd",Article in Press,Scopus,2-s2.0-85024088601
"Ng, L.Y., Chemmangattuvalappil, N.G., Dev, V.A., Eden, M.R.","Mathematical Principles of Chemical Product Design and Strategies",2017,"Computer Aided Chemical Engineering","39",,,"3","43",,,10.1016/B978-0-444-63683-6.00001-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994644348&doi=10.1016%2fB978-0-444-63683-6.00001-0&partnerID=40&md5=b5204f2ecb73f7a7b09dc84943503438",Book Chapter,Scopus,2-s2.0-84994644348
"Sengupta, D., Huang, Y., Davidson, C.I., Edgar, T.F., Eden, M.R., El-Halwagi, M.M.","Using module-based learning methods to introduce sustainable manufacturing in engineering curriculum",2017,"International Journal of Sustainability in Higher Education","18","3",,"307","328",,,10.1108/IJSHE-05-2015-0100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85012024825&doi=10.1108%2fIJSHE-05-2015-0100&partnerID=40&md5=e11860f0cf49eb8d4b000f0879ba5ff7",Article,Scopus,2-s2.0-85012024825
"Datta, S., Dev, V.A., Eden, M.R.","Hybrid genetic algorithm-decision tree approach for rate constant prediction using structures of reactants and solvent for Diels-Alder reaction",2016,"Computers and Chemical Engineering",,,,"","",,,10.1016/j.compchemeng.2017.02.022,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013910141&doi=10.1016%2fj.compchemeng.2017.02.022&partnerID=40&md5=f598b3499ab5f0a0b62e18bc7e5d4513",Article in Press,Scopus,2-s2.0-85013910141
"Yuan, Z., Eden, M.R.","Superstructure optimization of integrated fast pyrolysis-gasification for production of liquid fuels and propylene",2016,"AIChE Journal","62","9",,"3155","3176",,2,10.1002/aic.15337,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973598657&doi=10.1002%2faic.15337&partnerID=40&md5=ba7fa6b42882ab13202ba6c6b5b13c27",Article,Scopus,2-s2.0-84973598657
"Sadhwani, N., Adhikari, S., Eden, M.R., Wang, Z., Baker, R.","Southern pines char gasification with CO<inf>2</inf>—Kinetics and effect of alkali and alkaline earth metals",2016,"Fuel Processing Technology","150",,,"64","70",,4,10.1016/j.fuproc.2016.04.037,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966715995&doi=10.1016%2fj.fuproc.2016.04.037&partnerID=40&md5=b81fe2d30bcaee855ccb9c35ea3d59f0",Article,Scopus,2-s2.0-84966715995
"Yuan, Z., Eden, M.R., Gani, R.","Toward the Development and Deployment of Large-Scale Carbon Dioxide Capture and Conversion Processes",2016,"Industrial and Engineering Chemistry Research","55","12",,"3383","3419",,16,10.1021/acs.iecr.5b03277,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963595636&doi=10.1021%2facs.iecr.5b03277&partnerID=40&md5=8e52c8d73f3fe153459cd336dcc9d5ca",Review,Scopus,2-s2.0-84963595636
"Sadhwani, N., Adhikari, S., Eden, M.R.","Biomass Gasification Using Carbon Dioxide: Effect of Temperature, CO<inf>2</inf>/C Ratio, and the Study of Reactions Influencing the Process",2016,"Industrial and Engineering Chemistry Research","55","10",,"2883","2891",,2,10.1021/acs.iecr.5b04000,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961393857&doi=10.1021%2facs.iecr.5b04000&partnerID=40&md5=c4d706b537526eace63785dd2003b121",Article,Scopus,2-s2.0-84961393857
"Yuan, Z., Eden, M.R.","Superstructure optimization of integrated fast pyrolysis-gasification for production of liquid fuels and propylene",2016,"AIChE Journal","62","9",,"3155","3176",,1,10.1002/aic.15337,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987800452&doi=10.1002%2faic.15337&partnerID=40&md5=e1657b1585a044757d1c291c2b986c9b",Article,Scopus,2-s2.0-84987800452
"Yuan, Z., Eden, M.R.","Integrated Biorefinery Scheme Design for the Coproduction of Premium Quality Liquid Fuels and Propylene",2016,"Computer Aided Chemical Engineering","38",,,"2001","2006",,,10.1016/B978-0-444-63428-3.50338-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994301921&doi=10.1016%2fB978-0-444-63428-3.50338-6&partnerID=40&md5=b83c1673fc7e03fc441f62b9e430adc9",Book Chapter,Scopus,2-s2.0-84994301921
"Dev, V.A., Chemmangattuvalappil, N.G., Eden, M.R.","Multi-Objective Computer-Aided Molecular Design of Reactants and Products",2016,"Computer Aided Chemical Engineering","38",,,"2055","2060",,1,10.1016/B978-0-444-63428-3.50347-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994309635&doi=10.1016%2fB978-0-444-63428-3.50347-7&partnerID=40&md5=2b8160b0a480cf9c4d35acf69aadff93",Book Chapter,Scopus,2-s2.0-84994309635
