Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Mishra, S., Vanli, O.A., Alduse, B.P., Jung, S.","Hurricane loss estimation in wood-frame buildings using Bayesian model updating: Assessing uncertainty in fragility and reliability analyses",2017,"Engineering Structures","135",,,"81","94",,1,10.1016/j.engstruct.2016.12.063,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008975624&doi=10.1016%2fj.engstruct.2016.12.063&partnerID=40&md5=a576b1417f03ebc0ea5750abfd853b92",Article,Scopus,2-s2.0-85008975624
"Ulak, M.B., Ozguven, E.E., Spainhour, L., Vanli, O.A.","Spatial investigation of aging-involved crashes: A GIS-based case study in Northwest Florida",2017,"Journal of Transport Geography","58",,,"71","91",,,10.1016/j.jtrangeo.2016.11.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002152600&doi=10.1016%2fj.jtrangeo.2016.11.011&partnerID=40&md5=fba8d1bff645e6002703c61db9dfce48",Article,Scopus,2-s2.0-85002152600
"Mishra, S., Vanli, O.A.","Remaining Useful Life Estimation with Lamb-Wave Sensors Based on Wiener Process and Principal Components Regression",2016,"Journal of Nondestructive Evaluation","35","1", 11,"1","13",,1,10.1007/s10921-015-0328-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950311522&doi=10.1007%2fs10921-015-0328-2&partnerID=40&md5=449675753bd0755dd17b526b8c8a84db",Article,Scopus,2-s2.0-84950311522
"Omidvar, A., Ozguven, E.E., Vanli, O.A., Moses, R.","Understanding the factors affecting the frequency and severity of aging population-involved crashes in Florida",2016,"Advances in Transportation Studies","2",,,"113","130",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980601773&partnerID=40&md5=7aefbf400cf2947434b9eb81640c56dc",Article,Scopus,2-s2.0-84980601773
"Mishra, S., Vanli, O.A., Huffer, F.W., Jung, S.","Regularized discriminant analysis for multi-sensor decision fusion and damage detection with Lamb waves",2016,"Proceedings of SPIE - The International Society for Optical Engineering","9803",, 98032H,"","",,,10.1117/12.2217959,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981341559&doi=10.1117%2f12.2217959&partnerID=40&md5=0bbed339249eb06078f2897542657ff2",Conference Paper,Scopus,2-s2.0-84981341559
"Alduse, B.P., Jung, S., Vanli, O.A., Kwon, S.-D.","Effect of uncertainties in wind speed and direction on the fatigue damage of long-span bridges",2015,"Engineering Structures","100",,,"468","478",,2,10.1016/j.engstruct.2015.06.031,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934312191&doi=10.1016%2fj.engstruct.2015.06.031&partnerID=40&md5=e6cfd2e565ad82dcfe73f7ff27bd6aa2",Article,Scopus,2-s2.0-84934312191
"Njuguna, J., Vanli, O.A., Liang, R.","A Review of Spectral Methods for Dispersion Characterization of Carbon Nanotubes in Aqueous Suspensions",2015,"Journal of Spectroscopy","2015",, 463156,"","",,1,10.1155/2015/463156,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953924372&doi=10.1155%2f2015%2f463156&partnerID=40&md5=0551dd3267bfec3751c4edb4976539a5",Review,Scopus,2-s2.0-84953924372
"Vanli, O.A.","A failure time prediction method for condition-based maintenance",2014,"Quality Engineering","26","3",,"335","349",,2,10.1080/08982112.2013.830740,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901656658&doi=10.1080%2f08982112.2013.830740&partnerID=40&md5=91f78b9d5bcd373dd34e920ebf086ec1",Article,Scopus,2-s2.0-84901656658
"Vanli, O.A.","Monitoring of proportional-integral controlled processes using a bayesian time series analysis method",2014,"Quality and Reliability Engineering International","30","8",,"1341","1351",,,10.1002/qre.1555,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912018542&doi=10.1002%2fqre.1555&partnerID=40&md5=d7a10366eae6dcedc1b40884cd23287e",Article,Scopus,2-s2.0-84912018542
"Vanli, O.A., Jung, S.","Statistical updating of finite element model with Lamb wave sensing data for damage detection problems",2014,"Mechanical Systems and Signal Processing","42","1-2",,"137","151",,7,10.1016/j.ymssp.2013.06.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887072744&doi=10.1016%2fj.ymssp.2013.06.015&partnerID=40&md5=6e70a22f3748e0bbafb3211caafed921",Article,Scopus,2-s2.0-84887072744
"Vanli, O.A., Chen, L.J., Tsai, C.H., Zhang, C., Wang, B.","An uncertainty quantification method for nanomaterial prediction models",2014,"International Journal of Advanced Manufacturing Technology","70","1-4",,"33","44",,4,10.1007/s00170-013-5250-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84895918825&doi=10.1007%2fs00170-013-5250-0&partnerID=40&md5=c0d1d5952fb65a7ac0056c6193617e16",Article,Scopus,2-s2.0-84895918825
"Yantay, P., Pan, R., Vanli, O.A.","Sampling schedule optimization of embedded wireless sensors for degradation monitoring",2013,"PHM 2013 - 2013 IEEE International Conference on Prognostics and Health Management, Conference Proceedings",,, 6621414,"","",,,10.1109/ICPHM.2013.6621414,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888880636&doi=10.1109%2fICPHM.2013.6621414&partnerID=40&md5=8b7ba34407cb1fad236f81859d7f7005",Conference Paper,Scopus,2-s2.0-84888880636
"Vanli, O.A., Zhang, C., Wang, B.","An adaptive Bayesian approach for robust parameter design with observable time series noise factors",2013,"IIE Transactions (Institute of Industrial Engineers)","45","4",,"374","390",,1,10.1080/0740817X.2012.689123,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872569713&doi=10.1080%2f0740817X.2012.689123&partnerID=40&md5=d8dec6b4234eb4352fc87cf36bed4c55",Article,Scopus,2-s2.0-84872569713
"Vanli, O.A., Rivero, I.V., Wang, B.","Editorial-advances in nanomanufacturing: Process repeatability, scalability and affordability for nanomaterials and manufacturing",2013,"International Journal of Advanced Manufacturing Technology","64","1-4",,"513","514",,2,10.1007/s00170-012-4646-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872491563&doi=10.1007%2fs00170-012-4646-6&partnerID=40&md5=3b8abd4cbd5760e6e7b1d8c9ccda27be",Editorial,Scopus,2-s2.0-84872491563
"Vanli, O.A., Zhang, C., Nguyen, A., Wang, B.","A minimax sensor placement approach for damage detection in composite structures",2012,"Journal of Intelligent Material Systems and Structures","23","8",,"919","932",,8,10.1177/1045389X12440751,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860822945&doi=10.1177%2f1045389X12440751&partnerID=40&md5=95445393e82ef87e40be1ed92f359335",Article,Scopus,2-s2.0-84860822945
"Vanli, O.A., Zhang, C., Wang, B.","An adaptive Bayesian method for semiconductor manufacturing process control with small experimental data sets",2011,"IEEE Transactions on Semiconductor Manufacturing","24","3", 5741867,"418","431",,1,10.1109/TSM.2011.2129545,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051487909&doi=10.1109%2fTSM.2011.2129545&partnerID=40&md5=ec4383f74a6e4e06a3687e44a3e568b6",Article,Scopus,2-s2.0-80051487909
"Vanli, O.A.","Adaptive Bayesian methods in manufacturing process control with small experimental data sets",2010,"Proceedings of the ASME Design Engineering Technical Conference","3","PARTS A AND B",,"177","187",,,10.1115/DETC2010-29236,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80054996036&doi=10.1115%2fDETC2010-29236&partnerID=40&md5=c83511d90a265c8353aae6c51cfadfee",Conference Paper,Scopus,2-s2.0-80054996036
"Vanli, O.A., Zhang, C., Chen, L.-J., Wang, K., Wang, B.","A Bayesian approach for integration of physical and computer experiments for quality improvement in nano-composite manufacturing",2010,"Quality and Reliability Engineering International","26","7",,"749","764",,3,10.1002/qre.1130,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78349302998&doi=10.1002%2fqre.1130&partnerID=40&md5=3d27896da91cee5b15256b9401fd800c",Conference Paper,Scopus,2-s2.0-78349302998
"Vanli, O.A., Del Castillo, E.","Bayesian approaches for on-line robust parameter design",2009,"IIE Transactions (Institute of Industrial Engineers)","41","4",,"359","371",,6,10.1080/07408170802108534,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-59749098249&doi=10.1080%2f07408170802108534&partnerID=40&md5=28356ed2cf65d599d2c657979fd33152",Article,Scopus,2-s2.0-59749098249
"Vanli, O.A., Del Castillo, E.","Closed-loop system identification for small samples with constraints",2007,"Technometrics","49","4",,"382","394",,4,10.1198/004017007000000146,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36849083481&doi=10.1198%2f004017007000000146&partnerID=40&md5=368dc0192b4f974ca583fd98e2c4da1c",Article,Scopus,2-s2.0-36849083481
"Vanli, O.A., Patel, N.S., Janakiram, M., Del Castillo, E.","Model context selection for run-to-run control",2007,"IEEE Transactions on Semiconductor Manufacturing","20","4", 4369349,"506","516",,10,10.1109/TSM.2007.907628,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-63249120290&doi=10.1109%2fTSM.2007.907628&partnerID=40&md5=a1e7aaa9c6f7d9e9baea5a615c1925dd",Article,Scopus,2-s2.0-63249120290
"Vanli, O.A., Michaleris, P.","Distortion Analysis of Welded Stiffeners",2001,"Journal of Ship Production","17","4",,"226","240",,16,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000423115&partnerID=40&md5=7c9460db839d758e61f1ad13f3cafd25",Article,Scopus,2-s2.0-0000423115
