Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"An, L., Rignot, E., Elieff, S., Morlighem, M., Millan, R., Mouginot, J., Holland, D.M., Holland, D., Paden, J.","Bed elevation of Jakobshavn Isbræ, West Greenland, from high-resolution airborne gravity and other data",2017,"Geophysical Research Letters","44","8",,"3728","3736",,,10.1002/2017GL073245,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018958836&doi=10.1002%2f2017GL073245&partnerID=40&md5=8ae6a36b7c042193feb5ca894df066d2",Article,Scopus,2-s2.0-85018958836
"Mei, M.J., Holland, D.M., Anandakrishnan, S., Zheng, T.","Calving localization at Helheim Glacier using multiple local seismic stations",2017,"Cryosphere","11","1",,"609","618",,,10.5194/tc-11-609-2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013491496&doi=10.5194%2ftc-11-609-2017&partnerID=40&md5=cb7dddde8c459c542bc9b8cf4d41883b",Article,Scopus,2-s2.0-85013491496
"Xie, S., Dixon, T.H., Voytenko, D., Holland, D.M., Holland, D., Zheng, T.","Precursor motion to iceberg calving at Jakobshavn Isbræ, Greenland, observed with terrestrial radar interferometry",2016,"Journal of Glaciology","62","236",,"1134","1142",,2,10.1017/jog.2016.104,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995378157&doi=10.1017%2fjog.2016.104&partnerID=40&md5=cc811b9902a303eda7343281615c72d4",Article,Scopus,2-s2.0-84995378157
"Holland, D.M., Voytenko, D., Christianson, K., Dixon, T.H., Mei, M.J., Parizek, B.R., Vaňková, I., Walker, R.T., Walter, J.I., Nicholls, K., Holland, D.","An intensive observation of calving at Helheim Glacier, East Greenland",2016,"Oceanography","29","4",,"46","61",,1,10.5670/oceanog.2016.98,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008441570&doi=10.5670%2foceanog.2016.98&partnerID=40&md5=1f8d26d774d284074df06abb6ec02aa0",Article,Scopus,2-s2.0-85008441570
"Fenty, I., Willis, J.K., Khazendar, A., Dinardo, S., Forsberg, R., Fukumori, I., Holland, D., Jakobsson, M., Moller, D., Morison, J., Münchow, A., Rignot, E., Schodlok, M., Thompson, A.F., Tinto, K., Rutherford, M., Trenholm, N.","Oceans melting Greenland: Early results from NASA’s ocean-ice mission in Greenland",2016,"Oceanography","29","4",,"72","83",,,10.5670/oceanog.2016.100,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008517828&doi=10.5670%2foceanog.2016.100&partnerID=40&md5=a40e6b096ba46c935c5b9818e77cf115",Article,Scopus,2-s2.0-85008517828
"Christianson, K., Jacobel, R.W., Horgan, H.J., Alley, R.B., Anandakrishnan, S., Holland, D.M., DallaSanta, K.J.","Basal conditions at the grounding zone of Whillans Ice Stream, West Antarctica, from ice-penetrating radar",2016,"Journal of Geophysical Research: Earth Surface","121","11",,"1954","1983",,1,10.1002/2015JF003806,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996606677&doi=10.1002%2f2015JF003806&partnerID=40&md5=bc32209244c766fe0961e061a2ac01ec",Article,Scopus,2-s2.0-84996606677
"Christianson, K., Bushuk, M., Dutrieux, P., Parizek, B.R., Joughin, I.R., Alley, R.B., Shean, D.E., Abrahamsen, E.P., Anandakrishnan, S., Heywood, K.J., Kim, T.-W., Lee, S.H., Nicholls, K., Stanton, T., Truffer, M., Webber, B.G.M., Jenkins, A., Jacobs, S., Bindschadler, R., Holland, D.M.","Sensitivity of Pine Island Glacier to observed ocean forcing",2016,"Geophysical Research Letters","43","20",,"10,817",""10,825"",,3,10.1002/2016GL070500,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995618138&doi=10.1002%2f2016GL070500&partnerID=40&md5=f619b2edc59fa56f60a70827a59fe52d",Article,Scopus,2-s2.0-84995618138
"Griffies, S.M., Danabasoglu, G., Durack, P.J., Adcroft, A.J., Balaji, V., Böning, C.W., Chassignet, E.P., Curchitser, E., Deshayes, J., Drange, H., Fox-Kemper, B., Gleckler, P.J., Gregory, J.M., Haak, H., Hallberg, R.W., Heimbach, P., Hewitt, H.T., Holland, D.M., Ilyina, T., Jungclaus, J.H., Komuro, Y., Krasting, J.P., Large, W.G., Marsland, S.J., Masina, S., McDougall, T.J., George Nurser, A.J., Orr, J.C., Pirani, A., Qiao, F., Stouffer, R.J., Taylor, K.E., Treguier, A.M., Tsujino, H., Uotila, P., Valdivieso, M., Wang, Q., Winton, M., Yeager, S.G.","OMIP contribution to CMIP6: Experimental and diagnostic protocol for the physical component of the Ocean Model Intercomparison Project",2016,"Geoscientific Model Development","9","9",,"3231","3296",,6,10.5194/gmd-9-3231-2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988696759&doi=10.5194%2fgmd-9-3231-2016&partnerID=40&md5=ddc8bb14a5cf1ba39e1e893cdfe03da7",Article,Scopus,2-s2.0-84988696759
"Wang, X., Holland, D.M., Cheng, X., Gong, P.","Grounding and calving cycle of Mertz Ice Tongue revealed by shallow Mertz Bank",2016,"Cryosphere","10","5",,"2043","2056",,,10.5194/tc-10-2043-2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987713278&doi=10.5194%2ftc-10-2043-2016&partnerID=40&md5=29e13f9c04aa1f8ea17dbfcf371ec39c",Article,Scopus,2-s2.0-84987713278
"Asay-Davis, X.S., Cornford, S.L., Durand, G., Galton-Fenzi, B.K., Gladstone, R.M., Hilmar Gudmundsson, G., Hattermann, T., Holland, D.M., Holland, D., Holland, P.R., Martin, D.F., Mathiot, P., Pattyn, F., Seroussi, H.","Experimental design for three interrelated marine ice sheet and ocean model intercomparison projects: MISMIP v. 3 (MISMIP +), ISOMIP v. 2 (ISOMIP +) and MISOMIP v. 1 (MISOMIP1)",2016,"Geoscientific Model Development","9","7",,"2471","2497",,5,10.5194/gmd-9-2471-2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980347752&doi=10.5194%2fgmd-9-2471-2016&partnerID=40&md5=c27f9e3864f170d7421d822cf05eea35",Article,Scopus,2-s2.0-84980347752
"Jones, R.W., Renfrew, I.A., Orr, A., Webber, B.G.M., Holland, D.M., Lazzara, M.A.","Evaluation of four global reanalysis products using in situ observations in the Amundsen Sea Embayment, Antarctica",2016,"Journal of Geophysical Research: Atmospheres","121","11",,"6240","6257",,3,10.1002/2015JD024680,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977562359&doi=10.1002%2f2015JD024680&partnerID=40&md5=c3b4206f5266c354fb5671f0e69da8c4",Article,Scopus,2-s2.0-84977562359
"Vaňková, I., Holland, D.M.","Calving signature in ocean waves at helheim glacier and sermilik fjord, east greenland",2016,"Journal of Physical Oceanography","46","10",,"2925","2941",,3,10.1175/JPO-D-15-0236.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994175832&doi=10.1175%2fJPO-D-15-0236.1&partnerID=40&md5=b5608e722514356d78897d870343061a",Article,Scopus,2-s2.0-84994175832
"Holland, D., Holland, D.","On the rocks: The challenges of predicting SEA level rise",2015,"Eos","96","21",,"8","12",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949551007&partnerID=40&md5=1616aad27d99a7468820bd4d7000b880",Conference Paper,Scopus,2-s2.0-84949551007
"Gomez, N., Pollard, D., Holland, D.","Sea-level feedback lowers projections of future Antarctic Ice-Sheet mass loss",2015,"Nature Communications","6",, 9798,"","",,8,10.1038/ncomms9798,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946781315&doi=10.1038%2fncomms9798&partnerID=40&md5=e1144fa3c32264fa0a3edfed119d94a7",Article,Scopus,2-s2.0-84946781315
