Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Radillo, A.E., Veliz-Cuba, A., Josić, K., Kilpatrick, Z.P.","Evidence accumulation and change rate inference in dynamic environments",2017,"Neural Computation","29","6",,"1561","1610",,,10.1162/NECO_a_00957,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019895381&doi=10.1162%2fNECO_a_00957&partnerID=40&md5=074999b9ebcf9a44346cde859ce1473e",Letter,Scopus,2-s2.0-85019895381
"Jacot-Guillarmod, A., Wang, Y., Pedroza, C., Ogmen, H., Kilpatrick, Z., Josić, K.","Extending Levelt's Propositions to perceptual multistability involving interocular grouping",2017,"Vision Research","133",,,"37","46",,,10.1016/j.visres.2016.12.017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013170803&doi=10.1016%2fj.visres.2016.12.017&partnerID=40&md5=3b9133fe59b92b130fbbdeda5a8ab436",Article,Scopus,2-s2.0-85013170803
"McCleney, Z.T., Kilpatrick, Z.P.","Entrainment in up and down states of neural populations: non-smooth and stochastic models",2016,"Journal of Mathematical Biology","73","5",,"1131","1160",,,10.1007/s00285-016-0984-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961173822&doi=10.1007%2fs00285-016-0984-6&partnerID=40&md5=b04b5a7236d89bf62865cf6a7832e2d7",Article,Scopus,2-s2.0-84961173822
"Kilpatrick, Z.P.","Ghosts of bump attractors in stochastic neural fields: Bottlenecks and extinction",2016,"Discrete and Continuous Dynamical Systems - Series B","21","7",,"2211","2231",,1,10.3934/dcdsb.2016044,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990857190&doi=10.3934%2fdcdsb.2016044&partnerID=40&md5=10e8e594928767940e35ae35ed4f6995",Article,Scopus,2-s2.0-84990857190
"Poll, D.B., Kilpatrick, Z.P.","Persistent search in single and multiple confined domains: A velocity-jump process model",2016,"Journal of Statistical Mechanics: Theory and Experiment","2016","5", 053201,"","",,,10.1088/1742-5468/2016/05/053201,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969964421&doi=10.1088%2f1742-5468%2f2016%2f05%2f053201&partnerID=40&md5=9fc0a3c9936ebc5cfaedc23607286e9f",Article,Scopus,2-s2.0-84969964421
"Poll, D.B., Nguyen, K., Kilpatrick, Z.P.","Sensory feedback in a bump attractor model of path integration",2016,"Journal of Computational Neuroscience","40","2",,"137","155",,,10.1007/s10827-015-0588-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960411549&doi=10.1007%2fs10827-015-0588-y&partnerID=40&md5=6929ba52469649ecdd76bda5999ec7ae",Article,Scopus,2-s2.0-84960411549
"Veliz-Cuba, A., Kilpatrick, Z.P., Josić, K.","Stochastic models of evidence accumulation in changing environments",2016,"SIAM Review","58","2",,"264","289",,2,10.1137/15M1028443,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973454251&doi=10.1137%2f15M1028443&partnerID=40&md5=7321d36f9a9b4d5471a8caab64aeada5",Article,Scopus,2-s2.0-84973454251
"Veliz-Cuba, A., Shouval, H.Z., Josić, K., Kilpatrick, Z.P.","Networks that learn the precise timing of event sequences",2015,"Journal of Computational Neuroscience","39","3",,"235","254",,1,10.1007/s10827-015-0574-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947496262&doi=10.1007%2fs10827-015-0574-4&partnerID=40&md5=6a35eb71b531b18c87cc56ccb39570e9",Article,Scopus,2-s2.0-84947496262
"Kilpatrick, Z.P.","Stochastic synchronization of neural activity waves",2015,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","91","4", 040701,"","",,2,10.1103/PhysRevE.91.040701,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929104402&doi=10.1103%2fPhysRevE.91.040701&partnerID=40&md5=1903fba8398b4b2fbc23bc5b05c27cc5",Article,Scopus,2-s2.0-84929104402
"Kilpatrick, Z.P.","Delay stabilizes stochastic motion of bumps in layered neural fields",2015,"Physica D: Nonlinear Phenomena","295-296",,,"30","45",,2,10.1016/j.physd.2014.12.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921326194&doi=10.1016%2fj.physd.2014.12.011&partnerID=40&md5=8fb53194ff60a213c1b39e97fccb78f0",Article,Scopus,2-s2.0-84921326194
"Poll, D., Kilpatrick, Z.P.","Stochastic motion of bumps in planar neural fields",2015,"SIAM Journal on Applied Mathematics","75","4",,"1553","1577",,1,10.1137/140999505,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940702337&doi=10.1137%2f140999505&partnerID=40&md5=a1ad58cff9e36e6b1b6d58dc98669f5c",Article,Scopus,2-s2.0-84940702337
"Bressloff, P.C., Kilpatrick, Z.P.","Nonlinear Langevin equations for wandering patterns in stochastic neural fields",2015,"SIAM Journal on Applied Dynamical Systems","14","1",,"305","334",,6,10.1137/140990371,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925337503&doi=10.1137%2f140990371&partnerID=40&md5=b7d6cff3cb96d621d71c1320f4ad6921",Article,Scopus,2-s2.0-84925337503
"Kim, J.K., Kilpatrick, Z.P., Bennett, M.R., Josić, K.","Molecular mechanisms that regulate the coupled period of the mammalian circadian clock",2014,"Biophysical Journal","106","9",,"2071","2081",,11,10.1016/j.bpj.2014.02.039,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899841349&doi=10.1016%2fj.bpj.2014.02.039&partnerID=40&md5=d218982bc992b1bbd129e09609285201",Article,Scopus,2-s2.0-84899841349
"Ermentrout, G.B., Folias, S.E., Kilpatrick, Z.P.","Spatiotemporal pattern formation in neural fields with linear adaptation",2014,"Neural Fields: Theory and Applications",,,,"119","151",,3,10.1007/978-3-642-54593-1_4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929205258&doi=10.1007%2f978-3-642-54593-1_4&partnerID=40&md5=d32faef28dc33bf3291b735616e42b88",Book Chapter,Scopus,2-s2.0-84929205258
"Kilpatrick, Z.P.","Coupling layers regularizes wave propagation in stochastic neural fields",2014,"Physical Review E - Statistical, Nonlinear, and Soft Matter Physics","89","2", 022706,"","",,9,10.1103/PhysRevE.89.022706,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896933293&doi=10.1103%2fPhysRevE.89.022706&partnerID=40&md5=6cd2e0230e5c55a9ad9528b94934867e",Article,Scopus,2-s2.0-84896933293
