Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Aguilera, E.F., Kolata, J.J., Martinez-Quiroz, E., Lizcano, D., Amador-Valenzuela, P., García-Flores, A., Bardayan, D.W., O'Malley, P.D., Monteiro, D.S., Morcelle, V., Carmichael, S., Henderson, S.L., Blankstein, D., Hall, M.R., Schultz, B., Allen, J., Kelly, J.","Elastic scattering of10C +27Al",2017,"Journal of Physics: Conference Series","876","1", 012001,"","",,,10.1088/1742-6596/876/1/012001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025843363&doi=10.1088%2f1742-6596%2f876%2f1%2f012001&partnerID=40&md5=1052158bf08642620f53f88ba4509e09",Conference Paper,Scopus,2-s2.0-85025843363
"Long, J., Ahn, T., Allen, J., Bardayan, D.W., Becchetti, F.D., Blankstein, D., Brodeur, M., Burdette, D., Frentz, B., Hall, M.R., Kelly, J.M., Kolata, J.J., O'Malley, P.D., Schultz, B.E., Strauss, S.Y., Valverde, A.A.","Precision half-life measurement of Al 25",2017,"Physical Review C","96","1", 015502,"","",,,10.1103/PhysRevC.96.015502,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025701924&doi=10.1103%2fPhysRevC.96.015502&partnerID=40&md5=08058dca4860ab85ea9301b3ddf52202",Article,Scopus,2-s2.0-85025701924
"Lawrence, C.C., Polack, J.K., Febbraro, M., Kolata, J.J., Flaska, M., Pozzi, S.A., Becchetti, F.D.","Stabilization of Particle Discrimination Efficiencies for Neutron Spectrum Unfolding with Organic Scintillators",2017,"IEEE Transactions on Nuclear Science","64","2", 7797183,"772","780",,,10.1109/TNS.2016.2644260,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016332626&doi=10.1109%2fTNS.2016.2644260&partnerID=40&md5=861befc5b5741e71a943f04a03a93553",Article,Scopus,2-s2.0-85016332626
"Morcelle, V., Lichtenthäler, R., Lépine-Szily, A., Guimarães, V., Pires, K.C.C., Lubian, J., Mendes Junior, D.R., De Faria, P.N., Kolata, J.J., Becchetti, F.D., Jiang, H., Aguilera, E.F., Lizcano, D., Martinez-Quiroz, E., Garcia, H.","B 8 + Al 27 scattering at low energies",2017,"Physical Review C","95","1", 014615,"","",,1,10.1103/PhysRevC.95.014615,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015185886&doi=10.1103%2fPhysRevC.95.014615&partnerID=40&md5=ab85871477d6d84822f160771ab3e96e",Article,Scopus,2-s2.0-85015185886
"Kolata, J.J., Howard, A.M., Mittig, W., Ahn, T., Bazin, D., Becchetti, F.D., Beceiro-Novo, S., Chajecki, Z., Febbrarro, M., Fritsch, A., Lynch, W.G., Roberts, A., Shore, A., Torres-Isea, R.O.","Fusion studies with low-intensity radioactive ion beams using an active-target time projection chamber",2016,"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment","830",,,"82","87",,,10.1016/j.nima.2016.05.036,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969822690&doi=10.1016%2fj.nima.2016.05.036&partnerID=40&md5=f1537a9b55683ce2e47a772e0f421279",Article,Scopus,2-s2.0-84969822690
"Suzuki, D., Ahn, T., Bazin, D., Becchetti, F.D., Beceiro-Novo, S., Fritsch, A., Kolata, J.J., Mittig, W.","Cluster structure of neutron-rich 10Be and 14C via resonant alpha scattering",2016,"Nuovo Cimento della Societa Italiana di Fisica C","39","5", 372,"","",,,10.1393/ncc/i2016-16372-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013966628&doi=10.1393%2fncc%2fi2016-16372-0&partnerID=40&md5=6c2307ecb4a20b0a8c06c8a351ef8b7c",Article,Scopus,2-s2.0-85013966628
"Bardayan, D.W., Ahn, T., Allen, J., Becchetti, F.D., Blackmon, J.C., Brodeur, M., Frentz, B., Gupta, Y.K., Hall, M.R., Hall, O., Henderson, S., Hu, J., Kelly, J.M., Kolata, J.J., Long, A., Long, J., Macon, K., Nicoloff, C., O'Malley, P.D., Ostdiek, K., Pain, S.D., Riggins, J., Schultz, B.E., Smith, M., Strauss, S., Torres-Isea, R.O.","Recent Nuclear Astrophysics Measurements using the TwinSol Separator",2016,"Journal of Physics: Conference Series","730","1", 012004,"","",,,10.1088/1742-6596/730/1/012004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988893705&doi=10.1088%2f1742-6596%2f730%2f1%2f012004&partnerID=40&md5=94e78117e297d855c479dc573ac93884",Conference Paper,Scopus,2-s2.0-84988893705
"Guimarães, V., Kolata, J.J., Aguilera, E.F., Howard, A., Roberts, A., Becchetti, F.D., Torres-Isea, R.O., Riggins, A., Febrarro, M., Scarduelli, V., De Faria, P.N., Monteiro, D.S., Huiza, J.F.P., Arazi, A., Hinnefeld, J., Moro, A.M., Rossi, E.S., Morcelle, V., Barioni, A., Mitchell, A.J.","Backscattering measurement of He 6 on Bi 209: Critical interaction distance",2016,"Physical Review C","93","6", 064607,"","",,,10.1103/PhysRevC.93.064607,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975758189&doi=10.1103%2fPhysRevC.93.064607&partnerID=40&md5=c4414c2ad73d14aaf551799234f589fb",Article,Scopus,2-s2.0-84975758189
"Becchetti, F.D., Kolata, J.J.","Recent results from the TwinSol low-energy RIB facility",2016,"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms","376",,,"397","401",,,10.1016/j.nimb.2015.11.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950341335&doi=10.1016%2fj.nimb.2015.11.029&partnerID=40&md5=a70d97ec925d955e703acf8e9f564049",Article,Scopus,2-s2.0-84950341335
"Kolata, J.J., Guimarães, V., Aguilera, E.F.","Elastic scattering, fusion, and breakup of light exotic nuclei",2016,"European Physical Journal A","52","5", 123,"","",,7,10.1140/epja/i2016-16123-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965111731&doi=10.1140%2fepja%2fi2016-16123-1&partnerID=40&md5=19f95bdd85fd70196fc06dfddb56c356",Review,Scopus,2-s2.0-84965111731
