Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Yan, R., Bundy, K., Law, D.R., Bershady, M.A., Andrews, B., Cherinka, B., Diamond-Stanic, A.M., Drory, N., MacDonald, N., Sánchez-Gallego, J.R., Thomas, D., Wake, D.A., Weijmans, A.-M., Westfall, K.B., Zhang, K., Aragón-Salamanca, A., Belfiore, F., Bizyaev, D., Blanc, G.A., Blanton, M.R., Brownstein, J., Cappellari, M., D'Souza, R., Emsellem, E., Fu, H., Gaulme, P., Graham, M.T., Goddard, D., Gunn, J.E., Harding, P., Jones, A., Kinemuchi, K., Li, C., Li, H., Maiolino, R., Mao, S., Maraston, C., Masters, K., Merrifield, M.R., Oravetz, D., Pan, K., Parejko, J.K., Sanchez, S.F., Schlegel, D., Simmons, A., Thanjavur, K., Tinker, J., Tremonti, C., Van Den Bosch, R., Zheng, Z.","SDSS-IV MaNGA IFS GALAXY SURVEY - SURVEY DESIGN, EXECUTION, and INITIAL DATA QUALITY",2016,"Astronomical Journal","152","6", 197,"","",,6,10.3847/0004-6256/152/6/197,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009135158&doi=10.3847%2f0004-6256%2f152%2f6%2f197&partnerID=40&md5=075b8a72fddffcc7fc3f15af59d99259",Article,Scopus,2-s2.0-85009135158
"Watkins, A.E., Mihos, J.C., Harding, P.","THE RED and FEATURELESS OUTER DISKS of NEARBY SPIRAL GALAXIES",2016,"Astrophysical Journal","826","1", 59,"","",,3,10.3847/0004-637X/826/1/59,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979210406&doi=10.3847%2f0004-637X%2f826%2f1%2f59&partnerID=40&md5=feda53c684e98bedf251bf868781445c",Article,Scopus,2-s2.0-84979210406
"Reid, B., Ho, S., Padmanabhan, N., Percival, W.J., Tinker, J., Tojeiro, R., White, M., Eisenstein, D.J., Maraston, C., Ross, A.J., Sánchez, A.G., Schlegel, D., Sheldon, E., Strauss, M.A., Thomas, D., Wake, D., Beutler, F., Bizyaev, D., Bolton, A.S., Brownstein, J.R., Chuang, C.-H., Dawson, K., Harding, P., Kitaura, F.-S., Leauthaud, A., Masters, K., McBride, C.K., More, S., Olmstead, M.D., Oravetz, D., Nuza, S.E., Pan, K., Parejko, J., Pforr, J., Prada, F., Rodríguez-Torres, S., Salazar-Albornoz, S., Samushia, L., Schneider, D.P., Scóccola, C.G., Simmons, A., Vargas-Magana, M.","SDSS-III Baryon Oscillation Spectroscopic Survey Data Release 12: Galaxy target selection and large-scale structure catalogues",2016,"Monthly Notices of the Royal Astronomical Society","455","2",,"1553","1573",,42,10.1093/mnras/stv2382,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981216597&doi=10.1093%2fmnras%2fstv2382&partnerID=40&md5=5237f650674c85c5fd2f272f01fadda2",Article,Scopus,2-s2.0-84981216597
"Janesh, W., Morrison, H.L., Ma, Z., Rockosi, C., Starkenburg, E., Xue, X.X., Rix, H.-W., Harding, P., Beers, T.C., Johnson, J., Lee, Y.S., Schneider, D.P.","THE SEGUE K GIANT SURVEY. III. QUANTIFYING GALACTIC HALO SUBSTRUCTURE",2016,"Astrophysical Journal","816","2", 80,"","",,10,10.3847/0004-637X/816/2/80,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954476320&doi=10.3847%2f0004-637X%2f816%2f2%2f80&partnerID=40&md5=3d75f42b2c3ee0f572c0ef0ca3298956",Article,Scopus,2-s2.0-84954476320
"Morrison, H.L., Ma, Z., Clem, J.L., An, D., Connor, T., Schechtman-Rook, A., Casagrande, L., Rockosi, C., Yanny, B., Harding, P., Beers, T.C., Johnson, J.A., Schneider, D.P.","GLOBULAR and OPEN CLUSTERS OBSERVED by SDSS/SEGUE: The GIANT STARS",2016,"Astronomical Journal","151","1", 7,"","",,1,10.3847/0004-6256/151/1/7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955278817&doi=10.3847%2f0004-6256%2f151%2f1%2f7&partnerID=40&md5=2ed551d8058c6ed3b570f89854d852d9",Article,Scopus,2-s2.0-84955278817
"Yan, R., Tremonti, C., Bershady, M.A., Law, D.R., Schlegel, D.J., Bundy, K., Drory, N., MacDonald, N., Bizyaev, D., Blanc, G.A., Blanton, M.R., Cherinka, B., Eigenbrot, A., Gunn, J.E., Harding, P., Hogg, D.W., Sánchez-Gallego, J.R., Sánchez, S.F., Wake, D.A., Weijmans, A.-M., Xiao, T., Zhang, K.","SDSS-IV/MaNGA: SPECTROPHOTOMETRIC CALIBRATION TECHNIQUE",2016,"Astronomical Journal","151","1", 8,"","",,19,10.3847/0004-6256/151/1/8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955269843&doi=10.3847%2f0004-6256%2f151%2f1%2f8&partnerID=40&md5=5f4a1b823e7120b6309f87d0b1954d0c",Article,Scopus,2-s2.0-84955269843
"Mihos, J.C., Durrell, P.R., Ferrarese, L., Feldmeier, J.J., Côté, P., Peng, E.W., Harding, P., Liu, C., Gwyn, S., Cuillandre, J.-C.","GALAXIES at the EXTREMES: ULTRA-DIFFUSE GALAXIES in the VIRGO CLUSTER",2015,"Astrophysical Journal Letters","809","2", L21,"","",,36,10.1088/2041-8205/809/2/L21,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939642224&doi=10.1088%2f2041-8205%2f809%2f2%2fL21&partnerID=40&md5=66447e8f52c9525e565d4f6bfb86ad4f",Article,Scopus,2-s2.0-84939642224
"Hayden, M.R., Bovy, J., Holtzman, J.A., Nidever, D.L., Bird, J.C., Weinberg, D.H., Andrews, B.H., Majewski, S.R., Prieto, C.A., Anders, F., Beers, T.C., Bizyaev, D., Chiappini, C., Cunha, K., Frinchaboy, P., García-Herńandez, D.A., García Pé Rez, A.E., Girardi, L., Harding, P., Hearty, F.R., Johnson, J.A., Mészáros, S., Minchev, I., O'Connell, R., Pan, K., Robin, A.C., Schiavon, R.P., Schneider, D.P., Schultheis, M., Shetrone, M., Skrutskie, M., Steinmetz, M., Smith, V., Wilson, J.C., Zamora, O., Zasowski, G.","CHEMICAL CARTOGRAPHY with APOGEE: METALLICITY DISTRIBUTION FUNCTIONS and the CHEMICAL STRUCTURE of the MILKY WAY DISK",2015,"Astrophysical Journal","808","2", 132,"","",,65,10.1088/0004-637X/808/2/132,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941240539&doi=10.1088%2f0004-637X%2f808%2f2%2f132&partnerID=40&md5=19daa08741a3baa24b68df79cb839224",Article,Scopus,2-s2.0-84941240539
"Alam, S., Albareti, F.D., Prieto, C.A., Anders, F., Anderson, S.F., Anderton, T., Andrews, B.H., Armengaud, E., Aubourg, É., Bailey, S., Basu, S., Bautista, J.E., Beaton, R.L., Beers, T.C., Bender, C.F., Berlind, A.A., Beutler, F., Bhardwaj, V., Bird, J.C., Bizyaev, D., Blake, C.H., Blanton, M.R., Blomqvist, M., Bochanski, J.J., Bolton, A.S., Bovy, J., Bradley, A.S., Brandt, W.N., Brauer, D.E., Brinkmann, J., Brown, P.J., Brownstein, J.R., Burden, A., Burtin, E., Busca, N.G., Cai, Z., Capozzi, D., Rosell, A.C., Carr, M.A., Carrera, R., Chambers, K.C., Chaplin, W.J., Chen, Y.-C., Chiappini, C., Chojnowski, S.D., Chuang, C.-H., Clerc, N., Comparat, J., Covey, K., Croft, R.A.C., Cuesta, A.J., Cunha, K., Costa, L.N.D., Rio, N.D., Davenport, J.R.A., Dawson, K.S., Lee, N.D., Delubac, T., Deshpande, R., Dhital, S., Dutra-Ferreira, L., Dwelly, T., Ealet, A., Ebelke, G.L., Edmondson, E.M., Eisenstein, D.J., Ellsworth, T., Elsworth, Y., Epstein, C.R., Eracleous, M., Escoffier, S., Esposito, M., Evans, M.L., Fan, X., Fernández-Alvar, E., Feuillet, D., Ak, N.F., Finley, H., Finoguenov, A., Flaherty, K., Fleming, S.W., Font-Ribera, A., Foster, J., Frinchaboy, P.M., Galbraith-Frew, J.G., García, R.A., García-Hernández, D.A., Pérez, A.E.G., Gaulme, P., Ge, J., Génova-Santos, R., Georgakakis, A., Ghezzi, L., Gillespie, B.A., Girardi, L., Goddard, D., Gontcho, S.G.A., Hernández, J.I.G., Grebel, E.K., Green, P.J., Grieb, J.N., Grieves, N., Gunn, J.E., Guo, H., Harding, P., Hasselquist, S., Hawley, S.L., Hayden, M., Hearty, F.R., Hekker, S., Ho, S., Hogg, D.W., Holley-Bockelmann, K., Holtzman, J.A., Honscheid, K., Huber, D., Huehnerhoff, J., Ivans, I.I., Jiang, L., Johnson, J.A., Kinemuchi, K., Kirkby, D., Kitaura, F., Klaene, M.A., Knapp, G.R., Kneib, J.-P., Koenig, X.P., Lam, C.R., Lan, T.-W., Lang, D., Laurent, P., Goff, J.-M.L., Leauthaud, A., Lee, K.-G., Lee, Y.S., Licquia, T.C., Liu, J., Long, D.C., López-Corredoira, M., Lorenzo-Oliveira, D., Lucatello, S., Lundgren, B., Lupton, R.H., Iii, C.E.M., Mahadevan, S., Maia, M.A.G., Majewski, S.R., Malanushenko, E., Malanushenko, V., Manchado, A., Manera, M., Mao, Q., Maraston, C., Marchwinski, R.C., Margala, D., Martell, S.L., Martig, M., Masters, K.L., Mathur, S., McBride, C.K., McGehee, P.M., McGreer, I.D., McMahon, R.G., Ménard, B., Menzel, M.-L., Merloni, A., Mészáros, S., Miller, A.A., Miralda-Escudé, J., Miyatake, H., Montero-Dorta, A.D., More, S., Morganson, E., Morice-Atkinson, X., Morrison, H.L., Mosser, B., Muna, D., Myers, A.D., Nandra, K., Newman, J.A., Neyrinck, M., Nguyen, D.C., Nichol, R.C., Nidever, D.L., Noterdaeme, P., Nuza, S.E., O'Connell, J.E., O'Connell, R.W., O'Connell, R., Ogando, R.L.C., Olmstead, M.D., Oravetz, A.E., Oravetz, D.J., Osumi, K., Owen, R., Padgett, D.L., Padmanabhan, N., Paegert, M., Palanque-Delabrouille, N., Pan, K., Parejko, J.K., Pâris, I., Park, C., Pattarakijwanich, P., Pellejero-Ibanez, M., Pepper, J., Percival, W.J., Pérez-Fournon, I., Pérez-Ra'Fols, I., Petitjean, P., Pieri, M.M., Pinsonneault, M.H., Mello, G.F.P.D., Prada, F., Prakash, A., Price-Whelan, A.M., Protopapas, P., Raddick, M.J., Rahman, M., Reid, B.A., Rich, J., Rix, H.-W., Robin, A.C., Rockosi, C.M., Rodrigues, T.S., Rodríguez-Torres, S., Roe, N.A., Ross, A.J., Ross, N.P., Rossi, G., Ruan, J.J., Rubiño-Martín, J.A., Rykoff, E.S., Salazar-Albornoz, S., Salvato, M., Samushia, L., Sánchez, A.G., Santiago, B., Sayres, C., Schiavon, R.P., Schlegel, D.J., Schmidt, S.J., Schneider, D.P., Schultheis, M., Schwope, A.D., Scóccola, C.G., Scott, C., Sellgren, K., Seo, H.-J., Serenelli, A., Shane, N., Shen, Y., Shetrone, M., Shu, Y., Aguirre, V.S., Sivarani, T., Skrutskie, M.F., Slosar, A., Smith, V.V., Sobreira, F., Souto, D., Stassun, K.G., Steinmetz, M., Stello, D., Strauss, M.A., Streblyanska, A., Suzuki, N., Swanson, M.E.C., Tan, J.C., Tayar, J., Terrien, R.C., Thakar, A.R., Thomas, D., Thomas, N., Thompson, B.A., Tinker, J.L., Tojeiro, R., Troup, N.W., Vargas-Magaña, M., Vazquez, J.A., Verde, L., Viel, M., Vogt, N.P., Wake, D.A., Wang, J., Weaver, B.A., Weinberg, D.H., Weiner, B.J., White, M., Wilson, J.C., Wisniewski, J.P., Wood-Vasey, W.M., Ye'Che, C., York, D.G., Zakamska, N.L., Zamora, O., Zasowski, G., Zehavi, I., Zhao, G.-B., Zheng, Z., Zhou, X., Zhou, Z., Zou, H., Zhu, G.","THE ELEVENTH and TWELFTH DATA RELEASES of the SLOAN DIGITAL SKY SURVEY: FINAL DATA from SDSS-III",2015,"Astrophysical Journal, Supplement Series","219","1", 12,"","",,423,10.1088/0067-0049/219/1/12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938150495&doi=10.1088%2f0067-0049%2f219%2f1%2f12&partnerID=40&md5=c9ddb9dcf890f673da10210889f8dd11",Review,Scopus,2-s2.0-84938150495
"Drory, N., MacDonald, N., Bershady, M.A., Bundy, K., Gunn, J., Law, D.R., Smith, M., Stoll, R., Tremonti, C.A., Wake, D.A., Yan, R., Weijmans, A.M., Byler, N., Cherinka, B., Cope, F., Eigenbrot, A., Harding, P., Holder, D., Huehnerhoff, J., Jaehnig, K., Jansen, T.C., Klaene, M., Paat, A.M., Percival, J., Sayres, C.","The MaNGA integral field unit fiber feed system for the sloan 2.5 m telescope",2015,"Astronomical Journal","149","2", 77,"","",,32,10.1088/0004-6256/149/2/77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922469449&doi=10.1088%2f0004-6256%2f149%2f2%2f77&partnerID=40&md5=cdbdf40fd6f90e5e727c8756875f7f53",Article,Scopus,2-s2.0-84922469449
