Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ito, T., Minobe, S., Long, M.C., Deutsch, C.","Upper ocean O<inf>2</inf> trends: 1958–2015",2017,"Geophysical Research Letters","44","9",,"4214","4223",,,10.1002/2017GL073613,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019085051&doi=10.1002%2f2017GL073613&partnerID=40&md5=6ec940158601fe4b7d6bc6ea49d84c9d",Article,Scopus,2-s2.0-85019085051
"Penn, J., Weber, T., Deutsch, C.","Microbial functional diversity alters the structure and sensitivity of oxygen deficient zones",2016,"Geophysical Research Letters","43","18",,"9773","9780",,,10.1002/2016GL070438,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987990660&doi=10.1002%2f2016GL070438&partnerID=40&md5=4b7d80db8586ec2cac1d5ac06bd2273f",Article,Scopus,2-s2.0-84987990660
"Weber, T., Cram, J.A., Leung, S.W., DeVries, T., Deutsch, C.","Deep ocean nutrients imply large latitudinal variation in particle transfer efficiency",2016,"Proceedings of the National Academy of Sciences of the United States of America","113","31",,"8606","8611",,5,10.1073/pnas.1604414113,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982748103&doi=10.1073%2fpnas.1604414113&partnerID=40&md5=a31a5d47285cf5aa3a5e0b11b2f5197f",Conference Paper,Scopus,2-s2.0-84982748103
"Huey, R.B., Deutsch, C.","How frigate birds soar around the doldrums",2016,"Science","353","6294",,"26","27",,,10.1126/science.aag1865,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976877611&doi=10.1126%2fscience.aag1865&partnerID=40&md5=2d8e10b68ad31dd2d99884649139e526",Review,Scopus,2-s2.0-84976877611
"Renault, L., Deutsch, C., McWilliams, J.C., Frenzel, H., Liang, J.-H., Colas, F.","Partial decoupling of primary productivity from upwelling in the California Current system",2016,"Nature Geoscience","9","7",,"505","508",,1,10.1038/ngeo2722,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976863896&doi=10.1038%2fngeo2722&partnerID=40&md5=3a40d0a6675d3fdaaf2a03dddc1e0c11",Article,Scopus,2-s2.0-84976863896
"Ito, T., Nenes, A., Johnson, M.S., Meskhidze, N., Deutsch, C.","Acceleration of oxygen decline in the tropical Pacific over the past decades by aerosol pollutants",2016,"Nature Geoscience","9","6",,"443","447",,6,10.1038/ngeo2717,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973300214&doi=10.1038%2fngeo2717&partnerID=40&md5=bc233a7416cad079acee6d8ee71f774d",Article,Scopus,2-s2.0-84973300214
"Long, M.C., Deutsch, C., Ito, T.","Finding forced trends in oceanic oxygen",2016,"Global Biogeochemical Cycles","30","2",,"381","397",,13,10.1002/2015GB005310,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959267832&doi=10.1002%2f2015GB005310&partnerID=40&md5=50f0aa59e82a8f1566872bd14fc84b51",Article,Scopus,2-s2.0-84959267832
"Kwon, E.Y., Deutsch, C., Xie, S.-P., Schmidtko, S., Cho, Y.-K.","The North Pacific oxygen uptake rates over the past half century",2016,"Journal of Climate","29","1",,"61","76",,3,10.1175/JCLI-D-14-00157.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957713676&doi=10.1175%2fJCLI-D-14-00157.1&partnerID=40&md5=b71054f1a5d6a81462409afeeb896048",Article,Scopus,2-s2.0-84957713676
"Deutsch, C., Ferrel, A., Seibel, B., Pörtner, H.-O., Huey, R.B.","Climate change tightens a metabolic constraint on marine habitats",2015,"Science","348","6239",,"1132","1135",,75,10.1126/science.aaa1605,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930684581&doi=10.1126%2fscience.aaa1605&partnerID=40&md5=c39977d7d7c3f8a7629665ecf0d23af0",Article,Scopus,2-s2.0-84930684581
"Ito, T., Bracco, A., Deutsch, C., Frenzel, H., Long, M., Takano, Y.","Sustained growth of the Southern Ocean carbon storage in a warming climate",2015,"Geophysical Research Letters","42","11",,"4516","4522",,4,10.1002/2015GL064320,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934441041&doi=10.1002%2f2015GL064320&partnerID=40&md5=d6a507b31de4418308fff7264de099f4",Article,Scopus,2-s2.0-84934441041
"Bracco, A., Long, M.C., Levine, N.M., Thomas, R.Q., Deutsch, C., McKinley, G.A.","NCAR'S summer colloquium : Capacity building in cross-disciplinary research of earth system carbon-climate connections",2015,"Bulletin of the American Meteorological Society","96","8",,"1381","1384",,,10.1175/BAMS-D-13-00246.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942849649&doi=10.1175%2fBAMS-D-13-00246.1&partnerID=40&md5=cfa464c21fffc88d751f302d28277a2b",Conference Paper,Scopus,2-s2.0-84942849649
"Levin, L.A., Liu, K.-K., Emeis, K.-C., Breitburg, D.L., Cloern, J., Deutsch, C., Giani, M., Goffart, A., Hofmann, E.E., Lachkar, Z., Limburg, K., Liu, S.-M., Montes, E., Naqvi, W., Ragueneau, O., Rabouille, C., Sarkar, S.K., Swaney, D.P., Wassman, P., Wishner, K.F.","Comparative biogeochemistry-ecosystem-human interactions on dynamic continental margins",2015,"Journal of Marine Systems","141",,,"3","17",,15,10.1016/j.jmarsys.2014.04.016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84918502703&doi=10.1016%2fj.jmarsys.2014.04.016&partnerID=40&md5=4c6fa905beffd120bc4a2888a7553842",Article,Scopus,2-s2.0-84918502703
"Bonebrake, T.C., Boggs, C.L., Stamberger, J.A., Deutsch, C.A., Ehrlich, P.R.","From global change to a butterfly flapping: biophysics and behaviour affect tropical climate change impacts",2014,"Proceedings. Biological sciences / The Royal Society","281","1793",,"","",,,10.1098/rspb.2014.1264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006292538&doi=10.1098%2frspb.2014.1264&partnerID=40&md5=f32e04ea208f1c5232b28ad129809077",Article,Scopus,2-s2.0-85006292538
"Devries, T., Liang, J.-H., Deutsch, C.","A mechanistic particle flux model applied to the oceanic phosphorus cycle",2014,"Biogeosciences","11","19",,"5381","5398",,7,10.5194/bg-11-5381-2014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907930122&doi=10.5194%2fbg-11-5381-2014&partnerID=40&md5=462b4ffe7b9d1c5f318287e77909a87d",Article,Scopus,2-s2.0-84907930122
"Bonebrake, T.C., Boggs, C.L., Stamberger, J.A., Deutsch, C.A., Ehrlich, P.R.","From global change to a butterfly flapping: Biophysics and behaviour affect tropical climate change impacts",2014,"Proceedings of the Royal Society B: Biological Sciences","281","1793", 20141264,"","",,10,10.1098/rspb.2014.1264,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906771468&doi=10.1098%2frspb.2014.1264&partnerID=40&md5=2c242cc1f7e2f41c0e3dfe43b038c052",Article,Scopus,2-s2.0-84906771468
"Deutsch, C., Berelson, W., Thunell, R., Weber, T., Tems, C., McManus, J., Crusius, J., Ito, T., Baumgartner, T., Ferreira, V., Mey, J., Van Geen, A.","Centennial changes in North Pacific anoxia linked to tropical trade winds",2014,"Science","345","6197",,"665","668",,36,10.1126/science.1252332,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905922952&doi=10.1126%2fscience.1252332&partnerID=40&md5=4a5b330bc46b3df981440d450bb67760",Article,Scopus,2-s2.0-84905922952
"Luo, Y.-W., Lima, I.D., Karl, D.M., Deutsch, C.A., Doney, S.C.","Data-based assessment of environmental controls on global marine nitrogen fixation",2014,"Biogeosciences","11","3",,"691","708",,15,10.5194/bg-11-691-2014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893630127&doi=10.5194%2fbg-11-691-2014&partnerID=40&md5=f1c5e9b3624af497633e663180c794e5",Article,Scopus,2-s2.0-84893630127
"Devries, T., Deutsch, C.","Large-scale variations in the stoichiometry of marine organic matter respiration",2014,"Nature Geoscience","7","12",,"890","894",,21,10.1038/ngeo2300,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927517350&doi=10.1038%2fngeo2300&partnerID=40&md5=f610f036f8fa7728790ea271fb65f501",Article,Scopus,2-s2.0-84927517350
"Weber, T., Deutsch, C.","Local versus basin-scale limitation of marine nitrogen fixation",2014,"Proceedings of the National Academy of Sciences of the United States of America","111","24",,"8741","8746",,13,10.1073/pnas.1317193111,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902590787&doi=10.1073%2fpnas.1317193111&partnerID=40&md5=8a5b0cfd6e3111bce1a503d49aa2f13e",Article,Scopus,2-s2.0-84902590787
"Gruber, N., Deutsch, C.A.","Redfield's evolving legacy",2014,"Nature Geoscience","7","12",,"853","855",,4,10.1038/ngeo2308,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927519888&doi=10.1038%2fngeo2308&partnerID=40&md5=1b444f692e6c27d1f22ee2e2b13b4249",Note,Scopus,2-s2.0-84927519888
"Takano, Y., Ito, T., Deutsch, C., Johnson, K.S.","Interpreting intraseasonal variability of subsurface tracers observed by a profiling float",2014,"Journal of Geophysical Research: Oceans","119","1",,"288","296",,,10.1002/2013JC009290,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899014539&doi=10.1002%2f2013JC009290&partnerID=40&md5=389734c8e7b24febac42b4760fc361fe",Article,Scopus,2-s2.0-84899014539
"Moore, R.M., Kienast, M., Fraser, M., Cullen, J.J., Deutsch, C., Dutkiewicz, S., Follows, M.J., Somes, C.J.","Extensive hydrogen supersaturations in the western South Atlantic Ocean suggest substantial underestimation of nitrogen fixation",2014,"Journal of Geophysical Research: Oceans","119","7",,"4340","4350",,4,10.1002/2014JC010017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906220673&doi=10.1002%2f2014JC010017&partnerID=40&md5=e73677dda7e4cd14965706cdd80e4eaa",Article,Scopus,2-s2.0-84906220673
"Ito, T., Deutsch, C.","Variability of the oxygen minimum zone in the tropical North Pacific during the late twentieth century",2013,"Global Biogeochemical Cycles","27","4",,"1119","1128",,10,10.1002/2013GB004567,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887886494&doi=10.1002%2f2013GB004567&partnerID=40&md5=4f452afa8dfebd01ccadce697c1dc0a4",Article,Scopus,2-s2.0-84887886494
"Liang, J.-H., Deutsch, C., McWilliams, J.C., Baschek, B., Sullivan, P.P., Chiba, D.","Parameterizing bubble-mediated air-sea gas exchange and its effect on ocean ventilation",2013,"Global Biogeochemical Cycles","27","3",,"894","905",,22,10.1002/gbc.20080,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883197519&doi=10.1002%2fgbc.20080&partnerID=40&md5=bff1c7bbdace9fc88c72be3e743aa364",Article,Scopus,2-s2.0-84883197519
"Kwon, E.Y., Downes, S.M., Sarmiento, J.L., Farneti, R., Deutsch, C.","Role of the seasonal cycle in the subduction rates of upper-southern ocean waters",2013,"Journal of Physical Oceanography","43","6",,"1096","1113",,4,10.1175/JPO-D-12-060.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880141819&doi=10.1175%2fJPO-D-12-060.1&partnerID=40&md5=a5c1d66029c754527d33daaee226e05e",Article,Scopus,2-s2.0-84880141819
"DeVries, T., Deutsch, C., Rafter, P.A., Primeau, F.","Marine denitrification rates determined from a global 3-D inverse model",2013,"Biogeosciences","10","4",,"2481","2496",,36,10.5194/bg-10-2481-2013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883659095&doi=10.5194%2fbg-10-2481-2013&partnerID=40&md5=1553b6021930533eb3ca4a2da957ebb9",Article,Scopus,2-s2.0-84883659095
"Eugster, O., Gruber, N., Deutsch, C., Jaccard, S.L., Payne, M.R.","The dynamics of the marine nitrogen cycle across the last deglaciation",2013,"Paleoceanography","28","1",,"116","129",,15,10.1002/palo.20020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876711213&doi=10.1002%2fpalo.20020&partnerID=40&md5=c8214845e59762f87b05353ea95add2f",Article,Scopus,2-s2.0-84876711213
"Buckley, L.B., Tewksbury, J.J., Deutsch, C.A.","Can terrestrial ectotherms escape the heat of climate change by moving?",2013,"Proceedings of the Royal Society B: Biological Sciences","280","1765", 20131149,"","",,14,10.1098/rspb.2013.1149,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894880221&doi=10.1098%2frspb.2013.1149&partnerID=40&md5=d4b000c8c7c1479c3a7402578e33eea3",Article,Scopus,2-s2.0-84894880221
"Weber, T., Deutsch, C.","Oceanic nitrogen reservoir regulated by plankton diversity and ocean circulation",2012,"Nature","489","7416",,"419","422",,45,10.1038/nature11357,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866524939&doi=10.1038%2fnature11357&partnerID=40&md5=a0cd527ed04169d34fdf9ce583c12d81",Article,Scopus,2-s2.0-84866524939
"Kritee, K., Sigman, D.M., Granger, J., Ward, B.B., Jayakumar, A., Deutsch, C.","Reduced isotope fractionation by denitrification under conditions relevant to the ocean",2012,"Geochimica et Cosmochimica Acta","92",,,"243","259",,47,10.1016/j.gca.2012.05.020,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864400420&doi=10.1016%2fj.gca.2012.05.020&partnerID=40&md5=30d6011c59224f39228e94f7b3ef78f2",Article,Scopus,2-s2.0-84864400420
"Devries, T., Deutsch, C., Primeau, F., Chang, B., Devol, A.","Global rates of water-column denitrification derived from nitrogen gas measurements",2012,"Nature Geoscience","5","8",,"547","550",,52,10.1038/ngeo1515,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864537345&doi=10.1038%2fngeo1515&partnerID=40&md5=43d957dff0195a53b3252581264bf5fa",Review,Scopus,2-s2.0-84864537345
"Devries, T., Primeau, F., Deutsch, C.","The sequestration efficiency of the biological pump",2012,"Geophysical Research Letters","39","13", L13601,"","",,22,10.1029/2012GL051963,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863331624&doi=10.1029%2f2012GL051963&partnerID=40&md5=9ea26bd0ee1acaaa458696676e34fec7",Article,Scopus,2-s2.0-84863331624
"Bonebrake, T.C., Deutsch, C.A.","Climate heterogeneity modulates impact of warming on tropical insects",2012,"Ecology","93","3",,"449","455",,34,10.1890/11-1187.1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860229146&doi=10.1890%2f11-1187.1&partnerID=40&md5=0c8f28faf364575c591890b0bd42293c",Article,Scopus,2-s2.0-84860229146
"Deutsch, C., Weber, T.","Nutrient ratios as a tracer and driver of ocean biogeochemistry",2012,"Annual Review of Marine Science","4",,,"113","141",,55,10.1146/annurev-marine-120709-142821,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-83655192937&doi=10.1146%2fannurev-marine-120709-142821&partnerID=40&md5=ae9c510d2d85a34c9b6d0fa654b9c7b2",Article,Scopus,2-s2.0-83655192937
"Falkowski, P.G., Algeo, T., Codispoti, L., Deutsch, C., Emerson, S., Hales, B., Huey, R.B., Jenkins, W.J., Kump, L.R., Levin, L.A., Lyons, T.W., Nelson, N.B., Schofield, O.S., Summons, R., Talley, L.D., Thomas, E., Whitney, F., Pilcher, C.B.","Ocean deoxygenation: Past, present, and future",2011,"Eos","92","46",,"409","410",,31,10.1029/2011EO460001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81755166572&doi=10.1029%2f2011EO460001&partnerID=40&md5=a02a767ca35712b81cce9b418a7d075d",Article,Scopus,2-s2.0-81755166572
"Deutsch, C., Brix, H., Ito, T., Frenzel, H., Thompson, L.","Climate-forced variability of ocean hypoxia",2011,"Science","333","6040",,"336","339",,123,10.1126/science.1202422,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960563542&doi=10.1126%2fscience.1202422&partnerID=40&md5=d980c5c94b5fff60a678f017f17d5cc7",Article,Scopus,2-s2.0-79960563542
"Weber, T.S., Deutsch, C.","Ocean nutrient ratios governed by plankton biogeography",2010,"Nature","467","7315",,"550","554",,109,10.1038/nature09403,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957332701&doi=10.1038%2fnature09403&partnerID=40&md5=25349de33fb6e37d60ffb43e5eaf56bb",Article,Scopus,2-s2.0-77957332701
"Ito, T., Deutsch, C.","A conceptual model for the temporal spectrum of oceanic oxygen variability",2010,"Geophysical Research Letters","37","3", L03601,"","",,11,10.1029/2009GL041595,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76349093374&doi=10.1029%2f2009GL041595&partnerID=40&md5=6be4618e2534ac1471815a65a89b8a76",Article,Scopus,2-s2.0-76349093374
"Derevianko, G.J., Deutsch, C., Hall, A.","On the relationship between ocean DMS and solar radiation",2009,"Geophysical Research Letters","36","17", L17606,"","",,18,10.1029/2009GL039412,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71949088544&doi=10.1029%2f2009GL039412&partnerID=40&md5=da9cc2db12bd9b2322abfb9f363948b4",Article,Scopus,2-s2.0-71949088544
"Sigman, D.M., DiFiore, P.J., Hain, M.P., Deutsch, C., Wang, Y., Karl, D.M., Knapp, A.N., Lehmann, M.F., Pantoja, S.","The dual isotopes of deep nitrate as a constraint on the cycle and budget of oceanic fixed nitrogen",2009,"Deep-Sea Research Part I: Oceanographic Research Papers","56","9",,"1419","1439",,77,10.1016/j.dsr.2009.04.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649658024&doi=10.1016%2fj.dsr.2009.04.007&partnerID=40&md5=5c752f24236eb2ecfbe168befbc19141",Article,Scopus,2-s2.0-67649658024
"Huey, R.B., Deutsch, C.A., Tewksbury, J.J., Vitt, L.J., Hertz, P.E., Pérez, H.J.A., Garland Jr., T.","Why tropical forest lizards are vulnerable to climate warming",2009,"Proceedings of the Royal Society B: Biological Sciences","276","1664",,"1939","1948",,329,10.1098/rspb.2008.1957,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-66149173690&doi=10.1098%2frspb.2008.1957&partnerID=40&md5=058460aa2cef052131be65449d22b839",Article,Scopus,2-s2.0-66149173690
"Sigman, D.M., DiFiore, P.J., Hain, M.P., Deutsch, C., Karl, D.M.","Sinking organic matter spreads the nitrogen isotope signal of pelagic denitrification in the North Pacific",2009,"Geophysical Research Letters","36","8", L08605,"","",,32,10.1029/2008GL035784,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67449158498&doi=10.1029%2f2008GL035784&partnerID=40&md5=06d555a5dcc835af059c952e961d9fca",Article,Scopus,2-s2.0-67449158498
"Knapp, A.N., DiFiore, P.J., Deutsch, C., Sigman, D.M., Lipschultz, F.","Nitrate isotopic composition between Bermuda and Puerto Rico: Implications for N<inf>2</inf> fixation in the Atlantic Ocean",2008,"Global Biogeochemical Cycles","22","3", GB3014,"","",,53,10.1029/2007GB003107,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549148930&doi=10.1029%2f2007GB003107&partnerID=40&md5=43b049045782ca73b26a14b9f40fbcb7",Article,Scopus,2-s2.0-65549148930
"Mecking, S., Langdon, C., Feely, R.A., Sabine, C.L., Deutsch, C.A., Min, D.-H.","Climate variability in the North Pacific thermocline diagnosed from oxygen measurements: An update based on the U.S. CLIVAR/CO2 Repeat Hydrography cruises",2008,"Global Biogeochemical Cycles","22","3", GB3015,"","",,42,10.1029/2007GB003101,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65549088820&doi=10.1029%2f2007GB003101&partnerID=40&md5=78007dd62e1d8dee77b6d6c3de89e8c5",Article,Scopus,2-s2.0-65549088820
"Tewksbury, J.J., Huey, R.B., Deutsch, C.A.","Ecology: Putting the heat on tropical animals",2008,"Science","320","5881",,"1296","1297",,340,10.1126/science.1159328,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45549092665&doi=10.1126%2fscience.1159328&partnerID=40&md5=928fdb9c0275af99e799090e8d4bfdf4",Short Survey,Scopus,2-s2.0-45549092665
"Deutsch, C.A., Tewksbury, J.J., Huey, R.B., Sheldon, K.S., Ghalambor, C.K., Haak, D.C., Martin, P.R.","Impacts of climate warming on terrestrial ectotherms across latitude",2008,"Proceedings of the National Academy of Sciences of the United States of America","105","18",,"6668","6672",,1083,10.1073/pnas.0709472105,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-44349116007&doi=10.1073%2fpnas.0709472105&partnerID=40&md5=18072e3068dcd13b5f557fb27b9f01ac",Article,Scopus,2-s2.0-44349116007
