Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Vangara, R., Brown, D.C.R., van Swol, F., Petsev, D.N.","Electrolyte solution structure and its effect on the properties of electric double layers with surface charge regulation",2017,"Journal of Colloid and Interface Science","488",,,"180","189",,1,10.1016/j.jcis.2016.10.084,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994631363&doi=10.1016%2fj.jcis.2016.10.084&partnerID=40&md5=9ec50778b58466b08ed9c566f1e17ffb",Article,Scopus,2-s2.0-84994631363
"Fleharty, M.E., Van Swol, F., Petsev, D.N.","Solvent Role in the Formation of Electric Double Layers with Surface Charge Regulation: A Bystander or a Key Participant?",2016,"Physical Review Letters","116","4", 048301,"","",,1,10.1103/PhysRevLett.116.048301,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957827649&doi=10.1103%2fPhysRevLett.116.048301&partnerID=40&md5=e5f44afed48a44288934d87d24294919",Article,Scopus,2-s2.0-84957827649
"Branch, B., Schei, J.L., Gupta, G., Dattelbaum, A.M., Petsev, D.N., George, J.S.","Micropillar Electrode Array: From Metal to Dielectric Interface",2015,"IEEE Sensors Journal","15","9", 7097633,"4992","5000",,,10.1109/JSEN.2015.2425305,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937436073&doi=10.1109%2fJSEN.2015.2425305&partnerID=40&md5=2027b193dc46e8f9695abe4bd2d411b0",Article,Scopus,2-s2.0-84937436073
"Fleharty, M.E., Van Swol, F., Petsev, D.N.","Manipulating semiconductor colloidal stability through doping",2014,"Physical Review Letters","113","15", 158302,"","",,6,10.1103/PhysRevLett.113.158302,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907842102&doi=10.1103%2fPhysRevLett.113.158302&partnerID=40&md5=f1aa1aad9f0e7562c7992ceea72ea89a",Article,Scopus,2-s2.0-84907842102
"Fleharty, M.E., van Swol, F., Petsev, D.N.","Charge regulation at semiconductor-electrolyte interfaces",2014,"Journal of Colloid and Interface Science","449",,,"409","415",,,10.1016/j.jcis.2014.12.058,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988220931&doi=10.1016%2fj.jcis.2014.12.058&partnerID=40&md5=5bee08383ebf83988a10bb3561fd4794",Article,Scopus,2-s2.0-84988220931
"Fleharty, M.E., van Swol, F., Petsev, D.N.","The effect of surface charge regulation on conductivity in fluidic nanochannels",2014,"Journal of Colloid and Interface Science","416",,,"105","111",,7,10.1016/j.jcis.2013.10.051,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888258487&doi=10.1016%2fj.jcis.2013.10.051&partnerID=40&md5=ecf2b2e1b2d75321c143a7d48ca2b509",Article,Scopus,2-s2.0-84888258487
"Van Swol, F., Petsev, D.N.","Molecular dynamics simulation of binary hard sphere colloids near the glass transition",2014,"RSC Advances","4","41",,"21631","21637",,1,10.1039/c4ra02391a,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901605386&doi=10.1039%2fc4ra02391a&partnerID=40&md5=6c0216b5cac574f1f20fac8cd7fb8a13",Article,Scopus,2-s2.0-84901605386
"Branch, B., Dubey, M., Anderson, A.S., Artyushkova, K., Baldwin, J.K., Petsev, D., Dattelbaum, A.M.","Investigating phosphonate monolayer stability on ALD oxide surfaces",2014,"Applied Surface Science","288",,,"98","108",,9,10.1016/j.apsusc.2013.09.128,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84888432112&doi=10.1016%2fj.apsusc.2013.09.128&partnerID=40&md5=e87a8abe249aeb40aec56a0dcacd6fcc",Article,Scopus,2-s2.0-84888432112
"Narváez Villarrubia, C.W., Lau, C., Ciniciato, G.P.M.K., Garcia, S.O., Sibbett, S.S., Petsev, D.N., Babanova, S., Gupta, G., Atanassov, P.","Practical electricity generation from a paper based biofuel cell powered by glucose in ubiquitous liquids",2014,"Electrochemistry Communications","45",,,"44","47",,17,10.1016/j.elecom.2014.05.010Short communication,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901809011&doi=10.1016%2fj.elecom.2014.05.010Short+communication&partnerID=40&md5=26b2f410ddfa9a13a642c574e652a76b",Article,Scopus,2-s2.0-84901809011
"Carroll, N.J., Crowder, P.F., Pylypenko, S., Patterson, W., Ratnaweera, D.R., Perahia, D., Atanassov, P., Petsev, D.N.","Microfluidic synthesis of monodisperse nanoporous oxide particles and control of hierarchical pore structure",2013,"ACS Applied Materials and Interfaces","5","9",,"3524","3529",,6,10.1021/am3030195,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877335820&doi=10.1021%2fam3030195&partnerID=40&md5=c52591999da8c313b27beba7d43698b7",Article,Scopus,2-s2.0-84877335820
